Experiment 2 ,26_03_2020_05-27-49

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.8

OUTPUT
generation_no,params_no,layers_no,accuracy,loss
0,27835,2,0.907,0.30496749114990235
1,27323,3,0.9,0.31491136288642885
2,28723,4,0.893,0.33133559703826904
3,22832,4,0.916,0.29032902646064757
4,22832,4,0.897,0.3125682654380798
5,24652,5,0.909,0.30114849281311035
6,24838,5,0.906,0.2744902837276459
7,24876,5,0.915,0.267518297791481
8,33517,6,0.895,0.3286933159828186
9,33939,6,0.904,0.30467906188964844
10,28303,5,0.928,0.2654077503681183
11,29859,5,0.908,0.29402844500541686
12,37741,5,0.911,0.27410466158390046
13,31717,4,0.907,0.30083536624908447
14,33935,4,0.901,0.3223466646671295
15,25643,4,0.909,0.2793924059867859
16,32147,4,0.9,0.28940838849544526
17,27223,6,0.903,0.29205250000953675
18,26890,6,0.891,0.3536923747062683
19,26207,5,0.9,0.3427646070718765
20,27167,5,0.903,0.3193124557733536
21,25809,4,0.905,0.2931395356655121
22,26216,5,0.909,0.3017240877151489
23,29926,5,0.909,0.30584615182876584
24,32167,5,0.912,0.2845855383872986
25,32445,4,0.91,0.2828815189599991
26,34791,5,0.9,0.33622227954864503
27,38807,5,0.911,0.25882078921794893
28,38476,5,0.918,0.2667894139289856
29,45316,5,0.922,0.257069908618927
30,59980,5,0.929,0.2666826038360596
31,50202,6,0.926,0.24164020895957947
32,62026,5,0.918,0.2836794834136963
33,80116,5,0.926,0.23198073065280914
34,63270,6,0.933,0.2290053528547287
35,80430,6,0.907,0.2818180170059204
36,80699,5,0.936,0.21913944059610366
37,82262,5,0.931,0.20051725780963897
38,82262,5,0.911,0.2664737249612808
39,103783,5,0.912,0.2819280772805214
40,132630,5,0.934,0.2205030584335327
41,132367,5,0.929,0.2318089873790741
42,132712,5,0.898,0.34829909646511076
43,131915,5,0.934,0.20755783313512802
44,143283,6,0.928,0.2550183816254139
45,131533,5,0.893,0.3542073287963867
46,141178,5,0.911,0.32311284612119195
47,153194,6,0.92,0.23936865878105162
48,141930,6,0.928,0.2182328805923462
49,145455,6,0.925,0.2509611636996269
50,141308,5,0.928,0.23928034633398057
51,148087,6,0.918,0.27041115963459017
52,148337,5,0.93,0.22867368805408478
53,143925,5,0.926,0.23633463639020919
54,148967,5,0.915,0.2821187420785427
55,144282,5,0.936,0.22389106732606887
56,182447,5,0.918,0.24771432709693908
57,145497,4,0.924,0.23238825476169586
58,222155,4,0.929,0.21038884592056276
59,181514,4,0.917,0.2641866945028305
60,271593,4,0.933,0.21692510735988618
61,308901,3,0.926,0.25087200409173965
62,286351,3,0.937,0.20021458476781845
63,279520,3,0.931,0.21426767122745513
64,369630,3,0.926,0.2573585158288479
65,382931,4,0.94,0.20948900735378265
66,460872,3,0.933,0.23815999990701675
67,293165,5,0.922,0.26279311686754225
68,351167,4,0.877,0.40269454950094224
69,355321,5,0.939,0.22039124935865403
70,433384,4,0.927,0.2716569811105728
71,703453,4,0.944,0.22140817779302596
72,753135,3,0.945,0.19374843192100524
73,790855,3,0.944,0.17560616075992586
74,794385,4,0.945,0.1800142015963793
75,796567,4,0.951,0.18124776622653008
76,807415,3,0.942,0.2080313374698162
77,793615,3,0.945,0.19219158881902695
78,1019317,3,0.944,0.18745513951778411
79,783495,3,0.948,0.19062007871270178
80,783495,3,0.937,0.21290743672475218
81,1256082,3,0.934,0.2561818526983261
82,994440,3,0.932,0.22068758565187455
83,988615,3,0.943,0.18001202782988548
84,792966,3,0.933,0.23762424045801162
85,804159,3,0.937,0.20317484071850778
86,997856,4,0.953,0.18144830112159252
87,980460,3,0.95,0.1746025003492832
88,1053450,3,0.941,0.19160103964805603
89,821919,3,0.951,0.16577166786789893
90,968810,3,0.896,0.35931346875429154
91,849672,3,0.927,0.24510521340370178
92,999014,3,0.924,0.28999551171064375
93,649151,3,0.939,0.20017913889884947
94,995411,3,0.932,0.21999883842468262
95,999014,3,0.928,0.24269589805603028
96,821031,3,0.945,0.18017736941576004
97,822240,3,0.946,0.18864783988893033
98,648312,3,0.946,0.17115272009372712
99,806800,3,0.942,0.19047276410460473
100,1010004,3,0.944,0.2028544696569443
101,806800,3,0.942,0.19132340082526206
102,806800,3,0.947,0.19102129423618316
103,839460,3,0.947,0.17470738393068314
104,798115,3,0.938,0.18301281028985977
105,815485,3,0.931,0.2455429894775152
106,815485,3,0.935,0.19254738157987594
107,815485,3,0.932,0.2153141051530838
108,817355,4,0.919,0.22827730822563172
