Experiment 2 ,21_03_2020_04-40-57

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.2

OUTPUT
generation_no,params_no,layers_no,accuracy,loss
0,21111,2,0.908,0.29232235980033877
1,32675,2,0.907,0.27228830933570863
2,33825,3,0.913,0.267186733007431
3,27027,3,0.901,0.3060509107112884
4,40755,2,0.913,0.2626793441772461
5,27995,3,0.91,0.2584016971588135
6,39873,2,0.907,0.2970748029947281
7,44322,3,0.918,0.25388105189800264
8,59763,3,0.915,0.24699964010715483
9,62955,4,0.921,0.2737768909931183
10,76339,4,0.921,0.22236113548278807
11,69435,4,0.91,0.2722920033931732
12,89117,4,0.927,0.26738635218143464
13,69391,4,0.917,0.26341578912734986
14,91853,4,0.925,0.2402454933822155
15,92317,4,0.91,0.28306221413612365
16,80263,4,0.924,0.2409815189242363
17,94905,2,0.919,0.2580825281739235
18,93451,3,0.926,0.22896349596977233
19,91649,3,0.933,0.23538663601875306
20,110125,3,0.928,0.20595096683502198
21,118507,3,0.94,0.19881804323196411
22,105309,3,0.931,0.2205416578054428
23,89831,3,0.929,0.21334758108854293
24,120212,3,0.931,0.19069673979282378
25,145283,3,0.933,0.2122371011674404
26,108863,3,0.922,0.2287660018801689
27,134169,3,0.934,0.20635848259925843
28,170120,3,0.935,0.21136628580093383
29,156764,3,0.935,0.20443727457523345
30,149725,3,0.928,0.21550473499298095
31,149725,3,0.931,0.23079486230015755
32,124655,4,0.92,0.24826475405693055
33,149813,3,0.927,0.19755761051177978
34,182963,3,0.927,0.2184474346637726
35,217155,2,0.927,0.2219045671224594
36,196854,2,0.942,0.1763983314037323
37,266975,2,0.927,0.23144785225391387
38,257487,2,0.934,0.18948593485355378
39,304869,4,0.932,0.20851053994894028
40,216250,2,0.928,0.204014502286911
41,269067,2,0.924,0.23240099823474883
42,292375,2,0.936,0.20234521612524986
43,324609,2,0.938,0.20105145210027695
44,341375,2,0.923,0.25236145102977753
45,309435,2,0.935,0.21147055232524872
46,302367,2,0.925,0.23822754219174386
47,416447,2,0.932,0.22549880996346475
48,416447,2,0.928,0.22137364542484284
49,496592,3,0.94,0.1815212419629097
50,498392,3,0.941,0.2012171334028244
51,311247,2,0.929,0.2271605007648468
52,522703,2,0.943,0.17394033324718475
53,624251,2,0.944,0.18267838403582573
54,687945,2,0.946,0.19713280223309992
55,633491,2,0.938,0.20195329251885413
56,697759,2,0.938,0.21170065987110137
57,876631,2,0.939,0.21843975546956063
58,765183,2,0.943,0.20604131585359572
59,765183,2,0.907,0.31842017686367036
60,794977,2,0.939,0.18787112975120546
61,703995,2,0.948,0.16889102284610272
62,1252527,2,0.929,0.23847603267431258
63,1323283,2,0.945,0.18852745324373246
64,1323283,2,0.946,0.19152247889339924
65,1131465,2,0.94,0.1818919878602028
66,1102002,2,0.931,0.225656546279788
67,1102002,2,0.935,0.19599097788333894
68,1041575,2,0.942,0.2042978515625
69,1526676,2,0.943,0.17834901152551175
70,1295155,2,0.938,0.20938159447908403
71,1352885,2,0.936,0.21847290676832198
72,1262060,2,0.941,0.21475839573144911
73,1272343,2,0.947,0.17065441681444646
74,1490775,2,0.936,0.21985369464755058
75,1521253,2,0.946,0.1858894050568342
76,1016793,2,0.948,0.20571750140190123
77,909139,2,0.934,0.22922161614894868
78,1164037,2,0.953,0.17426832534372808
79,1107585,2,0.94,0.21103156238794327
80,1332775,2,0.944,0.1791099956780672
81,1128720,2,0.947,0.18136084461212157
82,970207,2,0.94,0.1990658193230629
83,1414335,2,0.949,0.18416800421476365
84,1415921,2,0.924,0.22784468460083007
85,1126839,2,0.943,0.1904125641733408
86,1307039,2,0.93,0.22614756259322166
87,1101705,2,0.949,0.17500972282886504
88,1291769,2,0.946,0.19885926985740662
89,1258979,2,0.945,0.19163825379312038
90,1258979,2,0.929,0.24704972219467164
91,1622150,2,0.938,0.20288643570244314
92,1050645,2,0.931,0.23981071054935454
93,2486375,2,0.95,0.18982566055655478
94,2255439,2,0.936,0.2700295817553997
95,1052655,2,0.944,0.19217292329668997
96,1052655,2,0.909,0.2756569766998291
97,768439,2,0.931,0.23484326554834842
98,683910,2,0.943,0.191405286192894
99,714735,2,0.933,0.2187171033024788
100,940503,2,0.945,0.20108429199457167
101,989775,2,0.936,0.21011912898719312
102,906423,2,0.941,0.19991580033302306
103,999665,3,0.927,0.2755788056254387
104,967695,2,0.941,0.1930596644282341
105,1179111,2,0.94,0.25490098309516906
106,1100685,2,0.947,0.19585492691397666
107,1271148,2,0.94,0.20578437650203704
108,1124105,2,0.948,0.18284932440519333
109,1043690,2,0.944,0.19924621677398682
