Experiment 2 ,27_03_2020_06-19-58

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.8

OUTPUT
generation_no,params_no,layers_no,accuracy,loss
0,39918,7,0.899,0.3744959816932678
1,28320,2,0.896,0.30250568222999574
2,23739,3,0.909,0.2877291719913483
3,46618,5,0.884,0.3556921257972717
4,44047,2,0.909,0.2851738495826721
5,29696,3,0.923,0.28236683750152586
6,38471,4,0.913,0.2810723760128021
7,33353,4,0.902,0.2944447021484375
8,35134,4,0.912,0.2748268127441406
9,40837,4,0.918,0.2538941323757172
10,42153,2,0.918,0.2731338789463043
11,38457,2,0.91,0.2570435521602631
12,41415,2,0.904,0.2741048669815063
13,52789,3,0.91,0.25128239071369174
14,44257,3,0.92,0.26544179320335387
15,57761,3,0.918,0.23228157305717467
16,67271,3,0.927,0.22591707682609558
17,66262,3,0.923,0.23495221376419068
18,59281,3,0.927,0.23554561090469361
19,63166,3,0.925,0.23231407022476197
20,67175,3,0.933,0.22215354740619658
21,66294,4,0.906,0.2828035819530487
22,68813,3,0.922,0.2473161174058914
23,86701,3,0.913,0.2640435631275177
24,84951,3,0.927,0.2580541877746582
25,82425,4,0.918,0.2391712908744812
26,69625,4,0.908,0.2871364393234253
27,74189,2,0.921,0.2537237730026245
28,94452,2,0.927,0.2147968727350235
29,115065,2,0.934,0.21556713205575942
30,132127,2,0.929,0.20623832488059998
31,128423,2,0.923,0.24102102875709533
32,138895,2,0.937,0.188436785697937
33,161685,4,0.936,0.23810468035936355
34,134221,2,0.926,0.21059848886728286
35,183867,3,0.947,0.17776197093725205
36,196140,2,0.937,0.19185255128145218
37,199055,2,0.92,0.23530819523334504
38,198111,2,0.937,0.20397809273004533
39,208053,2,0.937,0.2055416419506073
40,257354,3,0.93,0.2374235560297966
41,254708,3,0.924,0.27232262751460073
42,277404,3,0.926,0.22189546662569046
43,300725,3,0.931,0.23318746435642243
44,312029,3,0.939,0.21355945816636085
45,318394,2,0.936,0.22864730823040008
46,319758,2,0.934,0.19791473032534124
47,526396,2,0.941,0.18306334090232848
48,529091,3,0.941,0.19385918834805488
49,384655,3,0.941,0.204476251244545
