name,generation,avg acc,avg los,avg par
Crossover,0,0.902,0.304045901,30485
Crossover,1,0.910333333,0.281058234,34900.33333
Crossover,2,0.911,0.270914937,34822
Crossover,3,0.913666667,0.257541639,42025
Crossover,4,0.911333333,0.271051721,40421
Crossover,5,0.91,0.277208141,45060.66667
Crossover,6,0.919,0.254785252,43082
Crossover,7,0.919,0.257983251,47300
Crossover,8,0.921666667,0.245847536,56325.66667
Crossover,9,0.921,0.240620354,57785.33333
Crossover,10,0.918333333,0.251496867,76540
Crossover,11,0.920333333,0.24676978,66486.33333
Crossover,12,0.918666667,0.242949111,83376.33333
Crossover,13,0.926333333,0.231399469,107787
Crossover,14,0.918,0.250185013,92033
Crossover,15,0.929333333,0.228852599,98075.66667
Crossover,16,0.928666667,0.220496576,118967.3333
Crossover,17,0.926666667,0.232005387,122655
Crossover,18,0.927333333,0.228308949,116770
Crossover,19,0.918333333,0.238422324,105144
Crossover,20,0.928666667,0.216226817,123597
Crossover,21,0.922666667,0.232420404,132782.6667
Crossover,22,0.924,0.239106366,157247.3333
Crossover,23,0.930666667,0.22954925,150827
Crossover,24,0.926,0.226473981,171859.3333
Crossover,25,0.928333333,0.232255022,194817.6667
Crossover,26,0.931,0.213553149,207531.6667
Crossover,27,0.934333333,0.212335465,237042.3333
Crossover,28,0.938666667,0.198455704,239599.6667
Crossover,29,0.934,0.213502418,263360
Crossover,30,0.929666667,0.210456532,271515.6667
Crossover,31,0.938666667,0.197822565,282319.6667
Crossover,32,0.931333333,0.217567102,311446.6667
Crossover,33,0.932,0.211979605,343316
Crossover,34,0.933666667,0.211753944,377807
Crossover,35,0.936333333,0.194784831,354132.6667
Crossover,36,0.934333333,0.196423024,383872
Crossover,37,0.932,0.225369944,417159.6667
Crossover,38,0.936666667,0.2156851,442522.3333
Crossover,39,0.929333333,0.225998466,361397.3333
Crossover,40,0.938,0.206098442,523676.3333
Crossover,41,0.935,0.211457122,557675
Crossover,42,0.931666667,0.214871414,587921.6667
Crossover,43,0.935,0.199992602,627940
Crossover,44,0.933333333,0.22764704,712499.3333
Crossover,45,0.935,0.212548977,790193.3333
Crossover,46,0.936333333,0.21985437,633796
Crossover,47,0.94,0.206104589,851034
Crossover,48,0.940333333,0.193922832,837501.3333
Crossover,49,0.94,0.202459896,994383.3333
Crossover,50,0.943333333,0.201114085,1014316
Crossover,51,0.933333333,0.216743564,1000214.333
Crossover,52,0.947,0.171169944,889185.3333
Crossover,53,0.934666667,0.214476971,900404
Crossover,54,0.938333333,0.211302282,946551.3333
Crossover,55,0.936333333,0.213059015,1146016.333
Crossover,56,0.933666667,0.221921641,1360945.667
Crossover,57,0.941666667,0.197797829,1146411.333
Crossover,58,0.937666667,0.202457792,1017595.667
Crossover,59,0.939666667,0.215492186,1144870.333
Crossover,60,0.943333333,0.189835273,1138540
Crossover,61,0.932,0.224061921,1358897
Crossover,62,0.942,0.187862247,1246356.333
Crossover,63,0.931333333,0.233455974,1459969.333
Crossover,64,0.934666667,0.22640024,1498923
Crossover,65,0.941666667,0.188953525,1117796
Crossover,66,0.941,0.215152567,1509661.333
Crossover,67,0.940666667,0.215929529,1324494.667
Crossover,68,0.937333333,0.221333723,1564582
Crossover,69,0.932666667,0.245423334,2018458.667
Crossover,70,0.938666667,0.229170215,1913177
Crossover,71,0.934666667,0.221129684,2276508.333
Crossover,72,0.937,0.230549765,2014895.333
Crossover,73,0.939333333,0.226447025,2466170.667
Crossover,74,0.935333333,0.203780264,2264248.667
Crossover,75,0.936,0.221798008,1924521.333
Crossover,76,0.939666667,0.199515612,2189970
Crossover,77,0.932666667,0.229959739,2007384.333
Crossover,78,0.939333333,0.201784417,2195270
Crossover,79,0.935,0.229469833,2247475
Crossover,80,0.945666667,0.17733814,2230250
Crossover,81,0.945666667,0.175872567,2370170
Crossover,82,0.940666667,0.195151144,2535530
Crossover,83,0.94,0.195178183,2993450
Crossover,84,0.936666667,0.200696271,3610900
Crossover,85,0.941,0.198697541,3485820
Crossover,86,0.936666667,0.202732824,2801590
Crossover,87,0.943,0.184157173,3252620
Crossover,88,0.945666667,0.190904501,3354645
Crossover,89,0.941666667,0.182757893,3618850
Crossover,90,0.942,0.199252527,4244780
Crossover,91,0.942,0.196445614,3135490
Crossover,92,0.942,0.19036026,3147415
Crossover,93,0.946333333,0.1847621,3548095
Crossover,94,0.938333333,0.200861902,4085780
Crossover,95,0.938,0.214592307,3616200
Crossover,96,0.938666667,0.195611597,3636340
Crossover,97,0.946666667,0.185592507,3393335
Crossover,98,0.945666667,0.178471532,3280710
Crossover,99,0.937,0.22625215,3469125
Crossover,100,0.941,0.196025751,3351465
Crossover,101,0.947666667,0.17722135,3441830
Crossover,102,0.947,0.184844888,3874575
Crossover,103,0.945666667,0.185974373,4002305
Crossover,104,0.942666667,0.186910312,3589965
Crossover,105,0.946,0.182885635,4017940
Crossover,106,0.943333333,0.192337865,4049210
Crossover,107,0.940666667,0.181684837,3236455
Crossover,108,0.94,0.193816911,3199355
Crossover,109,0.941333333,0.194550082,3470450
Crossover,110,0.939,0.205456467,3478400
Crossover,111,0.931666667,0.226496566,4131625
Crossover,112,0.942333333,0.203078711,5069251.667
Crossover,113,0.940333333,0.213291001,3622295
Crossover,114,0.938333333,0.224386174,4198670
Crossover,115,0.941,0.199731184,3925455
Crossover,116,0.937666667,0.205223065,3323640
Crossover,117,0.945,0.187805903,3270640
Crossover,118,0.941,0.18529099,2628280
Crossover,119,0.935333333,0.204634271,2972250
Crossover,120,0.946333333,0.187016242,2909445
Crossover,121,0.937,0.213873093,3500925
Crossover,122,0.947333333,0.186436969,2872875
Crossover,123,0.930666667,0.224421295,3096270
Crossover,124,0.94,0.198451044,3231420
Crossover,125,0.946,0.168773941,2929055
Crossover,126,0.940333333,0.195703296,3325760
Crossover,127,0.937333333,0.210583867,3213135
Crossover,128,0.944,0.177966836,3301910
Crossover,129,0.945666667,0.185625979,3214195
Crossover,130,0.943666667,0.184683901,3403405
Crossover,131,0.947666667,0.183712215,2937270
Crossover,132,0.946666667,0.187027272,3492180
Crossover,133,0.945333333,0.180760788,2783040
Crossover,134,0.936666667,0.213375678,2787545
Crossover,135,0.940666667,0.181659716,3398900
Crossover,136,0.944333333,0.189477743,2955820
Crossover,137,0.946666667,0.175619787,3477605
Crossover,138,0.945333333,0.187922877,3545445
Crossover,139,0.939333333,0.200381006,2676245
Crossover,140,0.939,0.195469728,2845845
Crossover,141,0.934,0.207240085,2614765
Crossover,142,0.945,0.185926553,2678630
Crossover,143,0.937,0.199716758,2530230
Crossover,144,0.945666667,0.187925355,2579918.333
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Crossover_Random_Initial_Layer_No,0,0.902666667,0.340866122,37543.33333
Crossover_Random_Initial_Layer_No,1,0.907333333,0.289249604,34314.66667
Crossover_Random_Initial_Layer_No,2,0.910333333,0.294466239,34670.66667
Crossover_Random_Initial_Layer_No,3,0.902,0.296676834,43216.33333
Crossover_Random_Initial_Layer_No,4,0.913,0.271093664,46895.33333
Crossover_Random_Initial_Layer_No,5,0.918,0.269603788,46277
Crossover_Random_Initial_Layer_No,6,0.916666667,0.266579558,56891
Crossover_Random_Initial_Layer_No,7,0.910666667,0.269954971,59251
Crossover_Random_Initial_Layer_No,8,0.914666667,0.270148202,64036.33333
Crossover_Random_Initial_Layer_No,9,0.920666667,0.24490553,72057.33333
Crossover_Random_Initial_Layer_No,10,0.921333333,0.250914601,77039.66667
Crossover_Random_Initial_Layer_No,11,0.921333333,0.237596163,77197.66667
Crossover_Random_Initial_Layer_No,12,0.921666667,0.257425935,91976
Crossover_Random_Initial_Layer_No,13,0.923666667,0.224082057,91145.33333
Crossover_Random_Initial_Layer_No,14,0.917666667,0.267666923,91276.33333
Crossover_Random_Initial_Layer_No,15,0.920666667,0.238489936,134327
Crossover_Random_Initial_Layer_No,16,0.924,0.240625176,99850.33333
Crossover_Random_Initial_Layer_No,17,0.927333333,0.225948013,114518
Crossover_Random_Initial_Layer_No,18,0.929333333,0.225615175,114627.6667
Crossover_Random_Initial_Layer_No,19,0.931333333,0.215506995,117056
Crossover_Random_Initial_Layer_No,20,0.933,0.209445078,117123.6667
Crossover_Random_Initial_Layer_No,21,0.923333333,0.240632023,134065
Crossover_Random_Initial_Layer_No,22,0.929333333,0.228728684,128320
Crossover_Random_Initial_Layer_No,23,0.913333333,0.260864497,153127.6667
Crossover_Random_Initial_Layer_No,24,0.931666667,0.237589415,150032.6667
Crossover_Random_Initial_Layer_No,25,0.926,0.231834762,155442.3333
Crossover_Random_Initial_Layer_No,26,0.924333333,0.23386282,156395
Crossover_Random_Initial_Layer_No,27,0.927,0.235582319,152574.3333
Crossover_Random_Initial_Layer_No,28,0.925333333,0.238004169,154478
Crossover_Random_Initial_Layer_No,29,0.932,0.219032709,186795
Crossover_Random_Initial_Layer_No,30,0.929666667,0.20843997,184558.6667
Crossover_Random_Initial_Layer_No,31,0.929666667,0.216076233,206059
Crossover_Random_Initial_Layer_No,32,0.936666667,0.194270585,251332
Crossover_Random_Initial_Layer_No,33,0.935666667,0.219368316,233143.6667
Crossover_Random_Initial_Layer_No,34,0.929,0.21222432,222682
Crossover_Random_Initial_Layer_No,35,0.940333333,0.191848692,313149.3333
Crossover_Random_Initial_Layer_No,36,0.933333333,0.207751717,305507.6667
Crossover_Random_Initial_Layer_No,37,0.930666667,0.214991478,314157
Crossover_Random_Initial_Layer_No,38,0.94,0.196851345,379013.6667
Crossover_Random_Initial_Layer_No,39,0.942,0.193620788,422572.3333
Crossover_Random_Initial_Layer_No,40,0.932666667,0.23150094,464074.6667
Crossover_Random_Initial_Layer_No,41,0.934666667,0.217674328,464611.3333
Crossover_Random_Initial_Layer_No,42,0.935333333,0.198755768,428928.3333
Crossover_Random_Initial_Layer_No,43,0.935,0.208670033,496879
Crossover_Random_Initial_Layer_No,44,0.939,0.202545867,399005.6667
Crossover_Random_Initial_Layer_No,45,0.940666667,0.19894559,509805.3333
Crossover_Random_Initial_Layer_No,46,0.934666667,0.206161125,494753.3333
Crossover_Random_Initial_Layer_No,47,0.940666667,0.18441048,571111.6667
Crossover_Random_Initial_Layer_No,48,0.926666667,0.243696607,679901.3333
Crossover_Random_Initial_Layer_No,49,0.94,0.20828109,629318.6667
Crossover_Random_Initial_Layer_No,50,0.932666667,0.23138619,588109
Crossover_Random_Initial_Layer_No,51,0.937333333,0.206034788,617543.6667
Crossover_Random_Initial_Layer_No,52,0.937333333,0.202708217,669195
Crossover_Random_Initial_Layer_No,53,0.942666667,0.19188468,664866
Crossover_Random_Initial_Layer_No,54,0.934,0.222962702,770949.3333
Crossover_Random_Initial_Layer_No,55,0.937666667,0.193442831,842725.3333
Crossover_Random_Initial_Layer_No,56,0.932,0.212510391,709841.3333
Crossover_Random_Initial_Layer_No,57,0.938333333,0.193707895,767160.6667
Crossover_Random_Initial_Layer_No,58,0.937666667,0.202348793,774639.6667
Crossover_Random_Initial_Layer_No,59,0.939333333,0.18691948,686709
Crossover_Random_Initial_Layer_No,60,0.943333333,0.20540087,797513.3333
Crossover_Random_Initial_Layer_No,61,0.940333333,0.195226906,703745
Crossover_Random_Initial_Layer_No,62,0.941333333,0.19242359,760438.3333
Crossover_Random_Initial_Layer_No,63,0.940666667,0.191226653,693419.6667
Crossover_Random_Initial_Layer_No,64,0.928,0.240035775,738833
Crossover_Random_Initial_Layer_No,65,0.944,0.18937251,739439.6667
Crossover_Random_Initial_Layer_No,66,0.93,0.236999587,776278.6667
Crossover_Random_Initial_Layer_No,67,0.927666667,0.229975781,684054
Crossover_Random_Initial_Layer_No,68,0.937,0.21125918,731052.3333
Crossover_Random_Initial_Layer_No,69,0.940666667,0.186960803,809904
Crossover_Random_Initial_Layer_No,70,0.940666667,0.204428403,883756.6667
Crossover_Random_Initial_Layer_No,71,0.933666667,0.219270607,683878.3333
Crossover_Random_Initial_Layer_No,72,0.932666667,0.224681901,803625.3333
Crossover_Random_Initial_Layer_No,73,0.937666667,0.213688125,907708.3333
