Experiment 1 ,28_03_2020_07-45-16

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,4
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,5
mating_pool ,5
mutation_rate,0.8

OUTPUT
generation_no,params_no,layers_no,accuracy,loss
0,37052,8,0.85,0.5144703197479248
1,14519,4,0.867,0.44047219133377075
2,21439,4,0.872,0.41193952298164366
3,19233,5,0.88,0.3740248265266418
4,21480,6,0.903,0.3490250430703163
5,15359,5,0.872,0.38486909902095795
6,15701,4,0.856,0.4540719380378723
7,19660,5,0.896,0.3407523031234741
8,26509,4,0.896,0.3110321440696716
9,31041,3,0.92,0.29082605242729187
10,32675,2,0.906,0.30972115278244017
11,31249,3,0.912,0.2688609681129456
12,40067,3,0.909,0.2892289001941681
13,36184,4,0.904,0.2901606664657593
14,36589,4,0.907,0.2755845186710358
15,44197,4,0.913,0.27187541174888613
16,53357,3,0.912,0.28083210659027097
17,45997,4,0.9,0.3184408006668091
18,44081,3,0.911,0.2862771670818329
19,65018,5,0.912,0.267485630273819
20,49895,2,0.917,0.25893866539001464
21,66996,4,0.893,0.3450706763267517
22,79901,4,0.913,0.2775186396837234
23,73439,4,0.923,0.22400829339027406
24,57594,4,0.898,0.31361560809612277
25,46847,3,0.916,0.27104233503341674
26,63198,2,0.914,0.2650547521114349
27,73467,3,0.916,0.24274269890785216
28,75615,2,0.914,0.2561201677322388
29,74702,2,0.916,0.2758259439468384
30,60395,2,0.91,0.2777833478450775
31,61797,3,0.913,0.28839247131347656
32,60565,2,0.919,0.2558960237503052
33,95000,2,0.918,0.2546380823850632
34,94075,3,0.921,0.2766859520673752
35,80677,3,0.921,0.2659582340717316
36,71627,3,0.918,0.25820250737667083
37,80616,3,0.91,0.25780883073806765
38,79503,2,0.915,0.24334723615646361
39,83771,3,0.917,0.24420761036872865
40,97673,3,0.92,0.2440393739938736
41,104179,3,0.918,0.2307177655696869
42,115883,3,0.913,0.25195873141288755
43,126701,3,0.93,0.22724753296375275
44,103776,4,0.915,0.2763948268890381
45,112001,4,0.916,0.2638884899616242
46,101192,3,0.932,0.21536013746261598
47,99606,2,0.919,0.2427369202375412
48,99452,2,0.921,0.24399694287776946
49,78279,2,0.916,0.2521526472568512
50,115443,2,0.934,0.22481582230329514
51,90160,2,0.92,0.22917594766616822
52,134652,2,0.926,0.22845287263393402
53,179475,2,0.934,0.21975669407844545
54,175086,2,0.923,0.22875599658489226
55,218184,2,0.933,0.20311186969280243
56,192751,2,0.928,0.22153994584083558
57,192983,2,0.927,0.21910378360748292
58,182905,2,0.925,0.20612555027008056
59,182905,2,0.922,0.22715024209022522
60,196305,2,0.928,0.2210150272846222
61,176271,2,0.93,0.22809204268455505
62,218058,2,0.928,0.2284713876247406
63,286327,4,0.942,0.20831599855422975
64,284561,4,0.933,0.20946980541944504
65,335810,4,0.934,0.22628573429584503
66,313856,3,0.932,0.20911523288488387
67,278237,3,0.926,0.22570957684516907
68,382823,3,0.924,0.2441112835407257
69,352019,3,0.931,0.1991257836818695
70,417089,3,0.924,0.25587805223464966
71,412320,3,0.914,0.2728936755657196
72,321807,3,0.923,0.235201849848032
73,382200,2,0.928,0.23782901906967163
74,435507,2,0.944,0.18922970086336136
75,444048,2,0.934,0.20395864796638488
76,573143,2,0.929,0.18300064060091972
77,549889,2,0.926,0.2271601172685623
78,531816,2,0.937,0.19087813133001327
79,703052,3,0.935,0.20899330659210683
80,549889,2,0.932,0.20772229743003845
81,449275,2,0.927,0.21360776430368422
82,412274,3,0.938,0.20443370079994203
83,499215,3,0.876,0.38133688497543333
84,402909,3,0.931,0.22513087594509124
85,392275,2,0.928,0.201459477186203
86,691017,2,0.917,0.2325407942533493
87,597475,2,0.938,0.2008592637181282
88,593125,2,0.945,0.19679132199287414
89,599650,2,0.928,0.20796214759349824
90,606535,2,0.926,0.2556348783373833
91,982320,2,0.937,0.19343408340215684
92,1160655,2,0.937,0.18582242715358735
93,1160655,2,0.94,0.1860489068031311
94,1504334,2,0.924,0.26552981992065905
95,1489942,2,0.934,0.21247069454193115
96,2080525,1,0.93,0.19143492794036865
97,1469170,1,0.934,0.1995939016342163
98,1560371,2,0.936,0.21793363797664642
99,1469170,1,0.935,0.18615152999758722
100,1532770,1,0.929,0.22369689166545867
101,2286159,2,0.915,0.30185056871175764
102,1488975,2,0.938,0.20067747282981874
103,1601575,2,0.933,0.21290504103899002
104,1911165,2,0.938,0.19775767210125922
105,1911165,2,0.941,0.1784909775853157
106,1982868,2,0.935,0.21135192120075225
107,1506900,2,0.927,0.23559348011016845
108,1335055,2,0.929,0.23435934084653853
109,1247047,2,0.925,0.20591718515753746
110,1238035,2,0.934,0.18933035582304
111,1916239,2,0.933,0.2201540950834751
112,1185355,1,0.931,0.20743601220846175
113,1296655,1,0.933,0.1877685272693634
114,1296655,1,0.938,0.18342434108257294
115,1095520,1,0.93,0.20917835706472396
116,1372180,1,0.948,0.1645742616057396
117,1438296,2,0.92,0.269614173412323
118,1403185,1,0.918,0.22649600553512572
119,1733905,1,0.939,0.19618092179298402
120,1403185,1,0.938,0.18724872452020644
121,1462810,1,0.937,0.1879841645359993
122,1344355,1,0.941,0.17232772697508336
123,1648045,1,0.929,0.21059368073940277
124,1778425,1,0.933,0.21026602242887021
125,1888135,1,0.938,0.19279887080192565
126,1320505,1,0.943,0.18731867063045501
127,1633735,1,0.939,0.19377105122804641
128,1374119,2,0.937,0.214785620033741
129,1163890,1,0.943,0.1799358390569687
130,1370775,2,0.931,0.24478455919027328
131,1320505,1,0.939,0.18727071690559388
132,1745829,2,0.931,0.18995498198270797
133,1233915,2,0.938,0.19882582873106003
134,1493020,1,0.939,0.20260067558288575
135,1285525,1,0.932,0.214134263753891
136,1285525,1,0.938,0.18271297001838685
137,1285525,1,0.935,0.18723093354701995
138,1249750,1,0.943,0.20264613139629364
139,1249750,1,0.936,0.2000794435143471
140,1888135,1,0.936,0.20675134372711182
141,1675075,1,0.932,0.20385284984111787
142,1389149,2,0.927,0.2502900370955467
143,1375821,2,0.933,0.20372547194361687
144,1601564,2,0.943,0.18701644712686538
145,1560595,1,0.94,0.17707638573646545
146,1184560,1,0.925,0.20750744152069092
147,1286690,2,0.949,0.17706958889961244
148,1227490,1,0.939,0.17902448809146881
149,1313350,1,0.942,0.1853560262322426
150,1238620,1,0.931,0.21111238104104996
151,1355035,2,0.923,0.23736813175678254
152,1370002,2,0.928,0.21100245428085326
153,1126019,2,0.936,0.19079594081640244
154,760381,2,0.937,0.19566161864995957
155,767450,2,0.942,0.19286269107460977
156,810999,2,0.928,0.2118072452545166
157,726515,2,0.938,0.1963803915977478
158,760381,2,0.936,0.20702228796482086
