Experiment 3 ,28_03_2020_06-45-15

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,10
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,5
mating_pool ,5
mutation_rate,0.8

OUTPUT
generation_no,params_no,layers_no,accuracy,loss
0,23337,4,0.91,0.2686594090461731
1,22561,3,0.92,0.2729663815498352
2,33882,5,0.924,0.2946279675960541
3,31396,4,0.918,0.2781301121711731
4,32807,4,0.932,0.21615819638967515
5,35926,4,0.925,0.23671803748607637
6,36329,4,0.913,0.30896335899829863
7,32895,5,0.915,0.3063157363682985
8,41113,4,0.931,0.2555766488313675
9,42584,3,0.919,0.25114770418405535
10,44661,3,0.917,0.26889789032936096
11,42234,3,0.92,0.25375474387407304
12,38970,2,0.928,0.24464799404144288
13,37284,3,0.919,0.2870507920533419
14,47304,3,0.925,0.24757028144598006
15,44431,2,0.92,0.23623480927944182
16,47747,2,0.941,0.22097739589214324
17,55895,3,0.927,0.24630099821090698
18,44663,3,0.927,0.24803476905822755
19,58129,4,0.919,0.28079221525788306
20,71072,4,0.92,0.2594136742949486
21,65350,4,0.938,0.23970511615276335
22,71187,5,0.928,0.30611855709552765
23,77556,3,0.925,0.24646706974506377
24,81609,3,0.932,0.2393657800257206
25,84405,3,0.933,0.21735356253385543
26,66053,3,0.93,0.24767712700366973
27,86364,3,0.936,0.22824342942237855
28,82641,3,0.931,0.2354436789751053
29,71629,3,0.941,0.2078216068446636
30,91244,3,0.936,0.2335473608970642
31,90369,3,0.925,0.24123975014686586
32,80323,3,0.934,0.23363531190156936
33,103701,4,0.936,0.22914999489486218
34,94583,3,0.941,0.20671265937387942
35,98669,3,0.928,0.2662028431892395
36,102635,3,0.927,0.24418918222188948
37,107321,3,0.939,0.2192107548266649
38,107060,3,0.939,0.2033835050985217
39,107060,3,0.934,0.22405759316682816
40,119243,3,0.937,0.1866922323554754
41,106712,3,0.939,0.21025183656811713
42,106712,3,0.933,0.24161447293311358
43,106712,3,0.937,0.21043194326758385
44,96389,3,0.939,0.22661775378882884
45,124271,3,0.944,0.2080829287469387
46,124271,3,0.941,0.23314116609096527
47,121154,2,0.944,0.23441212218999863
48,155467,3,0.943,0.20747298045456408
49,124659,3,0.94,0.22042439784109594
50,138375,2,0.935,0.20409083223342894
51,143800,2,0.939,0.22266011238098143
52,164827,2,0.93,0.2250635762810707
53,211506,2,0.945,0.1905823592543602
54,219396,2,0.945,0.1960917924642563
55,213347,2,0.943,0.21056712040305137
56,221261,2,0.946,0.19060504233837128
57,212032,2,0.939,0.18520790195465087
58,265350,2,0.946,0.18247984731197356
59,323007,2,0.947,0.1945623341202736
60,319895,2,0.943,0.18065003713965416
61,246795,2,0.943,0.1892681639790535
62,269250,2,0.944,0.184030577480793
63,310329,2,0.947,0.18117809884250163
64,331351,2,0.949,0.1830087598413229
65,341477,2,0.949,0.18803556436300278
66,341477,2,0.95,0.179884397149086
67,344343,2,0.948,0.18275162073969842
68,344343,2,0.955,0.17682842511311173
