Experiment 2 ,01_04_2020_03-09-34

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,10
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,25
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,5
mating_pool ,5
mutation_rate,0.6

OUTPUT
generation_no,params_no,layers_no,accuracy,loss
0,20933,3,0.919,0.274503618478775
1,20933,3,0.913,0.282079906463623
2,20933,3,0.912,0.24980771386623382
3,20324,3,0.91,0.2643739825487137
4,22289,3,0.914,0.26407718801498414
5,24652,4,0.915,0.3016424922943115
6,25045,3,0.924,0.24256135952472688
7,24915,3,0.919,0.2892836322784424
8,24915,3,0.927,0.24053405499458314
9,24915,3,0.932,0.219607232183218
10,27057,4,0.909,0.2805755722522736
11,35175,3,0.906,0.32254539561271667
12,41644,4,0.926,0.2977892808914185
13,37199,3,0.918,0.26042480146884917
14,49879,2,0.918,0.23382556194067
15,51959,3,0.925,0.2641285837888718
16,51959,3,0.922,0.2725846337080002
17,63013,2,0.925,0.2326208329498768
18,64209,3,0.92,0.29230649608373643
19,64209,3,0.926,0.28048987513780593
20,58446,2,0.932,0.22693289124965668
21,68772,4,0.93,0.25173937621712683
22,82111,2,0.938,0.20227246463298798
23,82111,2,0.933,0.20495983666181564
24,89233,2,0.921,0.26527651816606523
25,112895,2,0.947,0.2005349453687668
26,138168,2,0.936,0.21934209859371184
27,161327,2,0.948,0.20362014362215997
28,144273,3,0.934,0.2071006291806698
29,161327,2,0.94,0.2122514487504959
30,161327,2,0.939,0.22001277293264865
31,210600,2,0.935,0.2143339649438858
32,178423,2,0.941,0.21361045078933238
33,243600,2,0.951,0.1796070375740528
34,325533,2,0.948,0.19120289228856563
35,309875,2,0.946,0.19687568925321103
36,371513,2,0.95,0.18072747893631458
37,408873,2,0.951,0.1903916922993958
38,440705,2,0.954,0.198043902233243
39,380815,1,0.947,0.17597842633724212
40,444415,1,0.943,0.18617777052521706
41,496965,2,0.948,0.19781005598604678
42,578255,2,0.954,0.1727293978817761
43,514065,2,0.954,0.1859743655025959
44,514065,2,0.947,0.17588071276247502
45,514065,2,0.951,0.18456255488097667
46,455301,2,0.948,0.1924074597209692
47,455301,2,0.948,0.1876596221551299
48,455301,2,0.953,0.19121831487119198
49,489765,2,0.952,0.18825164967775346
50,450493,2,0.951,0.19697666289284826
51,545380,2,0.95,0.1857032102048397
52,539190,2,0.947,0.19157128471136092
53,514950,2,0.943,0.185381024800241
54,514950,2,0.946,0.18600550588220358
55,491343,2,0.949,0.15843197990581392
56,410445,2,0.947,0.18616898723319172
57,448496,2,0.944,0.20613823193311692
58,419610,3,0.943,0.23927227106690407
59,440640,2,0.955,0.17251500660926103
60,440640,2,0.953,0.19014199440181256
61,450615,2,0.95,0.18682218508422374
62,450615,2,0.95,0.18008126616477965
63,529871,2,0.95,0.1943955760896206
64,468375,2,0.952,0.18506572008877992
65,490635,2,0.947,0.17967196222022175
66,390099,2,0.953,0.19131381920352578
67,328614,2,0.953,0.1847209493741393
68,330344,3,0.947,0.20084268443286418
69,328614,2,0.942,0.20600149920582772
70,435522,2,0.954,0.17386148274689914
71,435522,2,0.95,0.19332300361990928
72,435522,2,0.952,0.18590811017900705
73,396303,2,0.948,0.20050783602893352
74,396303,2,0.951,0.1884887989833951
75,396303,2,0.949,0.192479176428169
76,396303,2,0.95,0.17709100060164928
77,396303,2,0.953,0.18412011955678462
78,396303,2,0.953,0.18509080434590577
79,396303,2,0.949,0.18247552785277366
80,489174,2,0.953,0.1877887479290366
81,481119,2,0.947,0.18890295843034982
82,481119,2,0.948,0.1883008749075234
83,591093,2,0.959,0.1594178836941719
84,591093,2,0.947,0.18809969380125405
85,704835,2,0.956,0.18444828660041093
86,551151,2,0.955,0.17194244374334813
87,523023,2,0.952,0.16005303301662208
88,566095,2,0.95,0.1867754149734974
89,601935,2,0.95,0.18718482231348754
90,697859,2,0.956,0.18824235107004642
91,751375,2,0.945,0.23179286142438651
92,886969,2,0.946,0.19533008682727815
93,746815,2,0.956,0.1793872807621956
94,746815,2,0.95,0.18426558171585203
95,746815,2,0.956,0.1828505982514471
96,884883,2,0.947,0.1927215731739998
97,735385,1,0.947,0.17295189167559147
98,881665,1,0.949,0.17869911755621434
99,833965,1,0.948,0.1692932668030262
100,776419,2,0.95,0.1990775469839573
101,833965,1,0.947,0.17747777938842774
102,833965,1,0.947,0.17517939332127572
103,808525,1,0.952,0.17331362003087997
104,868945,1,0.952,0.17479322984814644
105,868945,1,0.948,0.17714540661871434
106,945265,1,0.952,0.17689582793414593
107,1175020,1,0.949,0.17616126608848573
108,1272805,1,0.95,0.17845759945362807
109,1319710,1,0.95,0.1811006981730461
110,1741855,1,0.949,0.16737579145282508
111,1741855,1,0.951,0.16881312182545663
112,1741855,1,0.95,0.17361807230114937
113,2114710,1,0.948,0.1761808444559574
114,2114710,1,0.951,0.16920954450964928
115,2114710,1,0.953,0.1770644210651517
116,2114710,1,0.95,0.1835937270671129
117,2414425,1,0.956,0.171904780626297
118,2291995,1,0.951,0.1820445052459836
119,2335720,1,0.952,0.17469257328286766
120,2482000,1,0.951,0.175516650557518
121,2248270,1,0.954,0.1690412764698267
122,2906530,1,0.953,0.16910091407597064
123,2482000,1,0.951,0.16779352859407665
124,2906530,1,0.956,0.1724434221610427
125,2906530,1,0.95,0.17396003818511963
126,2906530,1,0.954,0.18325927958637475
127,3494830,1,0.957,0.17300279327481985
128,3589435,1,0.955,0.16677704359591008
129,4640425,1,0.951,0.17686555593088268
130,4370125,1,0.95,0.16195886392891407
131,4370125,1,0.957,0.1593195464015007
132,4370125,1,0.956,0.18359825380146502
133,4370125,1,0.957,0.16535321152955293
134,4370125,1,0.951,0.17828860457986592
135,4408791,2,0.952,0.2333411705121398
136,4392267,2,0.954,0.23271957920491695
137,4392267,2,0.953,0.2221937097851187
138,4392267,2,0.946,0.21855288065224887
139,4392267,2,0.942,0.2460741441845894
140,4392267,2,0.955,0.18886782503314317
