Experiment 1 ,31_03_2020_02-02-34

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,10
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,5
mating_pool ,5
mutation_rate,0.4

OUTPUT
generation_no,params_no,layers_no,accuracy,loss
0,43192,4,0.918,0.2840122747421265
1,43192,4,0.921,0.26466363096237183
2,43192,4,0.927,0.24987761175632478
3,43192,4,0.937,0.211149244338274
4,43192,4,0.923,0.26165733730793
5,41705,3,0.935,0.22959520840644837
6,41579,3,0.929,0.23067979049682616
7,52111,4,0.915,0.2631981862783432
8,51371,3,0.917,0.2790238460302353
9,62503,4,0.915,0.2925223801061511
10,51371,3,0.929,0.23691330409049988
11,46643,3,0.914,0.2848950219154358
12,53000,3,0.931,0.23860135197639465
13,53705,4,0.923,0.2582210938334465
14,53855,3,0.933,0.25746304166316986
15,55339,4,0.921,0.2643260089159012
16,69707,3,0.94,0.21586913427710533
17,80815,3,0.934,0.22241888117790223
18,97037,3,0.924,0.2754192178249359
19,80505,3,0.933,0.25718269336223604
20,89427,3,0.931,0.23788968259096147
21,80815,3,0.934,0.2528127349615097
22,80815,3,0.938,0.20507468698918818
23,80815,3,0.939,0.22313638089597226
24,80815,3,0.942,0.22478580379486085
25,99710,3,0.923,0.2879864026904106
26,81076,4,0.932,0.2547358386516571
27,80815,3,0.927,0.2425351227223873
28,105796,3,0.93,0.21827488312125207
29,105735,3,0.934,0.22762904489040375
30,105735,3,0.94,0.24713297945261
31,106581,4,0.94,0.24531763690710068
32,124757,3,0.94,0.22153800675272942
33,124757,3,0.926,0.2657017094194889
34,124757,3,0.936,0.20374919238686562
35,124757,3,0.94,0.21397984901070594
36,123351,2,0.939,0.2170143426656723
37,124757,3,0.948,0.17780056434869768
38,134533,3,0.928,0.23089481353759767
39,148755,2,0.94,0.18210169556736946
40,192576,2,0.942,0.18978002691268922
41,171357,2,0.946,0.18854543471336366
42,162447,2,0.946,0.17309457090497016
43,162447,2,0.944,0.20196742457151412
44,168731,2,0.948,0.1820459310412407
45,171357,2,0.942,0.1768928269445896
46,168731,2,0.945,0.2090891994535923
47,216125,2,0.944,0.19283095991611482
48,216125,2,0.941,0.20117670652270317
49,216125,2,0.945,0.18203374744951725
50,213135,2,0.95,0.1772890023291111
51,188880,2,0.939,0.21040096090734006
52,218175,2,0.945,0.20753777888417244
53,163047,2,0.941,0.20670154565572738
54,168563,3,0.941,0.19326601547002792
55,163047,2,0.938,0.22072021239995956
56,163047,2,0.947,0.23042708265781403
57,163047,2,0.933,0.25594450529664753
58,163047,2,0.942,0.20413325767219068
59,163047,2,0.94,0.21216025093197824
60,163047,2,0.945,0.19370812264084816
61,163047,2,0.948,0.17741376143693924
62,174243,2,0.943,0.19045082181692125
63,163047,2,0.94,0.20759678496420383
64,231367,3,0.939,0.23206985138356687
65,231367,3,0.944,0.2138247039616108
66,231367,3,0.947,0.20564810948073864
67,231367,3,0.942,0.21156987696886062
68,231367,3,0.942,0.2230166761726141
69,231367,3,0.947,0.1870573902130127
70,283138,3,0.95,0.18968413400650025
71,283138,3,0.948,0.2026146758273244
72,234787,2,0.942,0.17460175684094428
73,283138,3,0.951,0.19493365681171418
74,341503,3,0.951,0.21245091252028941
75,341503,3,0.939,0.23937403421103953
76,341503,3,0.949,0.2217575726658106
77,341503,3,0.944,0.239773088760674
78,341945,3,0.947,0.19911642587184905
79,341503,3,0.945,0.20726856438070534
80,429179,3,0.951,0.2075243272520602
81,429179,3,0.943,0.1987670990228653
82,429179,3,0.939,0.22698876368999482
83,427501,2,0.955,0.16227178832888603
84,414495,2,0.951,0.19593574657291174
85,414495,2,0.955,0.17740627141296864
86,414495,2,0.955,0.1784634790122509
87,414495,2,0.954,0.20040716421231627
88,414495,2,0.949,0.18537465971708297
89,414495,2,0.95,0.18667269205302
90,414495,2,0.947,0.2047270915210247
91,414495,2,0.949,0.19213888285309078
92,414495,2,0.948,0.17260079818964005
93,414495,2,0.953,0.17104124020040035
94,414495,2,0.95,0.17899535965174437
95,389507,2,0.938,0.23593558247387408
96,387435,2,0.95,0.1849675978720188
97,390333,2,0.945,0.1757026505433023
98,387435,2,0.953,0.18760413458198308
99,390333,2,0.943,0.18705861499905585
100,348703,2,0.947,0.1978143135905266
101,317371,2,0.95,0.18162142159789801
102,317371,2,0.951,0.16882012625038623
103,317371,2,0.95,0.19621465752273798
104,317371,2,0.948,0.18864238505065442
105,317371,2,0.951,0.1849275244548917
106,322151,2,0.954,0.16764047253131867
107,322151,2,0.945,0.18465494487434625
108,400637,2,0.955,0.17664005975425243
109,414091,2,0.946,0.18931321892142297
110,414091,2,0.951,0.19464729715883733
111,414091,2,0.951,0.18628644952178
112,414091,2,0.95,0.17569475466758014
113,406279,2,0.953,0.18277094983309508
114,414091,2,0.947,0.19548607923090458
115,414091,2,0.94,0.25156048715114593
116,531453,2,0.948,0.18600926753878594
117,516361,2,0.953,0.18665569376945496
118,517271,3,0.953,0.20545718649774788
119,517271,3,0.949,0.18847739140689374
120,438281,3,0.948,0.18582253587245942
121,438029,3,0.951,0.21287522743642331
122,517671,3,0.949,0.20078253300487994
123,420651,3,0.941,0.2057797496020794
124,420651,3,0.94,0.24543159720301627
125,399481,2,0.953,0.19496241381391882
126,406391,3,0.936,0.25871143717691303
127,406391,3,0.948,0.21843300698697568
128,394469,3,0.954,0.20782530166953803
129,394469,3,0.942,0.23262922340631484
130,394469,3,0.952,0.19541491252928972
131,394469,3,0.948,0.2014508204124868
132,421535,3,0.941,0.23202435278892516
133,392741,3,0.949,0.2173970951139927
134,392741,3,0.934,0.2820285889804363
135,389367,2,0.949,0.19129345770925282
136,389367,2,0.945,0.17876652577519417
137,389367,2,0.949,0.1868592845648527
138,480594,2,0.953,0.18833414531499149
139,494661,2,0.953,0.19365747433155775
140,389367,2,0.939,0.24999128679931165
141,357429,2,0.951,0.17676118744909763
142,357429,2,0.946,0.1949736787006259
143,357429,2,0.944,0.2103806007951498
144,357429,2,0.944,0.20718625581264496
145,368981,2,0.954,0.18977860667929053
