name,generation,avg acc,avg los,avg par
Epochs3_population17,0,0.884666667,0.351189181,23391.66667
Epochs3_population17,1,0.899,0.317061473,35834.66667
Epochs3_population17,2,0.895666667,0.332957237,30510.66667
Epochs3_population17,3,0.9,0.323457601,33026
Epochs3_population17,4,0.893333333,0.321913336,34672
Epochs3_population17,5,0.904666667,0.300811868,44339
Epochs3_population17,6,0.906666667,0.298823447,42276.66667
Epochs3_population17,7,0.897666667,0.319082346,43461
Epochs3_population17,8,0.904333333,0.316010746,41872.66667
Epochs3_population17,9,0.903333333,0.294654698,53161.66667
Epochs3_population17,10,0.897,0.309793701,47324.66667
Epochs3_population17,11,0.903,0.297514998,53915
Epochs3_population17,12,0.911666667,0.284450516,46539.33333
Epochs3_population17,13,0.899666667,0.311960134,52158
Epochs3_population17,14,0.909,0.282723997,66290.66667
Epochs3_population17,15,0.908333333,0.268390956,78231.66667
Epochs3_population17,16,0.913333333,0.257399864,84374.33333
Epochs3_population17,17,0.908,0.277375851,79486
Epochs3_population17,18,0.908333333,0.279790622,72686.33333
Epochs3_population17,19,0.909333333,0.266164573,82203
Epochs3_population17,20,0.910666667,0.274740689,82155.33333
Epochs3_population17,21,0.911,0.264984617,94330
Epochs3_population17,22,0.913333333,0.262013986,114791
Epochs3_population17,23,0.922666667,0.239592768,110278
Epochs3_population17,24,0.912666667,0.26606195,101461.6667
Epochs3_population17,25,0.917,0.260447113,118507.6667
Epochs3_population17,26,0.92,0.239904902,136857.3333
Epochs3_population17,27,0.915,0.245756234,145603.6667
Epochs3_population17,28,0.918333333,0.252994907,152982.6667
Epochs3_population17,29,0.919666667,0.242333439,144745.3333
Epochs3_population17,30,0.919,0.233560979,126797
Epochs3_population17,31,0.92,0.240062117,140901
Epochs3_population17,32,0.916,0.262307326,126026.3333
Epochs3_population17,33,0.92,0.239326905,163292.6667
Epochs3_population17,34,0.921333333,0.239135373,183742
Epochs3_population17,35,0.922666667,0.230642192,239674.6667
Epochs3_population17,36,0.929,0.220464894,245736.6667
Epochs3_population17,37,0.919666667,0.248163614,301628
Epochs3_population17,38,0.922333333,0.233824254,316730.6667
Epochs3_population17,39,0.928666667,0.217116512,245970
Epochs3_population17,40,0.918,0.244795409,249063.6667
Epochs3_population17,41,0.921,0.235879049,309810.3333
Epochs3_population17,42,0.920666667,0.236318945,323540.6667
Epochs3_population17,43,0.927,0.229608515,371534
Epochs3_population17,44,0.923,0.244186076,421445
Epochs3_population17,45,0.929,0.224981402,434845.6667
Epochs3_population17,46,0.93,0.209929871,500632.3333
Epochs3_population17,47,0.924666667,0.235299379,536406.3333
