name,generation,avg acc,avg los,avg par
max_neurons_25,0,0.9,0.357220832,19970.66667
max_neurons_25,1,0.890333333,0.377438065,20313.66667
max_neurons_25,2,0.905666667,0.304442941,19531
max_neurons_25,3,0.902333333,0.339846719,19428
max_neurons_25,4,0.912666667,0.275376463,20039
max_neurons_25,5,0.913666667,0.285776923,23154
max_neurons_25,6,0.914333333,0.271578816,23250.66667
max_neurons_25,7,0.916,0.278992807,23944.33333
max_neurons_25,8,0.919,0.270411851,24243.66667
max_neurons_25,9,0.917,0.268613599,25196.33333
max_neurons_25,10,0.914333333,0.279451376,24660
max_neurons_25,11,0.905666667,0.300991441,25116.33333
max_neurons_25,12,0.914333333,0.303706678,28119.33333
max_neurons_25,13,0.919,0.264174396,27472.33333
max_neurons_25,14,0.912666667,0.276297847,31975.66667
max_neurons_25,15,0.916,0.289765622,33953.66667
max_neurons_25,16,0.908,0.298629707,33523
max_neurons_25,17,0.91,0.290251434,37355.33333
max_neurons_25,18,0.915333333,0.320343831,39832.33333
max_neurons_25,19,0.921333333,0.280387336,40490.66667
max_neurons_25,20,0.925333333,0.248959944,36242.33333
max_neurons_25,21,0.919,0.282367737,41468
max_neurons_25,22,0.924333333,0.242307345,44849
max_neurons_25,23,0.923333333,0.254057653,50384.66667
max_neurons_25,24,0.918,0.278261154,49673.33333
max_neurons_25,25,0.932,0.239837203,57634
max_neurons_25,26,0.925666667,0.246672529,65263.66667
max_neurons_25,27,0.925666667,0.254654775,76228.33333
max_neurons_25,28,0.924666667,0.246555555,70532.33333
max_neurons_25,29,0.922666667,0.252239161,77075.66667
max_neurons_25,30,0.928666667,0.250111726,77850.33333
max_neurons_25,31,0.928333333,0.263501996,95445.66667
max_neurons_25,32,0.93,0.242245217,85840.33333
max_neurons_25,33,0.930333333,0.2442517,106583
max_neurons_25,34,0.928,0.257804903,135616
max_neurons_25,35,0.937333333,0.232963747,132945
max_neurons_25,36,0.928,0.252701736,152426.6667
max_neurons_25,37,0.925666667,0.284533153,166381.3333
max_neurons_25,38,0.940666667,0.233130932,175234
max_neurons_25,39,0.934,0.227614757,156815.3333
max_neurons_25,40,0.931333333,0.23544847,179423
max_neurons_25,41,0.932,0.24030167,199415.3333
max_neurons_25,42,0.935,0.218494652,221825.6667
max_neurons_25,43,0.936,0.236477937,203417.3333
max_neurons_25,44,0.937666667,0.221286163,209160.6667
max_neurons_25,45,0.932,0.237342388,203476.3333
max_neurons_25,46,0.935333333,0.227939492,192376
max_neurons_25,47,0.936,0.233211102,190210.6667
max_neurons_25,48,0.934333333,0.23595159,190057
max_neurons_25,49,0.937666667,0.224546806,214823.6667
max_neurons_25,50,0.942333333,0.216538258,208468.3333
max_neurons_25,51,0.942,0.207741438,245598.3333
max_neurons_25,52,0.940333333,0.228092168,234124.3333
max_neurons_25,53,0.941666667,0.222369506,237586.6667
max_neurons_25,54,0.935333333,0.233892395,237954.3333
max_neurons_25,55,0.937666667,0.216664056,231339.6667
max_neurons_25,56,0.939666667,0.21021127,209976.3333
max_neurons_25,57,0.938666667,0.225457845,218165.6667
max_neurons_25,58,0.938666667,0.243272967,225673.6667
max_neurons_25,59,0.942,0.219298064,233550
max_neurons_25,60,0.940666667,0.224499008,251438
max_neurons_25,61,0.941333333,0.217765699,253402.6667
max_neurons_25,62,0.943666667,0.205798648,252955
max_neurons_25,63,0.946,0.202361807,280124.3333
max_neurons_25,64,0.946,0.199516912,262785
max_neurons_25,65,0.94,0.221910335,283307.6667
max_neurons_25,66,0.945666667,0.221982241,268611
max_neurons_25,67,0.947,0.188596448,247168
max_neurons_25,68,0.945666667,0.196540024,236409.6667
max_neurons_25,69,0.940666667,0.195821831,272795.6667
max_neurons_25,70,0.941666667,0.212638003,346564.3333
max_neurons_25,71,0.947333333,0.19581546,343968
max_neurons_25,72,0.946,0.196384869,344085
max_neurons_25,73,0.942333333,0.214387425,341966.6667
max_neurons_25,74,0.946666667,0.200056381,338866
max_neurons_25,75,0.947333333,0.195702055,370095
max_neurons_25,76,0.945,0.192679306,365493
max_neurons_25,77,0.946,0.2040287,358305.6667
max_neurons_25,78,0.948,0.18298647,353395
max_neurons_25,79,0.947,0.191241739,375816.6667
max_neurons_25,80,0.947333333,0.189724724,421883.6667
max_neurons_25,81,0.946,0.18761195,426867
max_neurons_25,82,0.949666667,0.181069404,465157
