name,generation,avg acc,avg los,avg par
Mutation_0.2,0,0.916333333,0.28357199,31161.66667
Mutation_0.2,1,0.922666667,0.250640886,34622
Mutation_0.2,2,0.921,0.267437944,32604.33333
Mutation_0.2,3,0.918,0.266870303,34816
Mutation_0.2,4,0.922333333,0.267957622,32776
Mutation_0.2,5,0.922333333,0.246489168,38357
Mutation_0.2,6,0.922,0.268847578,38117
Mutation_0.2,7,0.927,0.251415612,38263.66667
Mutation_0.2,8,0.922,0.259762444,38817
Mutation_0.2,9,0.925666667,0.232890953,38270.33333
Mutation_0.2,10,0.921666667,0.266383507,38270.33333
Mutation_0.2,11,0.923666667,0.2630238,38455.33333
Mutation_0.2,12,0.921333333,0.268949415,49162.33333
Mutation_0.2,13,0.923,0.254538994,43418.33333
Mutation_0.2,14,0.924,0.258542027,51414.66667
Mutation_0.2,15,0.92,0.251743991,46756.66667
Mutation_0.2,16,0.923666667,0.253319037,48327.66667
Mutation_0.2,17,0.925333333,0.246788629,49326
Mutation_0.2,18,0.927666667,0.255273021,49054.33333
Mutation_0.2,19,0.923333333,0.243186726,51639
Mutation_0.2,20,0.932666667,0.222245795,51621.66667
Mutation_0.2,21,0.929666667,0.241378412,52781.66667
Mutation_0.2,22,0.927666667,0.23096137,55870.33333
Mutation_0.2,23,0.925666667,0.260706166,54908.33333
Mutation_0.2,24,0.932333333,0.247131809,55740.66667
Mutation_0.2,25,0.923333333,0.243070901,55873.66667
Mutation_0.2,26,0.926666667,0.251231005,58439.33333
Mutation_0.2,27,0.928666667,0.249984865,64022.33333
Mutation_0.2,28,0.928,0.231492138,64627.33333
Mutation_0.2,29,0.93,0.255221728,65145.33333
Mutation_0.2,30,0.935333333,0.23214453,69943.33333
Mutation_0.2,31,0.927333333,0.254293101,69943.33333
Mutation_0.2,32,0.935666667,0.219395326,78943
Mutation_0.2,33,0.936333333,0.227220333,76237.66667
Mutation_0.2,34,0.927,0.247837908,101740
Mutation_0.2,35,0.934666667,0.239241353,98091.33333
Mutation_0.2,36,0.938666667,0.232991072,98091.33333
Mutation_0.2,37,0.934666667,0.230654088,92563.66667
Mutation_0.2,38,0.940333333,0.21271601,92700
Mutation_0.2,39,0.934333333,0.23259701,91556.33333
Mutation_0.2,40,0.935333333,0.223032099,91793.33333
Mutation_0.2,41,0.932333333,0.233788486,92700
Mutation_0.2,42,0.931333333,0.266810123,102963.3333
Mutation_0.2,43,0.935,0.230288308,103091.3333
Mutation_0.2,44,0.933333333,0.231429666,102856.6667
Mutation_0.2,45,0.938333333,0.208797029,110748.3333
Mutation_0.2,46,0.935666667,0.230722577,103395
Mutation_0.2,47,0.936333333,0.216124541,104677.6667
Mutation_0.2,48,0.938333333,0.217967329,107762.3333
Mutation_0.2,49,0.936,0.237229173,108065.6667
Mutation_0.2,50,0.936,0.243701188,99819.66667
Mutation_0.2,51,0.937666667,0.217646234,100195.3333
Mutation_0.2,52,0.93,0.242260902,102484.3333
Mutation_0.2,53,0.938333333,0.212204492,102647
Mutation_0.2,54,0.939333333,0.213782653,98369.66667
