Experiment 3 ,09_04_2020_03-25-08

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adamax

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.8

OUTPUT
generation_no,params_no,neurons_no,accuracy,loss
0,31810,40,0.885,0.4072822012901306
1,31015,39,0.879,0.4052855043411255
2,31810,40,0.878,0.405689582824707
3,34990,44,0.884,0.39343241930007933
4,42145,53,0.885,0.38264427852630617
5,46915,59,0.898,0.37508052349090576
6,42145,53,0.887,0.39500134325027464
7,36580,46,0.882,0.3827695064544678
8,47710,60,0.893,0.37732385110855104
9,51685,65,0.887,0.3747725386619568
10,31015,39,0.886,0.40705825805664064
11,35785,45,0.889,0.3941474847793579
12,24655,31,0.875,0.4254427604675293
13,28630,36,0.886,0.41196834325790405
14,31015,39,0.888,0.410194598197937
15,28630,36,0.878,0.4207336893081665
16,38170,48,0.881,0.4067676863670349
17,42940,54,0.89,0.37064488816261293
18,49300,62,0.887,0.3782963423728943
19,57250,72,0.902,0.35613842916488647
20,69970,88,0.893,0.3565205025672913
21,54865,69,0.897,0.3665331816673279
22,60430,76,0.894,0.3627251844406128
23,55660,70,0.892,0.36296446228027346
24,63610,80,0.892,0.3729160552024841
25,61225,77,0.9,0.3625214166641235
26,75535,95,0.894,0.3552193021774292
27,81895,103,0.894,0.3455245714187622
28,78715,99,0.906,0.33816931200027467
29,96205,121,0.901,0.3400489535331726
30,71560,90,0.898,0.35565064907073973
31,80305,101,0.903,0.35439532995224
32,80305,101,0.897,0.35284450340270995
33,80305,101,0.9,0.3470761525630951
34,72355,91,0.892,0.3629883818626404
35,85870,108,0.9,0.36151943969726563
36,85870,108,0.894,0.3439565858840942
37,100180,126,0.904,0.34428760623931887
38,100180,126,0.903,0.332568793296814
39,102565,129,0.898,0.34097272396087647
40,108925,137,0.901,0.33873160457611085
41,93820,118,0.896,0.33866928005218505
42,133570,168,0.902,0.3352253942489624
43,108925,137,0.9,0.3418490672111511
44,80305,101,0.9,0.33850756072998045
45,67585,85,0.897,0.36018311500549316
46,88255,111,0.902,0.34616732931137084
47,75535,95,0.898,0.3530326461791992
48,100975,127,0.904,0.3369793133735657
49,117670,148,0.899,0.32880651092529295
50,120055,151,0.904,0.3167751562595367
51,138340,174,0.908,0.31223346519470213
52,146290,184,0.904,0.3202110495567322
53,135955,171,0.913,0.3151272873878479
54,126415,159,0.905,0.31926614832878114
55,166960,210,0.902,0.3234679045677185
56,199555,251,0.908,0.3071288986206055
57,178090,224,0.906,0.3219778118133545
58,166960,210,0.901,0.3075004315376282
59,216250,272,0.908,0.3124393486976624
60,250435,315,0.914,0.28053630304336546
61,208300,262,0.909,0.2976223793029785
62,188425,237,0.904,0.30742349767684934
63,186040,234,0.911,0.30674225091934204
64,186040,234,0.909,0.3007947838306427
65,186040,234,0.908,0.30699175310134885
66,162190,204,0.901,0.3238759503364563
67,162190,204,0.907,0.31796993136405943
68,172525,217,0.91,0.29899322938919065
69,193990,244,0.913,0.30104797863960264
70,227380,286,0.907,0.29630146646499633
71,229765,289,0.909,0.3073449375629425
72,221815,279,0.912,0.30014945006370547
