Experiment 2 ,10_04_2020_02-46-33

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.selu
initial_max_nodes ,50
loss_function ,Loss.categorical_crossentropy
optimizer ,Optimizer.SGD

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.8

OUTPUT
generation_no,params_no,neurons_no,accuracy,loss
0,38965,49,0.861,0.5016132516860962
1,35785,45,0.849,0.5101087651252747
2,46120,58,0.869,0.4833909387588501
3,48505,61,0.864,0.4929693908691406
4,60430,76,0.863,0.48145921421051024
5,60430,76,0.865,0.4921075315475464
6,58840,74,0.87,0.48665149354934695
7,67585,85,0.861,0.4794201517105103
8,38965,49,0.869,0.4882005457878113
9,46915,59,0.861,0.49595970058441163
10,39760,50,0.87,0.4841133852005005
11,55660,70,0.861,0.4822121767997742
12,50095,63,0.857,0.5075947532653808
13,34990,44,0.861,0.5084018411636353
14,50890,64,0.859,0.49232960176467894
15,50095,63,0.865,0.4984309949874878
16,62815,79,0.856,0.491439537525177
17,46915,59,0.851,0.49836091899871826
18,42145,53,0.863,0.49990908098220826
19,55660,70,0.86,0.48072582626342775
20,32605,41,0.859,0.5053189964294433
21,46915,59,0.853,0.49310271263122557
22,54070,68,0.863,0.4858645281791687
23,34990,44,0.863,0.4953406000137329
24,31810,40,0.853,0.5029913191795349
25,62815,79,0.865,0.47751688194274905
26,71560,90,0.863,0.4776833214759827
27,55660,70,0.861,0.49540172433853147
28,24655,31,0.857,0.5109438066482543
29,27835,35,0.857,0.5001172909736633
30,23860,30,0.852,0.5176798481941223
31,37375,47,0.846,0.5037906069755554
32,31810,40,0.854,0.5141147451400757
33,37375,47,0.865,0.4902557973861694
34,31810,40,0.867,0.5003201689720154
35,30220,38,0.86,0.5070199899673462
36,24655,31,0.856,0.5087705554962159
37,37375,47,0.855,0.49658422231674193
38,37375,47,0.854,0.49840656900405883
39,42940,54,0.86,0.49830097913742066
40,29425,37,0.861,0.4958337388038635
41,41350,52,0.861,0.5015707712173462
42,46120,58,0.865,0.4912295866012573
43,22270,28,0.862,0.5089172701835633
44,42940,54,0.864,0.48224261665344237
45,50095,63,0.856,0.49047055196762085
46,46915,59,0.86,0.48825051689147947
47,25450,32,0.858,0.509560791015625
48,30220,38,0.857,0.515741858959198
49,29425,37,0.855,0.5076264152526856
50,26245,33,0.855,0.5198476037979126
51,31015,39,0.869,0.49905876398086546
52,29425,37,0.857,0.4973898000717163
53,25450,32,0.87,0.5034941215515136
54,19090,24,0.843,0.5302597990036011
55,42145,53,0.86,0.48865658283233643
56,45325,57,0.867,0.4828829975128174
57,40555,51,0.864,0.4996526737213135
58,48505,61,0.859,0.4823691005706787
59,43735,55,0.86,0.49231577587127684
60,31015,39,0.863,0.5081317090988159
61,47710,60,0.856,0.4907103586196899
62,49300,62,0.865,0.4990774989128113
63,73150,92,0.862,0.4779401922225952
64,72355,91,0.866,0.47252706861495974
65,42940,54,0.869,0.4819296598434448
66,81100,102,0.858,0.48892534923553466
67,100180,126,0.87,0.4634494528770447
68,111310,140,0.864,0.479671648979187
69,77920,98,0.865,0.48062675619125367
70,93820,118,0.865,0.4830029683113098
71,84280,106,0.863,0.4809587812423706
72,104155,131,0.867,0.4746907873153687
73,86665,109,0.869,0.47331292533874514
74,113695,143,0.863,0.47961973571777344
75,124030,156,0.87,0.46957199811935424
76,137545,173,0.865,0.4747377676963806
77,103360,130,0.869,0.4741103672981262
78,159805,201,0.868,0.46118305444717406
79,145495,183,0.868,0.46165592432022096
80,162985,205,0.875,0.459710825920105
81,123235,155,0.869,0.46558928871154787
82,177295,223,0.866,0.46341518688201905
83,144700,182,0.869,0.4625252366065979
84,133570,168,0.865,0.4701757559776306
85,142315,179,0.877,0.4595571346282959
86,124825,157,0.872,0.4596455545425415
87,97795,123,0.863,0.4776812572479248
88,77125,97,0.864,0.484383150100708
89,85075,107,0.864,0.47081603336334227
90,85075,107,0.865,0.4688483476638794
91,82690,104,0.862,0.47882574129104616
92,73945,93,0.868,0.4750143461227417
93,89845,113,0.867,0.48128117942810056
94,89845,113,0.868,0.47074376821517944
95,178885,225,0.87,0.46719758939743045
96,122440,154,0.866,0.47042403173446656
97,204325,257,0.871,0.45874830770492553
98,39760,50,0.864,0.4866044421195984
99,48505,61,0.855,0.4907545976638794
100,48505,61,0.86,0.5011631679534913
101,42940,54,0.859,0.4919067783355713
102,32605,41,0.857,0.49938331699371336
103,65200,82,0.86,0.4895380983352661
104,31015,39,0.867,0.4938786344528198
105,49300,62,0.856,0.4844662275314331
106,52480,66,0.86,0.49109702396392824
107,27040,34,0.862,0.5111413850784302
108,46915,59,0.858,0.48614121818542483
109,30220,38,0.853,0.5110690684318543
110,48505,61,0.869,0.47946991729736327
111,48505,61,0.863,0.48970502471923827
112,50095,63,0.857,0.49387737321853636
113,68380,86,0.854,0.4884002027511597
114,60430,76,0.859,0.5015446147918701
115,60430,76,0.858,0.49721898555755617
116,38170,48,0.857,0.497868595123291
117,38170,48,0.859,0.5000000391006469
118,75535,95,0.853,0.4937712450027466
119,63610,80,0.869,0.4855265283584595
120,46915,59,0.866,0.48273497438430785
121,60430,76,0.858,0.4883373975753784
122,66790,84,0.85,0.48954497718811035
123,42940,54,0.857,0.49669887161254883
124,28630,36,0.861,0.5061535234451294
125,34195,43,0.866,0.5021934833526611
126,27040,34,0.852,0.5280536479949951
127,36580,46,0.857,0.5070262928009033
128,36580,46,0.852,0.5041737565994263
129,37375,47,0.861,0.49640416049957276
130,38965,49,0.852,0.5042758936882019
131,47710,60,0.87,0.4838004288673401
132,59635,75,0.869,0.4821750106811523
133,38965,49,0.867,0.4850778164863586
134,48505,61,0.87,0.48529895877838136
135,41350,52,0.854,0.5018698978424072
136,48505,61,0.851,0.49616199493408203
137,38965,49,0.861,0.5064125852584839
138,38965,49,0.857,0.49616007900238035
139,30220,38,0.848,0.5070515370368958
140,34990,44,0.866,0.4876888823509216
141,35785,45,0.866,0.5008252296447754
142,38170,48,0.86,0.4980362596511841
143,43735,55,0.86,0.4879196753501892
144,41350,52,0.864,0.5001468229293823
145,40555,51,0.867,0.48619459915161134
146,31810,40,0.862,0.499608766078949
147,29425,37,0.855,0.5089166560173035
148,26245,33,0.856,0.5107614068984986
149,43735,55,0.859,0.5145689496994018
150,53275,67,0.864,0.4810093717575073
151,38170,48,0.858,0.5095037522315979
152,41350,52,0.864,0.501184700012207
153,32605,41,0.867,0.4958254466056824
154,30220,38,0.864,0.5072186751365662
155,38170,48,0.856,0.5035365982055664
156,46120,58,0.864,0.4933387012481689
157,55660,70,0.862,0.4978647127151489
158,46915,59,0.858,0.4909182457923889
159,50095,63,0.859,0.48553539848327637
160,44530,56,0.864,0.4873595175743103
161,48505,61,0.865,0.49773230457305906
162,44530,56,0.87,0.48818753147125243
163,47710,60,0.857,0.4896675624847412
164,76330,96,0.863,0.47736831426620485
165,81100,102,0.865,0.4716547703742981
166,93025,117,0.861,0.48296163940429687
167,72355,91,0.854,0.491485680103302
168,33400,42,0.855,0.5110609655380249
