Experiment 1 ,01_04_2020_23-06-47

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.elu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.8

OUTPUT
generation_no,params_no,neurons_no,accuracy,loss
0,36580,46,0.905,0.3248337254524231
1,37375,47,0.9,0.33689408588409425
2,37375,47,0.892,0.3444385781288147
3,36580,46,0.895,0.3473993406295776
4,43735,55,0.897,0.3344438543319702
5,34195,43,0.895,0.3189094586372376
6,39760,50,0.897,0.3202459969520569
7,23065,29,0.891,0.3357248764038086
8,28630,36,0.894,0.33554410076141356
9,27835,35,0.898,0.31630300903320313
10,39760,50,0.897,0.34544860863685606
11,42940,54,0.895,0.32800105810165403
12,39760,50,0.897,0.3265045666694641
13,44530,56,0.899,0.3166250376701355
14,38170,48,0.898,0.32074529623985293
15,38965,49,0.91,0.3095655784606934
16,37375,47,0.898,0.3257587628364563
17,42940,54,0.905,0.3017323632240295
18,48505,61,0.9,0.3100168271064758
19,48505,61,0.897,0.33982248449325564
20,39760,50,0.903,0.3176315016746521
21,42145,53,0.894,0.3180915472507477
22,47710,60,0.898,0.31502522253990173
23,19885,25,0.891,0.35248435592651367
24,25450,32,0.904,0.3276646373271942
25,19885,25,0.906,0.34416650629043577
26,29425,37,0.891,0.35450455331802366
27,28630,36,0.9,0.3370969624519348
28,28630,36,0.893,0.3345922553539276
29,36580,46,0.903,0.3329222435951233
30,34990,44,0.891,0.347692889213562
31,37375,47,0.905,0.32690671157836915
32,38170,48,0.9,0.3201453652381897
33,41350,52,0.902,0.30789648079872134
34,42940,54,0.892,0.3235530722141266
35,38170,48,0.901,0.32786036920547484
36,26245,33,0.893,0.345855751991272
37,32605,41,0.906,0.30672635078430177
38,27835,35,0.902,0.3397935309410095
39,26245,33,0.893,0.3379081757068634
40,28630,36,0.898,0.3301377110481262
41,27040,34,0.899,0.32824570655822755
42,27835,35,0.905,0.31809756278991697
43,31810,40,0.896,0.3314839372634888
44,38170,48,0.898,0.3369555971622467
45,29425,37,0.892,0.33559618854522705
46,32605,41,0.897,0.31730334186553955
47,31810,40,0.897,0.3289800710678101
48,35785,45,0.888,0.34536445236206054
49,45325,57,0.901,0.3109028642177582
50,45325,57,0.895,0.3168200087547302
51,59635,75,0.895,0.3265564253330231
52,55660,70,0.911,0.30353128933906554
53,57250,72,0.906,0.30836754059791566
54,65995,83,0.901,0.323787132024765
55,65995,83,0.903,0.31810926461219785
56,10345,13,0.887,0.3549385199546814
57,10345,13,0.888,0.35853616094589236
58,12730,16,0.89,0.36791455602645873
59,14320,18,0.89,0.36087286472320557
60,15910,20,0.884,0.35764934778213503
61,21475,27,0.899,0.3360848731994629
62,21475,27,0.905,0.3295498902797699
63,19885,25,0.892,0.3413881359100342
64,23065,29,0.894,0.32645890378952025
65,26245,33,0.899,0.33899684047698975
66,11935,15,0.888,0.37861368131637574
67,11935,15,0.886,0.3789524102210999
68,15115,19,0.897,0.34991623067855837
69,14320,18,0.901,0.3393094153404236
70,17500,22,0.892,0.3522645010948181
71,18295,23,0.904,0.33912691593170163
72,14320,18,0.892,0.3597577095031738
73,16705,21,0.898,0.34987487077713014
74,14320,18,0.899,0.34771648359298707
75,12730,16,0.885,0.3788166666030884
76,11935,15,0.883,0.383705819606781
77,11140,14,0.892,0.38113272762298583
78,11935,15,0.887,0.3719395110607147
79,12730,16,0.902,0.36374166297912597
80,13525,17,0.887,0.36361703062057493
81,11140,14,0.899,0.3588569450378418
82,8755,11,0.877,0.40341041707992553
83,7165,9,0.858,0.4767611441612244
84,7165,9,0.872,0.42158140325546267
85,7165,9,0.874,0.42284350204467774
86,9550,12,0.885,0.38378419828414917
87,7165,9,0.876,0.41996084785461424
88,8755,11,0.894,0.39208221626281736
89,8755,11,0.886,0.3777429552078247
90,9550,12,0.889,0.3868175649642944
91,6370,8,0.863,0.44770533466339113
92,7165,9,0.877,0.4077992353439331
93,7165,9,0.871,0.43523322105407714
94,7165,9,0.869,0.44565504026412966
95,7165,9,0.868,0.45422853183746337
96,6370,8,0.869,0.45355223178863524
97,6370,8,0.864,0.44735284519195556
98,7165,9,0.883,0.4010253677368164
99,6370,8,0.873,0.428468168258667
100,7960,10,0.873,0.4205389652252197
101,6370,8,0.869,0.44971235370635987
102,4780,6,0.83,0.5438663682937622
103,5575,7,0.854,0.48361156845092773
104,6370,8,0.843,0.5010408048629761
105,6370,8,0.858,0.47049083042144774
106,7165,9,0.87,0.43012893867492674
107,7165,9,0.872,0.44017528676986695
108,7960,10,0.87,0.42589836978912354
109,9550,12,0.882,0.3893821082115173
110,11935,15,0.889,0.3625400309562683
111,11935,15,0.894,0.3567562327384949
112,11140,14,0.885,0.36984533500671385
113,13525,17,0.887,0.35399876546859743
114,11140,14,0.886,0.370242790222168
115,13525,17,0.896,0.34430856990814207
116,11935,15,0.891,0.36219593715667725
117,11140,14,0.89,0.37680167055130004
118,11935,15,0.877,0.3677063045501709
119,11935,15,0.893,0.3682293491363525
120,15115,19,0.89,0.3619245448112488
121,16705,21,0.895,0.34882297468185425
122,14320,18,0.891,0.3601197533607483
123,9550,12,0.878,0.39640222644805906
124,9550,12,0.888,0.3931932187080383
125,9550,12,0.884,0.3813020815849304
126,9550,12,0.881,0.4019200038909912
127,6370,8,0.868,0.4453840498924255
128,7960,10,0.878,0.4258385529518127
129,8755,11,0.882,0.38992547273635864
130,9550,12,0.89,0.37590455293655395
131,6370,8,0.867,0.43832366561889646
132,7960,10,0.882,0.38423183917999265
133,8755,11,0.885,0.39024887132644653
134,8755,11,0.875,0.3959491682052612
135,11140,14,0.891,0.3701042127609253
136,7165,9,0.862,0.4622189450263977
137,5575,7,0.857,0.48423706674575806
138,6370,8,0.869,0.4608739399909973
139,4780,6,0.798,0.6310763311386108
140,5575,7,0.858,0.5027605218887329
141,5575,7,0.852,0.5114444341659546
142,5575,7,0.855,0.49116685676574706
143,4780,6,0.859,0.4623855600357056
144,4780,6,0.85,0.5400307841300964
145,4780,6,0.856,0.4893475067615509
146,5575,7,0.831,0.5752031536102294
147,5575,7,0.844,0.5136682410240173
148,4780,6,0.832,0.5980538597106934
