Experiment 3 ,24_03_2020_03-48-30

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.2

OUTPUT
generation_no,params_no,neurons_no,accuracy,loss
0,38170,48,0.897,0.31181867814064024
1,38170,48,0.902,0.2941966396570206
2,39760,50,0.909,0.2756671657562256
3,38170,48,0.911,0.2695475904941559
4,35785,45,0.911,0.2827285692691803
5,39760,50,0.907,0.29247820949554443
6,50095,63,0.911,0.27736348485946655
7,46915,59,0.907,0.2856416289806366
8,50095,63,0.909,0.2812755045890808
9,45325,57,0.909,0.27967831802368165
10,59635,75,0.916,0.2729740173816681
11,60430,76,0.914,0.2826319818496704
12,60430,76,0.912,0.2683749794960022
13,60430,76,0.917,0.27162955117225646
14,59635,75,0.912,0.2788165514469147
15,59635,75,0.914,0.26729748845100404
16,59635,75,0.921,0.26061068058013914
17,67585,85,0.906,0.2642620551586151
18,59635,75,0.909,0.259428670167923
19,35785,45,0.906,0.29651493549346924
20,47710,60,0.896,0.30507414865493776
21,60430,76,0.914,0.26959055495262146
22,60430,76,0.91,0.2760372984409332
23,38170,48,0.91,0.2954422128200531
24,38170,48,0.916,0.2913143169879913
25,31810,40,0.903,0.3014832057952881
26,30220,38,0.904,0.29358046483993533
27,39760,50,0.912,0.2822138042449951
28,38965,49,0.916,0.2741478841304779
29,39760,50,0.906,0.2910746600627899
30,38170,48,0.902,0.292094655752182
31,38170,48,0.903,0.29402393865585325
32,31810,40,0.915,0.30336177253723146
33,31810,40,0.906,0.31076625680923464
34,35785,45,0.91,0.28705874252319336
35,35785,45,0.9,0.31897318482398984
36,34195,43,0.916,0.2878777253627777
37,42940,54,0.912,0.29541038155555727
38,41350,52,0.905,0.28707100987434386
39,36580,46,0.905,0.2859970920085907
40,47710,60,0.915,0.2733607542514801
41,47710,60,0.9,0.2968345808982849
42,47710,60,0.916,0.27958853101730347
43,47710,60,0.918,0.27570536351203917
44,29425,37,0.912,0.2989093098640442
45,33400,42,0.913,0.28516031241416934
46,29425,37,0.902,0.3065843856334686
47,34990,44,0.906,0.3015735900402069
