Experiment 3 ,06_04_2020_11-50-24

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Nadam

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.8

OUTPUT
generation_no,params_no,neurons_no,accuracy,loss
0,31810,40,0.902,0.3079230227470398
1,31810,40,0.905,0.3117943434715271
2,21475,27,0.892,0.3388319358825684
3,21475,27,0.903,0.32568221950531007
4,22270,28,0.9,0.33018120551109315
5,16705,21,0.893,0.3459802327156067
6,15910,20,0.896,0.3434389877319336
7,17500,22,0.897,0.34003294563293457
8,19885,25,0.898,0.32422693729400637
9,14320,18,0.888,0.35767524838447573
10,15910,20,0.906,0.3241035339832306
11,15910,20,0.894,0.35623166370391846
12,15115,19,0.902,0.32937141227722166
13,13525,17,0.895,0.34311885690689087
14,14320,18,0.893,0.3448564395904541
15,14320,18,0.887,0.36219139909744263
16,11140,14,0.893,0.3544593138694763
17,10345,13,0.893,0.380827006816864
18,9550,12,0.887,0.39188630056381224
19,11140,14,0.89,0.37718681001663207
20,8755,11,0.888,0.3805055692195892
21,11140,14,0.884,0.36932816314697264
22,11140,14,0.898,0.3612698998451233
23,13525,17,0.888,0.35978687620162964
24,14320,18,0.893,0.34610562419891355
25,17500,22,0.896,0.32496718311309813
26,22270,28,0.889,0.3426276617050171
27,19090,24,0.903,0.32097864961624145
28,21475,27,0.904,0.3165094294548035
29,18295,23,0.9,0.32131510353088377
30,20680,26,0.898,0.3273402962684631
31,24655,31,0.903,0.3153532094955444
32,31015,39,0.91,0.3011548540592194
33,25450,32,0.894,0.34270422434806824
34,20680,26,0.891,0.3376890506744385
35,22270,28,0.902,0.32251113653182983
36,18295,23,0.896,0.3210560610294342
37,17500,22,0.897,0.3397443461418152
38,15115,19,0.891,0.3427513418197632
39,22270,28,0.898,0.3264047636985779
40,28630,36,0.9,0.31925498723983764
41,33400,42,0.916,0.2920486085414887
42,38965,49,0.908,0.28594130182266236
43,47710,60,0.904,0.2952438812255859
44,43735,55,0.907,0.2932911419868469
45,43735,55,0.901,0.3094231777191162
46,30220,38,0.905,0.31700690698623657
47,24655,31,0.902,0.3210909910202026
48,27040,34,0.902,0.30308589816093445
49,28630,36,0.9,0.3170173602104187
50,22270,28,0.897,0.32285599899291995
51,24655,31,0.902,0.326268678188324
52,29425,37,0.909,0.2960253953933716
53,29425,37,0.905,0.3004826188087463
54,22270,28,0.9,0.3155757958889008
55,31015,39,0.905,0.2950755269527435
56,29425,37,0.913,0.2865119528770447
57,29425,37,0.918,0.28173218965530394
58,31810,40,0.903,0.29661313343048096
59,41350,52,0.914,0.2950418915748596
60,32605,41,0.907,0.30404864740371706
61,48505,61,0.912,0.26543998312950134
62,47710,60,0.905,0.29460043215751647
63,39760,50,0.916,0.28441640973091126
64,42145,53,0.903,0.3003632273674011
65,44530,56,0.909,0.300319287776947
66,44530,56,0.911,0.29267217087745667
67,44530,56,0.909,0.2774802746772766
68,50890,64,0.904,0.28513001108169556
69,47710,60,0.909,0.28642410922050476
70,62815,79,0.917,0.2730665936470032
71,73945,93,0.919,0.25322838640213013
72,81100,102,0.918,0.2472378535270691
73,73150,92,0.909,0.26078648161888124
74,87460,110,0.919,0.27181525564193726
75,69175,87,0.923,0.26531731271743775
76,51685,65,0.909,0.2659333975315094
77,73150,92,0.914,0.26624975872039797
78,91435,115,0.915,0.26096840834617613
79,89845,113,0.91,0.2619147365093231
80,75535,95,0.918,0.2572232756614685
81,77920,98,0.913,0.2651018159389496
82,77920,98,0.91,0.28781414675712585
83,52480,66,0.914,0.2684742321968079
84,63610,80,0.915,0.26644714999198915
85,46120,58,0.912,0.2790716669559479
86,46915,59,0.907,0.29644188475608824
87,60430,76,0.916,0.27278509855270383
88,67585,85,0.901,0.28433210039138795
89,73150,92,0.91,0.27479892468452455
90,93025,117,0.918,0.24967898106575012
91,116080,146,0.919,0.24887561941146852
92,139135,175,0.921,0.23977855634689332
93,108925,137,0.917,0.2412813081741333
94,140725,177,0.927,0.22580766320228576
95,120850,152,0.919,0.2519422187805176
96,139930,176,0.91,0.26734121060371396
97,147880,186,0.919,0.24356081342697145
98,116080,146,0.919,0.24303137004375458
99,120850,152,0.918,0.24219548392295837
100,120850,152,0.923,0.2394000415802002
101,112105,141,0.922,0.23768452668190002
102,38170,48,0.906,0.29914217019081113
103,42145,53,0.91,0.2782006449699402
104,52480,66,0.913,0.28941581535339356
105,52480,66,0.906,0.2864208414554596
106,62815,79,0.923,0.26466897773742676
107,78715,99,0.925,0.25110656714439394
108,89050,112,0.919,0.2552945222854614
109,80305,101,0.913,0.27802685952186584
110,103360,130,0.922,0.25650497651100157
111,59635,75,0.92,0.2552043333053589
112,59635,75,0.918,0.2613266260623932
113,73945,93,0.912,0.2576803183555603
114,78715,99,0.919,0.2518794195652008
115,72355,91,0.911,0.27122938656806944
116,93025,117,0.905,0.25187560176849366
117,115285,145,0.923,0.239925821185112
118,136750,172,0.915,0.2453929853439331
119,172525,217,0.927,0.24353494119644165
120,175705,221,0.93,0.21543881702423096
121,134365,169,0.922,0.2266077393293381
122,134365,169,0.922,0.24420312237739564
123,153445,193,0.92,0.22774418926239012
124,175705,221,0.921,0.2340992169380188
125,175705,221,0.924,0.22184809565544128
126,209095,263,0.925,0.22875045037269592
127,245665,309,0.914,0.23237898194789885
128,293365,369,0.924,0.23467814779281615
129,345835,435,0.93,0.21112596809864045
130,207505,261,0.927,0.21622192406654359
131,202735,255,0.926,0.22349874687194823
132,207505,261,0.921,0.22978332233428955
