Experiment 2 ,09_04_2020_08-25-11

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.RMSprop

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.8

OUTPUT
generation_no,params_no,neurons_no,accuracy,loss
0,36580,46,0.892,0.31774111127853394
1,42145,53,0.908,0.28672918128967284
2,42145,53,0.908,0.2782519328594208
3,42145,53,0.914,0.30225609230995176
4,49300,62,0.91,0.28074524068832396
5,53275,67,0.914,0.27900310897827146
6,68380,86,0.909,0.2787469439506531
7,58045,73,0.902,0.29227770495414734
8,52480,66,0.902,0.2847386958599091
9,21475,27,0.895,0.3251693916320801
10,22270,28,0.899,0.33942850518226625
11,19885,25,0.891,0.3420459499359131
12,21475,27,0.894,0.3194563562870026
13,19885,25,0.9,0.34253097677230837
14,19885,25,0.907,0.31516384983062745
15,12730,16,0.898,0.33347671484947206
16,21475,27,0.891,0.339120659828186
17,14320,18,0.895,0.34687256383895876
18,15115,19,0.894,0.35590931177139284
19,15115,19,0.881,0.3604273409843445
20,15115,19,0.898,0.33633764243125913
21,12730,16,0.897,0.34311989402771
22,15910,20,0.883,0.3624367299079895
23,16705,21,0.892,0.34550694131851195
24,17500,22,0.9,0.3324558706283569
25,15115,19,0.891,0.36026510763168335
26,17500,22,0.9,0.31858254051208496
27,16705,21,0.883,0.3510589985847473
28,14320,18,0.889,0.3649215970039368
29,15115,19,0.898,0.35722616481781005
30,15115,19,0.898,0.3350206174850464
31,19090,24,0.899,0.33945612621307375
32,15115,19,0.901,0.33466965770721435
33,12730,16,0.878,0.3781816520690918
34,14320,18,0.894,0.337208770275116
35,13525,17,0.895,0.33606225371360776
36,16705,21,0.897,0.34656624460220337
37,15910,20,0.892,0.34116393518447874
38,13525,17,0.891,0.3408480081558228
39,12730,16,0.897,0.3521805577278137
40,12730,16,0.897,0.3612213308811188
41,14320,18,0.897,0.33007542419433594
42,15115,19,0.891,0.36248371863365175
43,17500,22,0.901,0.3290609993934631
44,21475,27,0.897,0.3333443439006805
45,19885,25,0.891,0.35749083948135374
46,19885,25,0.892,0.33517464542388914
47,19885,25,0.887,0.35583842945098876
48,25450,32,0.891,0.3368318817615509
49,17500,22,0.88,0.3632497673034668
50,15910,20,0.901,0.3395034809112549
51,13525,17,0.894,0.3537667026519775
52,15910,20,0.886,0.3526399531364441
53,16705,21,0.889,0.3482576556205749
54,19885,25,0.9,0.31540889954566953
55,22270,28,0.893,0.34456158566474915
56,28630,36,0.89,0.3502075757980347
57,23860,30,0.893,0.33431697607040406
58,33400,42,0.906,0.29931566524505615
59,27835,35,0.9,0.3065445032119751
60,26245,33,0.894,0.31451957201957703
61,31810,40,0.897,0.3110421121120453
62,44530,56,0.899,0.305461740732193
63,44530,56,0.915,0.28295986843109133
64,44530,56,0.904,0.29721722555160524
65,57250,72,0.909,0.2752179441452026
66,54070,68,0.907,0.2819484071731567
67,43735,55,0.902,0.29756032943725585
68,43735,55,0.908,0.2884428782463074
69,50890,64,0.91,0.2866927316188812
70,41350,52,0.91,0.29023477840423584
71,47710,60,0.904,0.28996984314918517
72,57250,72,0.92,0.2631138832569122
73,51685,65,0.9,0.29987380385398865
74,45325,57,0.911,0.26345405852794646
75,61225,77,0.915,0.2630684320926666
76,42145,53,0.914,0.295217725276947
77,44530,56,0.903,0.294170220375061
78,42940,54,0.908,0.28317127442359924
79,50095,63,0.904,0.28601708984375
80,50095,63,0.909,0.292135684967041
81,40555,51,0.894,0.29559152483940127
82,42940,54,0.902,0.3082095139026642
83,51685,65,0.902,0.285953595161438
84,65200,82,0.899,0.27870789527893064
85,60430,76,0.907,0.3309739978313446
86,75535,95,0.914,0.2684574029445648
87,54865,69,0.898,0.2983741204738617
88,73150,92,0.92,0.24955611896514893
89,66790,84,0.916,0.26146568155288696
90,62020,78,0.911,0.2576151938438416
