Experiment 2 ,09_04_2020_05-25-09

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.SGD

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.8

OUTPUT
generation_no,params_no,neurons_no,accuracy,loss
0,25450,32,0.847,0.5655334606170654
1,43735,55,0.842,0.5656292939186096
2,47710,60,0.857,0.5541887526512146
3,32605,41,0.853,0.5741444787979126
4,46915,59,0.86,0.5641838641166687
5,34990,44,0.852,0.57593625831604
6,31015,39,0.858,0.5454242496490479
7,38170,48,0.85,0.5570028142929078
8,30220,38,0.844,0.5783662939071655
9,30220,38,0.853,0.5659727954864502
10,30220,38,0.832,0.5741273779869079
11,18295,23,0.84,0.5939607210159302
12,22270,28,0.846,0.5756269607543946
13,28630,36,0.841,0.5754422512054443
14,37375,47,0.852,0.5618619027137757
15,31810,40,0.864,0.5423618078231811
16,32605,41,0.855,0.5694637637138367
17,31015,39,0.859,0.5471843419075012
18,27040,34,0.841,0.5528879704475402
19,28630,36,0.856,0.5480407752990722
20,19885,25,0.843,0.5900983729362488
21,27040,34,0.848,0.5451121215820313
22,43735,55,0.855,0.5447159962654113
23,35785,45,0.855,0.5625561943054199
24,40555,51,0.85,0.5383837566375732
25,35785,45,0.863,0.5529040021896362
26,34195,43,0.848,0.5634239320755005
27,46915,59,0.858,0.5409290361404419
28,34990,44,0.857,0.5326599206924438
29,38170,48,0.857,0.5575061302185058
30,56455,71,0.869,0.5166456165313721
31,38965,49,0.857,0.5677735376358032
32,49300,62,0.845,0.5475693407058716
33,36580,46,0.84,0.5596040525436401
34,80305,101,0.854,0.5482569599151611
35,34990,44,0.849,0.5614085893630981
36,28630,36,0.832,0.5934486265182495
37,24655,31,0.855,0.5631153297424316
38,38965,49,0.852,0.5587070198059082
39,35785,45,0.855,0.5545077743530273
40,27040,34,0.833,0.5977691950798034
41,28630,36,0.847,0.5424820199012756
42,34195,43,0.841,0.5702832946777344
43,35785,45,0.848,0.5597435097694397
44,19090,24,0.848,0.5722242393493653
45,14320,18,0.849,0.5716540722846984
46,18295,23,0.838,0.6272098379135131
47,16705,21,0.845,0.6008566589355469
48,12730,16,0.84,0.6051195650100708
49,17500,22,0.853,0.5768448739051819
50,19885,25,0.846,0.5636503591537475
51,21475,27,0.846,0.5783878345489502
52,22270,28,0.854,0.5661943297386169
53,31810,40,0.858,0.5422228813171387
54,28630,36,0.844,0.5478014311790467
55,30220,38,0.849,0.5619294843673706
56,25450,32,0.848,0.5500763673782348
57,48505,61,0.855,0.5500856380462646
58,48505,61,0.852,0.5431472434997558
59,46120,58,0.862,0.5467445545196533
60,32605,41,0.856,0.5387889409065246
61,54070,68,0.863,0.5431626920700073
62,62815,79,0.864,0.5266357698440551
63,53275,67,0.849,0.5618382997512817
64,42145,53,0.853,0.5381791458129883
65,49300,62,0.87,0.5343208355903626
66,43735,55,0.855,0.5500453672409058
67,38170,48,0.861,0.5447474789619445
68,39760,50,0.843,0.5620920495986939
69,27835,35,0.848,0.5718732261657715
70,46120,58,0.859,0.5385259037017822
71,46120,58,0.855,0.5505007452964783
72,58045,73,0.859,0.5363891353607178
73,74740,94,0.853,0.545188157081604
74,54865,69,0.849,0.5599186840057373
75,62815,79,0.854,0.5342860679626464
76,46120,58,0.86,0.5473518395423889
77,46120,58,0.851,0.5482442951202393
78,47710,60,0.854,0.5600641741752624
79,28630,36,0.861,0.5473436436653137
80,24655,31,0.86,0.5514046354293823
81,29425,37,0.84,0.5776654233932496
82,23065,29,0.856,0.5732894487380982
83,48505,61,0.839,0.5626886262893677
84,31810,40,0.853,0.5420312671661377
85,38965,49,0.85,0.5549277515411377
86,53275,67,0.851,0.5648655033111573
87,36580,46,0.849,0.5470126962661743
88,34195,43,0.856,0.5765855550765991
89,50095,63,0.858,0.5554192113876343
90,56455,71,0.861,0.5367234144210815
91,46120,58,0.855,0.5648430061340332
92,53275,67,0.854,0.5384952816963195
93,44530,56,0.847,0.5534059352874756
94,56455,71,0.858,0.5374781103134155
95,71560,90,0.852,0.5635499215126037
96,71560,90,0.856,0.5413957376480103
97,77125,97,0.862,0.5286175603866577
98,103360,130,0.858,0.5312600889205933
99,100975,127,0.854,0.5362921414375306
100,58840,74,0.863,0.5406757130622863
101,84280,106,0.864,0.5350135841369629
102,103360,130,0.858,0.5277671027183533
103,103360,130,0.862,0.5249378042221069
104,80305,101,0.854,0.5438917164802551
105,60430,76,0.856,0.5590592908859253
106,80305,101,0.861,0.5375746479034423
107,71560,90,0.859,0.5358981304168701
108,81895,103,0.861,0.5357740693092347
109,119260,150,0.862,0.5223229885101318
110,109720,138,0.853,0.5333128538131714
111,73945,93,0.848,0.5490079374313355
112,66790,84,0.863,0.536780252456665
113,67585,85,0.86,0.5421289072036743
114,65995,83,0.857,0.5296981692314148
115,50890,64,0.847,0.5468606166839599
116,65995,83,0.852,0.5366267719268799
117,54070,68,0.85,0.5456668663024903
118,81100,102,0.844,0.5386377911567688
119,82690,104,0.855,0.5255970463752747
120,43735,55,0.85,0.5487059731483459
121,72355,91,0.857,0.531756884098053
122,98590,124,0.857,0.529782241344452
123,106540,134,0.849,0.5316913995742798
124,90640,114,0.864,0.5236907482147217
125,65995,83,0.861,0.5406606898307801
126,65995,83,0.845,0.5520627298355103
127,96205,121,0.86,0.5344273271560669
128,71560,90,0.854,0.5515548014640808
129,72355,91,0.867,0.5273357400894165
130,65995,83,0.863,0.5378132457733155
