Experiment 2 ,02_04_2020_03-06-48

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.selu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.8

OUTPUT
generation_no,params_no,neurons_no,accuracy,loss
0,23860,30,0.894,0.34295934295654296
1,27040,34,0.89,0.353124725818634
2,27835,35,0.897,0.3328578147888184
3,28630,36,0.888,0.35902464437484743
4,30220,38,0.896,0.35025235652923586
5,29425,37,0.897,0.339300674200058
6,32605,41,0.896,0.336908664226532
7,31015,39,0.896,0.32760003256797793
8,42145,53,0.896,0.3333570041656494
9,43735,55,0.905,0.3219516544342041
10,43735,55,0.898,0.3266360602378845
11,46120,58,0.895,0.33215880823135374
12,36580,46,0.897,0.341490483045578
13,35785,45,0.906,0.3372158427238464
14,49300,62,0.897,0.3226242618560791
15,38965,49,0.898,0.3160915970802307
16,40555,51,0.897,0.32958358073234556
17,50095,63,0.896,0.32302439308166503
18,38170,48,0.888,0.34675845289230345
19,46120,58,0.893,0.3353314557075501
20,31015,39,0.901,0.33017012739181517
21,34195,43,0.886,0.36380768823623655
22,27040,34,0.889,0.3382226505279541
23,32605,41,0.896,0.332086151599884
24,39760,50,0.896,0.3424645507335663
25,43735,55,0.895,0.3357827444076538
26,54070,68,0.901,0.32856773018836977
27,54070,68,0.901,0.32668355202674865
28,54070,68,0.891,0.3334415626525879
29,77125,97,0.893,0.3296779041290283
30,53275,67,0.903,0.3259565844535828
31,42145,53,0.894,0.3312735233306885
32,38170,48,0.896,0.32756228160858153
33,54070,68,0.89,0.3410710260868072
34,51685,65,0.893,0.3561183748245239
35,49300,62,0.894,0.32967731046676635
36,48505,61,0.89,0.34064862394332884
37,55660,70,0.898,0.33623859214782714
38,24655,31,0.897,0.34246291089057923
39,31015,39,0.894,0.3276555199623108
40,31015,39,0.883,0.34868537545204165
41,21475,27,0.887,0.34913788533210754
42,31810,40,0.893,0.347144540309906
43,23065,29,0.895,0.33656054496765136
44,27835,35,0.891,0.3331464877128601
45,28630,36,0.888,0.3527674694061279
46,34195,43,0.903,0.32483597779273987
47,35785,45,0.908,0.33444319796562194
48,33400,42,0.897,0.3290015497207642
49,34195,43,0.899,0.33085425758361814
50,30220,38,0.9,0.3257524676322937
51,49300,62,0.897,0.3282741017341614
52,38965,49,0.885,0.34887903594970704
53,30220,38,0.89,0.3472721033096314
54,31015,39,0.898,0.33512636041641236
55,34990,44,0.892,0.32161888217926027
56,46120,58,0.901,0.32601187348365784
57,50890,64,0.897,0.32573705792427066
58,50890,64,0.895,0.3328376169204712
59,33400,42,0.898,0.34949066495895387
60,40555,51,0.897,0.3314502022266388
61,55660,70,0.895,0.33073278617858887
62,40555,51,0.896,0.32844079375267027
63,40555,51,0.895,0.3233587689399719
64,55660,70,0.89,0.32719098091125487
65,43735,55,0.893,0.33188937497138976
66,64405,81,0.906,0.3178220582008362
67,86665,109,0.902,0.3304201934337616
68,57250,72,0.899,0.3210715732574463
69,62020,78,0.896,0.33994160294532777
70,60430,76,0.901,0.33166955947875976
71,55660,70,0.902,0.3334412181377411
72,65995,83,0.893,0.32825785207748415
73,55660,70,0.893,0.3244005994796753
74,60430,76,0.896,0.341416501045227
75,58045,73,0.896,0.33454649066925046
76,34195,43,0.898,0.33065581703186037
77,28630,36,0.9,0.322523428440094
78,27835,35,0.895,0.32720696926116943
79,36580,46,0.892,0.3447992329597473
80,36580,46,0.895,0.3554954352378845
81,45325,57,0.898,0.3408142857551575
82,46120,58,0.892,0.3609266571998596
83,36580,46,0.893,0.3276766953468323
84,41350,52,0.897,0.32875196886062624
85,36580,46,0.896,0.32744651508331296
86,53275,67,0.893,0.33653968262672423
87,54865,69,0.904,0.32864441514015197
88,46915,59,0.894,0.32363489651679994
89,38170,48,0.898,0.32600738501548765
90,47710,60,0.898,0.3249169216156006
91,52480,66,0.894,0.32982063245773313
92,58045,73,0.897,0.33923650598526
93,74740,94,0.887,0.330847537279129
94,74740,94,0.894,0.33680989027023317
95,74740,94,0.895,0.3416162700653076
96,97000,122,0.9,0.3242866230010986
97,92230,116,0.894,0.31916986203193665
98,45325,57,0.903,0.32293480849266054
99,89050,112,0.894,0.34213451957702634
100,99385,125,0.891,0.3450769100189209
101,124030,156,0.898,0.3457651767730713
102,122440,154,0.893,0.33138246154785156
103,25450,32,0.899,0.3320720429420471
104,28630,36,0.898,0.33231627655029294
105,33400,42,0.893,0.3529543664455414
106,27040,34,0.894,0.34487544345855714
107,29425,37,0.896,0.3446828980445862
108,28630,36,0.897,0.3285923540592194
109,30220,38,0.888,0.334268657207489
110,34195,43,0.893,0.33857243943214416
111,38965,49,0.893,0.34326476430892944
112,46915,59,0.897,0.350033784866333
113,34195,43,0.89,0.3344330010414124
114,31810,40,0.899,0.34196335458755495
115,21475,27,0.89,0.34365847015380857
116,21475,27,0.889,0.34487200260162354
117,27835,35,0.909,0.3195722393989563
118,31015,39,0.894,0.3349898943901062
119,37375,47,0.885,0.34719258308410644
120,22270,28,0.893,0.3535287973880768
121,25450,32,0.894,0.3186971139907837
122,28630,36,0.9,0.32532338380813597
123,26245,33,0.893,0.348731584072113
124,28630,36,0.903,0.334865177154541
125,28630,36,0.889,0.3447014579772949
126,23860,30,0.896,0.35244152545928953
127,22270,28,0.887,0.3412740478515625
128,18295,23,0.885,0.35599374294281005
129,19885,25,0.898,0.3453788614273071
130,23065,29,0.894,0.3452974042892456
131,29425,37,0.888,0.3499527790546417
132,31015,39,0.894,0.33859656620025635
133,37375,47,0.896,0.34431184983253477
134,46915,59,0.895,0.34092920160293577
135,30220,38,0.891,0.34111600399017333
136,23065,29,0.893,0.3374655818939209
137,15115,19,0.889,0.35930624675750733
138,21475,27,0.885,0.3597898201942444
139,21475,27,0.896,0.33670205068588255
140,22270,28,0.903,0.32806034994125366
141,23860,30,0.894,0.3400756559371948
142,27040,34,0.894,0.3424591646194458
143,27040,34,0.874,0.36663634777069093
144,34195,43,0.904,0.3310561633110046
145,30220,38,0.894,0.348728515625
146,38170,48,0.891,0.35044948434829715
147,38170,48,0.885,0.3527042694091797
148,28630,36,0.894,0.34839657163619997
149,38965,49,0.899,0.3343017530441284
150,42940,54,0.9,0.3232959589958191
151,39760,50,0.886,0.3448101320266724
152,39760,50,0.894,0.3310708713531494
153,50890,64,0.893,0.32816962003707884
154,56455,71,0.894,0.32843537616729734
155,60430,76,0.895,0.35406295394897463
156,33400,42,0.899,0.33722625494003294
157,79510,100,0.898,0.3316708114147186
158,99385,125,0.898,0.33231202626228334
159,99385,125,0.886,0.35812857222557065
160,100975,127,0.896,0.3284000768661499
161,100975,127,0.892,0.34774687480926514
162,107335,135,0.892,0.35180202007293704
163,128800,162,0.893,0.3390924680233002
164,114490,144,0.899,0.3229912807941437
165,101770,128,0.9,0.3436318573951721
166,106540,134,0.902,0.3127716658115387
167,130390,164,0.893,0.34305251741409304
168,96205,121,0.896,0.3297904365062714
169,96205,121,0.902,0.3256750738620758
170,106540,134,0.897,0.3517252678871155
171,148675,187,0.893,0.34653513646125794
172,149470,188,0.899,0.3470442233085632
173,141520,178,0.896,0.3585750086307526
174,72355,91,0.888,0.34037118244171144
175,90640,114,0.894,0.3556735162734985
176,89050,112,0.893,0.3275693347454071
177,103360,130,0.887,0.341675573348999
178,110515,139,0.888,0.35391843485832214
179,131185,165,0.908,0.3299490699768066
180,127210,160,0.899,0.337571524143219
181,102565,129,0.897,0.33690092849731446
182,89050,112,0.896,0.33226146864891054
