Experiment 2 ,02_04_2020_06-06-49

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.softmax
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.8

OUTPUT
generation_no,params_no,neurons_no,accuracy,loss
0,28630,36,0.846,1.0915261793136597
1,24655,31,0.846,1.0823194646835328
2,31015,39,0.815,1.1080819969177247
3,24655,31,0.836,1.1109475297927855
4,24655,31,0.809,1.1111271104812621
5,26245,33,0.808,1.104880708694458
6,12730,16,0.795,1.204421215057373
7,35785,45,0.81,1.0817255840301514
8,36580,46,0.836,1.0912258911132813
9,11935,15,0.753,1.1527549018859864
10,42145,53,0.785,1.119534601211548
11,42940,54,0.792,1.1313204822540284
12,50890,64,0.764,1.174277421951294
13,9550,12,0.783,1.1494724750518799
14,46120,58,0.854,1.080064169883728
15,60430,76,0.806,1.1307991981506347
16,19885,25,0.818,1.1129896869659424
17,58045,73,0.87,1.0930350646972655
18,56455,71,0.841,1.0939230842590333
19,69970,88,0.811,1.0993602418899535
20,81100,102,0.833,1.0884639930725097
21,55660,70,0.814,1.0818359642028808
22,150265,189,0.839,1.096611927986145
23,93025,117,0.857,1.1082046947479247
24,101770,128,0.852,1.0806611633300782
25,47710,60,0.799,1.1114081344604492
26,108925,137,0.795,1.1325800857543946
27,170935,215,0.887,1.0694534311294555
28,51685,65,0.855,1.084806484222412
29,132775,167,0.89,1.0749762172698976
30,51685,65,0.884,1.039332944869995
31,74740,94,0.876,1.0842122993469239
32,44530,56,0.876,1.0820303840637207
33,142315,179,0.791,1.143442575454712
34,67585,85,0.822,1.1168475160598754
35,111310,140,0.86,1.0869198455810547
36,136750,172,0.82,1.1263538665771484
37,161395,203,0.836,1.1114348411560058
38,155035,195,0.812,1.1208785419464111
39,252820,318,0.881,1.109103861808777
40,259180,326,0.839,1.1127096538543702
41,224200,282,0.868,1.086368106842041
42,311650,392,0.879,1.1002158279418945
43,279850,352,0.823,1.144818214416504
44,292570,368,0.869,1.0804078693389894
45,233740,294,0.87,1.1238146343231201
46,305290,384,0.874,1.0924815559387206
47,384790,484,0.866,1.0808585033416749
48,384790,484,0.88,1.1081782760620118
49,317215,399,0.838,1.139988649368286
50,302110,380,0.817,1.1370674495697022
51,367300,462,0.849,1.1178017387390136
52,363325,457,0.851,1.1113966817855836
53,298930,376,0.834,1.085079912185669
54,381610,480,0.835,1.1100114507675172
55,225790,284,0.886,1.0887547063827514
56,368095,463,0.837,1.1154896869659423
57,589105,741,0.879,1.0864266433715821
58,477805,601,0.843,1.1180088834762574
59,430105,541,0.888,1.066582498550415
60,138340,174,0.829,1.1295558052062988
61,726640,914,0.881,1.0843005561828614
62,664630,836,0.869,1.0894787731170654
63,798190,1004,0.866,1.1110807466506958
64,695635,875,0.843,1.1214688425064088
65,735385,925,0.89,1.0670787000656128
66,474625,597,0.825,1.117615114212036
67,419770,528,0.883,1.0688640394210815
68,849070,1068,0.823,1.1098017616271973
69,1094725,1377,0.819,1.1251555633544923
70,1246570,1568,0.842,1.1128525390625
71,425335,535,0.883,1.0737487058639525
72,519145,653,0.895,1.0737187480926513
73,793420,998,0.842,1.1170902729034424
74,962755,1211,0.841,1.1025220880508422
75,231355,291,0.84,1.1097960739135742
76,1472350,1852,0.883,1.0784802513122558
77,353785,445,0.858,1.0949904747009278
78,1049410,1320,0.878,1.0838187646865844
79,690865,869,0.843,1.1186071586608888
80,1594780,2006,0.846,1.1033802947998046
81,1558210,1960,0.889,1.0876216068267823
82,610570,768,0.85,1.0890837059020997
83,1134475,1427,0.891,1.081015149116516
84,1466785,1845,0.886,1.0586977615356445
85,1134475,1427,0.849,1.1043784065246582
86,1414315,1779,0.893,1.0916709003448486
87,1077235,1355,0.87,1.0851550979614257
88,971500,1222,0.845,1.1131434183120728
89,712330,896,0.866,1.0990595073699951
90,1168660,1470,0.893,1.0797537117004394
91,1306195,1643,0.89,1.0760814113616943
92,1142425,1437,0.879,1.101781888961792
93,1135270,1428,0.883,1.0765512905120849
94,1112215,1399,0.842,1.1027866106033326
95,1349920,1698,0.896,1.0792115612030029
96,907105,1141,0.884,1.086739598274231
97,867355,1091,0.884,1.0879333276748657
98,788650,992,0.875,1.089862564086914
99,1737085,2185,0.854,1.1067194633483888
100,718690,904,0.887,1.0902522525787353
101,1024765,1289,0.831,1.1211907749176024
102,508810,640,0.843,1.1162521476745606
103,952420,1198,0.877,1.0892779960632324
104,663835,835,0.841,1.1168299102783203
105,730615,919,0.882,1.1037651119232177
106,589105,741,0.883,1.087370294570923
107,624085,785,0.886,1.0921627016067506
108,976270,1228,0.829,1.1356435985565185
109,805345,1013,0.888,1.0816449584960937
110,509605,641,0.887,1.0994501609802245
111,608980,766,0.85,1.1147181072235108
112,473035,595,0.82,1.1212142419815063
113,519940,654,0.848,1.105165449142456
114,339475,427,0.83,1.1133165493011474
115,326755,411,0.878,1.0643720302581787
116,353785,445,0.825,1.1232144622802733
117,1697335,2135,0.887,1.0779614000320434
118,368890,464,0.883,1.0906991539001465
119,287800,362,0.887,1.0889967889785768
120,243280,306,0.878,1.0847787837982177
121,228175,287,0.887,1.075321545600891
122,518350,652,0.886,1.0842104969024657
123,702790,884,0.829,1.1073346424102783
124,558100,702,0.842,1.1087920627593995
125,702790,884,0.859,1.1239435386657715
126,557305,701,0.818,1.1279171485900878
127,571615,719,0.834,1.1475643243789673
128,733795,923,0.896,1.0672241077423095
129,593080,746,0.823,1.116005308151245
130,492910,620,0.88,1.0766964797973633
131,529480,666,0.893,1.065765661239624
132,674170,848,0.821,1.1174880981445312
133,529480,666,0.856,1.0933064737319946
134,515965,649,0.842,1.1044673652648926
135,319600,402,0.845,1.1067719078063964
136,381610,480,0.888,1.089445514678955
137,442825,557,0.886,1.1040692234039307
138,1156735,1455,0.851,1.1087073764801025
139,1035100,1302,0.82,1.1123000507354737
140,1105060,1390,0.87,1.103223611831665
141,1489045,1873,0.882,1.0692351055145264
142,1156735,1455,0.815,1.127750171661377
143,890410,1120,0.886,1.0711415672302247
144,1036690,1304,0.888,1.0744710083007813
145,1268035,1595,0.837,1.1197127504348754
146,1058950,1332,0.818,1.1252348642349244
147,885640,1114,0.847,1.1142218151092529
148,1206820,1518,0.829,1.1126018104553224
149,1285525,1617,0.874,1.0882695655822754
150,1237825,1557,0.849,1.1168745584487916
151,872920,1098,0.879,1.1101583156585693
152,470650,592,0.886,1.0904835262298584
153,470650,592,0.89,1.1014854202270508
154,1716415,2159,0.837,1.1003724060058593
155,1900060,2390,0.844,1.1109072275161742
156,1440550,1812,0.894,1.0644153957366944
157,1258495,1583,0.848,1.09544198513031
158,1777630,2236,0.883,1.0694421758651733
159,1076440,1354,0.826,1.118116584777832
160,475420,598,0.881,1.0784046325683594
161,566050,712,0.848,1.1337269134521484
162,1636120,2058,0.843,1.1254203300476073
163,505630,636,0.874,1.1097558631896973
164,547765,689,0.833,1.1074027872085572
165,521530,656,0.877,1.0660598030090331
166,802960,1010,0.835,1.101320598602295
167,631240,794,0.855,1.1046506748199463
168,2096425,2637,0.871,1.0798253469467163
169,1359460,1710,0.885,1.0651562061309814
170,2461330,3096,0.88,1.0445744094848632
171,468265,589,0.887,1.1011459312438965
172,396715,499,0.874,1.1120063772201538
173,380020,478,0.851,1.0849692211151123
174,380020,478,0.872,1.1037714681625366
