name,generation,avg acc,avg los,avg par
Mutation 0.8,0,0.907333333,0.293084122,36315
Mutation 0.8,1,0.909333333,0.291395016,42145
Mutation 0.8,2,0.905666667,0.289790874,42675
Mutation 0.8,3,0.91,0.288149855,48770
Mutation 0.8,4,0.908333333,0.283720665,51950
Mutation 0.8,5,0.910666667,0.282117318,50625
Mutation 0.8,6,0.907,0.287391109,51155
Mutation 0.8,7,0.913,0.272686415,58575
Mutation 0.8,8,0.912333333,0.273829685,55130
Mutation 0.8,9,0.912,0.273385194,60695
Mutation 0.8,10,0.918666667,0.258547404,65730
Mutation 0.8,11,0.913,0.271358632,65730
Mutation 0.8,12,0.912,0.26902262,63610
Mutation 0.8,13,0.916666667,0.262277176,70235
Mutation 0.8,14,0.92,0.247488444,90375
Mutation 0.8,15,0.916,0.262734718,87195
Mutation 0.8,16,0.915666667,0.269113538,64670
Mutation 0.8,17,0.913333333,0.263511753,75005
Mutation 0.8,18,0.913666667,0.264193534,77390
Mutation 0.8,19,0.918,0.262615361,76065
Mutation 0.8,20,0.917666667,0.247522488,85870
Mutation 0.8,21,0.918333333,0.249495268,82160
Mutation 0.8,22,0.917333333,0.257676552,89315
Mutation 0.8,23,0.917333333,0.24698743,95145
Mutation 0.8,24,0.916,0.251267565,97795
Mutation 0.8,25,0.919333333,0.249136196,99385
Mutation 0.8,26,0.917666667,0.24487533,112900
Mutation 0.8,27,0.923,0.237482642,107600
Mutation 0.8,28,0.921333333,0.241729345,106010
Mutation 0.8,29,0.92,0.248539222,101770
Mutation 0.8,30,0.922,0.250857579,99650
Mutation 0.8,31,0.919,0.247640041,111310
Mutation 0.8,32,0.915,0.258182312,113430
Mutation 0.8,33,0.917,0.260258197,132245
Mutation 0.8,34,0.916,0.253367971,129065
Mutation 0.8,35,0.92,0.257313193,108130
Mutation 0.8,36,0.921666667,0.250413049,143110
Mutation 0.8,37,0.920333333,0.263353254,146290
Mutation 0.8,38,0.915333333,0.248495549,145230
Mutation 0.8,39,0.920666667,0.246698957,150530
Mutation 0.8,40,0.917,0.258570674,139400
Mutation 0.8,41,0.912666667,0.260400202,123235
Mutation 0.8,42,0.920666667,0.243948496,143375
Mutation 0.8,43,0.919333333,0.261210391,152120
Mutation 0.8,44,0.912666667,0.25911643,153445
Mutation 0.8,45,0.917333333,0.250896345,162720
Mutation 0.8,46,0.919,0.238159206,173320
Mutation 0.8,47,0.920333333,0.243739629,160600
Mutation 0.8,48,0.920666667,0.256483742,174645
Mutation 0.8,49,0.916333333,0.24040908,153445
Mutation 0.8,50,0.924333333,0.240030106,163515
Mutation 0.8,51,0.921,0.237978126,161395
Mutation 0.8,52,0.922,0.234731209,203265
Mutation 0.8,53,0.926,0.236462682,206975
Mutation 0.8,54,0.924,0.232756109,196640
Mutation 0.8,55,0.927,0.218930201,218370
Mutation 0.8,56,0.921,0.251527221,122705
Mutation 0.8,57,0.916666667,0.249313539,134365
Mutation 0.8,58,0.922,0.248101119,141255
Mutation 0.8,59,0.915666667,0.248250113,148145
Mutation 0.8,60,0.925,0.245078784,160335
Mutation 0.8,61,0.921333333,0.23774421,160865
Mutation 0.8,62,0.922666667,0.23985456,212010
Mutation 0.8,63,0.920666667,0.238394471,219960
Mutation 0.8,64,0.922333333,0.240339319,212805
Mutation 0.8,65,0.924666667,0.234579572,227645
Mutation 0.8,66,0.923,0.232740156,201940
Mutation 0.8,67,0.926333333,0.229879112,205120
Mutation 0.8,68,0.926666667,0.227040367,215985
Mutation 0.8,69,0.927333333,0.228830445,204060
Mutation 0.8,70,0.929,0.227075098,213865
Mutation 0.8,71,0.923333333,0.2303418,214925
Mutation 0.8,72,0.925666667,0.224816535,283560
Mutation 0.8,73,0.926,0.22575699,219695
Mutation 0.8,74,0.923,0.236747722,181535
Mutation 0.8,75,0.923333333,0.228498264,177030
Mutation 0.8,76,0.924,0.236452317,200615
Mutation 0.8,77,0.921666667,0.234874185,158745
Mutation 0.8,78,0.919666667,0.250575067,152120
Mutation 0.8,79,0.922,0.246244373,156890
Mutation 0.8,80,0.918333333,0.247979263,159540
Mutation 0.8,81,0.917666667,0.249336449,128270
Mutation 0.8,82,0.922666667,0.236664045,147615
Mutation 0.8,83,0.924666667,0.23313903,168285
Mutation 0.8,84,0.929333333,0.232879389,175440
Mutation 0.8,85,0.924,0.227491367,203000
Mutation 0.8,86,0.930333333,0.230747631,201940
Mutation 0.8,87,0.925,0.221705535,247520
Mutation 0.8,88,0.936,0.212064906,298400
Mutation 0.8,89,0.926666667,0.217723987,294690
Mutation 0.8,90,0.923666667,0.224584935,311650
Mutation 0.8,91,0.925666667,0.224873767,274815
Mutation 0.8,92,0.925333333,0.215645835,302110
Mutation 0.8,93,0.922333333,0.226292321,322780
Mutation 0.8,94,0.929333333,0.216383861,329670
Mutation 0.8,95,0.927,0.213799283,418975
Mutation 0.8,96,0.924,0.229773064,334440
Mutation 0.8,97,0.926333333,0.227895151,301315
Mutation 0.8,98,0.926333333,0.221946337,312975
Mutation 0.8,99,0.927666667,0.214720785,324900
Mutation 0.8,100,0.928333333,0.217597105,329670
Mutation 0.8,101,0.926666667,0.219667327,371540
