Experiment 2 ,21_04_2020_05-54-15

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.8

OUTPUT
generation_no,params_no,layers_no,accuracy,loss
0,38170,1,0.901,0.3064894964694977
1,38811,2,0.909,0.28255900180339816
2,38811,2,0.911,0.2609240138530731
3,40757,4,0.91,0.2774298951625824
4,43208,5,0.908,0.2996640408039093
5,47742,5,0.885,0.3749182596206665
6,43535,2,0.913,0.2625467975139618
7,56212,5,0.909,0.2866233367919922
8,53850,4,0.92,0.23433416080474853
9,63739,4,0.912,0.2724987576007843
10,68420,4,0.913,0.26026632022857665
11,68915,3,0.917,0.26364615201950076
12,61300,3,0.923,0.23817861652374267
13,64897,3,0.917,0.2716848581433296
14,81324,3,0.924,0.25347874450683594
15,78105,4,0.915,0.28776734972000123
16,79826,6,0.91,0.30487293791770936
17,95576,6,0.888,0.3600647749304771
18,76361,4,0.92,0.2725313333272934
19,74343,5,0.917,0.25728341925144194
20,85214,4,0.916,0.2546218414306641
21,71953,3,0.925,0.23759441900253295
22,79939,4,0.918,0.25839872336387637
23,94049,3,0.927,0.22903709065914155
24,99768,3,0.932,0.21581429255008697
25,112174,4,0.937,0.21804207611083984
26,115881,3,0.92,0.24004358994960784
27,116863,4,0.93,0.24045960247516632
28,132556,4,0.924,0.20358866155147554
29,161747,3,0.927,0.23543935441970826
30,140415,2,0.919,0.24306721782684326
31,161201,3,0.926,0.2277368784546852
32,121139,3,0.941,0.19355061519145966
33,197967,4,0.926,0.23207513666152954
34,244717,4,0.934,0.22046916675567627
35,304662,2,0.925,0.22730504268407822
36,328575,2,0.928,0.21602626597881316
37,251682,2,0.941,0.1861040233373642
38,274118,2,0.938,0.19800007313489915
39,301231,2,0.943,0.19074954402446748
40,275129,2,0.934,0.22913477551937103
41,266975,2,0.936,0.19977630597352983
42,607499,2,0.938,0.21900621640682222
43,608223,2,0.943,0.18579318928718566
44,582530,2,0.943,0.1917413050830364
45,708495,2,0.943,0.18321427029371262
46,746247,2,0.937,0.19687028849124907
47,587708,2,0.939,0.20105942443013192
48,696352,2,0.931,0.2342412548959255
49,601516,2,0.928,0.20964571437239646
50,527298,2,0.937,0.21255726861953736
51,1013279,2,0.938,0.19462936788797378
52,534750,2,0.943,0.1928113694190979
53,1193567,2,0.934,0.19686401361227035
54,1149875,2,0.951,0.17841210547089575
55,1039765,2,0.935,0.188481125831604
56,953875,2,0.928,0.21890832564234733
57,785805,2,0.946,0.17679865816235543
58,970185,2,0.942,0.19162272702902555
59,976821,2,0.945,0.1812889143973589
60,1134850,2,0.926,0.25087094855308534
61,1430215,1,0.945,0.1747502191364765
62,1341970,1,0.945,0.17908654659986495
63,1341970,1,0.931,0.20928208696842193
64,1341970,1,0.942,0.17171035292744635
65,1341970,1,0.944,0.17805839627981185
66,1281550,1,0.943,0.20737321236729622
67,1047820,1,0.939,0.1867478446960449
68,1695745,1,0.945,0.17722777946293353
69,1714825,1,0.946,0.15590687775611878
70,1695745,1,0.944,0.17145470869541168
71,2146510,1,0.953,0.17296909564733506
72,2244295,1,0.937,0.2078272998034954
73,1564570,1,0.938,0.20216935300827027
74,1830895,1,0.934,0.20528602758049966
75,1636120,1,0.947,0.16753201073408128
76,1997050,1,0.944,0.18373609626293183
77,1525615,1,0.936,0.21460360872745515
78,2776150,1,0.942,0.18376813685148954
79,2530495,1,0.952,0.16791474094986916
80,3519475,1,0.95,0.17942422914505005
81,3519475,1,0.936,0.20424039632081986
82,4424980,1,0.93,0.23493770018219948
83,1965250,1,0.95,0.17795347890257834
84,4194430,1,0.937,0.2043975050896406
85,2006590,1,0.937,0.2093448756337166
86,3884380,1,0.941,0.19613896007090806
87,3884380,1,0.936,0.2112236422598362
88,3884380,1,0.943,0.18715441983938216
89,3138670,1,0.942,0.18565444192290306
90,4581595,1,0.953,0.16143022257089615
91,2415220,1,0.951,0.17749359518289565
92,3459850,1,0.946,0.17490614891052247
93,2749915,1,0.944,0.19349607712030412
94,2371495,1,0.945,0.1738853861540556
95,2237935,1,0.942,0.1949506193101406
96,2509825,1,0.94,0.19388583690673114
97,2908120,1,0.946,0.17217924717068672
98,3701530,1,0.946,0.2141654482781887
99,3420895,1,0.943,0.19106242230534554
100,3420895,1,0.948,0.19411432060599326
101,3420895,1,0.938,0.19123081514239312
102,2959795,1,0.942,0.20787401747703552
103,3522655,1,0.938,0.20325366362929345
104,2900170,1,0.936,0.20019588792324067
105,4571260,1,0.95,0.18145044377446173
106,4250875,1,0.942,0.20179120733588934
107,2975695,1,0.942,0.19990730731934309
108,4391590,1,0.937,0.21029926627874374
109,5494255,1,0.93,0.22439992034435272
110,2028850,1,0.938,0.18153262865543365
111,2218060,1,0.945,0.17440583008527755
112,2341285,1,0.943,0.21176137074828147
113,2109145,1,0.944,0.18982614344358445
114,1928680,1,0.939,0.18234922748804092
115,2734015,1,0.947,0.1683397727906704
116,2375470,1,0.945,0.18598523306846618
117,2854855,1,0.941,0.1828182303905487
118,2719705,1,0.947,0.18486497682332992
119,2431120,1,0.945,0.18029960310459137
120,2521750,1,0.934,0.2257408774495125
121,2521750,1,0.949,0.16094338355958462
122,3093355,1,0.936,0.2374140266776085
123,3322315,1,0.951,0.16827213695645332
124,3093355,1,0.931,0.2085545827150345
125,2886655,1,0.945,0.17192140352725982
126,2468485,1,0.943,0.18961763256788253
127,2906530,1,0.945,0.17496699446439742
128,3301645,1,0.948,0.1848012145757675
129,2454970,1,0.942,0.20097138297557832
130,2754685,1,0.943,0.2063485069870949
131,2754685,1,0.948,0.17044032645225524
132,2902555,1,0.938,0.204196674823761
133,2514595,1,0.946,0.18283811703324318
134,3596590,1,0.944,0.176735270999372
135,2108350,1,0.951,0.17109981167316438
136,2592505,1,0.94,0.18826315239071845
137,2157640,1,0.937,0.19931211769580842
138,2842930,1,0.937,0.1818621667921543
139,2589325,1,0.941,0.1871859093606472
140,2017720,1,0.944,0.17835084712505342
141,1927885,1,0.945,0.1871030333042145
142,1927885,1,0.946,0.18544669926166535
143,1940605,1,0.942,0.20015086799860002
144,1997111,2,0.939,0.21204871553182603
145,1940605,1,0.931,0.23216371306777
146,1962865,1,0.934,0.18853757038712501
