Experiment 2 ,22_04_2020_04-44-47

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.8

OUTPUT
generation_no,params_no,layers_no,accuracy,loss
0,27835,2,0.904,0.31645601511001586
1,27835,2,0.91,0.31571356010437013
2,29095,3,0.908,0.29363014769554135
3,29711,4,0.899,0.3128101072311401
4,35451,4,0.904,0.27838813138008117
5,43791,3,0.905,0.27661251306533813
6,43791,3,0.917,0.2588077673912048
7,44134,5,0.908,0.27994221514463424
8,45909,6,0.916,0.26471991884708407
9,45648,6,0.916,0.28844079840183257
10,46218,6,0.911,0.2840702894926071
11,56731,5,0.912,0.2837473702430725
12,67378,6,0.922,0.2603684543371201
13,73722,7,0.916,0.2725141249895096
14,61245,9,0.885,0.391662564098835
15,85278,7,0.918,0.27694668412208556
16,79313,6,0.922,0.22765712022781373
17,64795,7,0.904,0.324511538028717
18,69609,8,0.922,0.2802998616695404
19,63032,5,0.904,0.3123714439868927
20,63395,5,0.918,0.24841505956649781
21,81933,8,0.916,0.28903651508688927
22,81239,4,0.914,0.23205562990903855
23,80387,5,0.926,0.23233484137058258
24,55813,5,0.914,0.289991152048111
25,83496,6,0.911,0.2804112250804901
26,88602,3,0.928,0.2266725971698761
27,95783,3,0.926,0.22651520419120788
28,96410,4,0.928,0.22665119522809982
29,102337,4,0.925,0.2387591211795807
30,109987,4,0.924,0.21392573726177216
31,98937,4,0.923,0.22838703274726868
32,107225,4,0.909,0.27294062638282773
33,104204,4,0.933,0.2259894005060196
34,131372,4,0.939,0.2098097243309021
35,131372,4,0.935,0.23697889357805252
36,140513,4,0.941,0.19679590022563934
37,146456,4,0.937,0.19350046238303184
38,134072,4,0.925,0.2488073638677597
39,141038,4,0.927,0.23583672976493836
40,176271,3,0.932,0.2160634360909462
41,170953,4,0.93,0.21790601199865342
42,169028,4,0.928,0.21276569199562073
43,204067,4,0.917,0.23131210368871688
44,170523,4,0.933,0.22555242562294006
45,203747,4,0.934,0.19058621519804
46,240221,4,0.944,0.18522567683458327
47,241631,4,0.924,0.24495379066467285
48,238445,4,0.943,0.2071961085796356
49,245058,4,0.932,0.21398190408945084
50,242621,4,0.934,0.20403518444299698
51,241671,5,0.934,0.21074948903918267
52,247949,5,0.928,0.24974285435676574
53,263389,5,0.934,0.2348846170902252
54,245409,4,0.941,0.1844644621014595
55,308447,4,0.93,0.22313891911506653
56,347534,4,0.93,0.23522989851236342
57,347534,4,0.943,0.1869709405899048
58,346029,4,0.94,0.21353329545259475
59,370485,4,0.932,0.23186829668283462
60,407739,3,0.941,0.1798746247291565
61,414333,3,0.934,0.19929137802124022
62,453600,4,0.926,0.24145367407798768
63,470200,3,0.941,0.20946126990020275
64,455220,3,0.944,0.17665901812911033
65,510901,3,0.935,0.20461319214105606
66,388988,4,0.931,0.23392711016535758
67,449870,3,0.941,0.18298491263389588
68,573927,3,0.938,0.19185990053415297
69,551462,3,0.927,0.25165367498993874
70,551462,3,0.931,0.22029112900793552
71,552760,3,0.942,0.19822347144782543
72,527625,3,0.938,0.19275879175961017
73,572577,3,0.94,0.19699798494577409
74,468519,3,0.929,0.22718431341648102
75,572577,3,0.933,0.2505409368574619
76,575063,4,0.938,0.22331092474609612
77,650357,4,0.905,0.3419957637786865
78,685887,3,0.929,0.2290110993683338
79,563856,3,0.933,0.20070031595230103
80,854927,3,0.957,0.16915418606996535
81,854927,3,0.932,0.1938939725160599
82,634515,3,0.942,0.18217202907800675
83,682553,4,0.953,0.1862562298476696
84,940495,2,0.939,0.19526461493968963
85,940495,2,0.932,0.20158593705296515
86,673701,4,0.94,0.2057745853662491
87,910713,3,0.948,0.19425897648930548
88,648013,3,0.941,0.20562409088015557
89,619135,3,0.942,0.20391411259770392
90,623695,3,0.939,0.2041797765493393
91,623695,3,0.944,0.18046593898534774
92,1034703,3,0.943,0.1996751032732427
93,790339,4,0.941,0.21708288991451263
94,635860,3,0.939,0.19149748879671097
95,731235,3,0.941,0.19436513522267343
96,943118,4,0.938,0.19272623232007027
97,1135910,4,0.941,0.200372321665287
98,911246,4,0.942,0.20788903161883354
99,936348,3,0.942,0.20919010490179063
100,854289,3,0.936,0.21465160663425922
101,1090995,3,0.943,0.1928360904455185
102,1061933,3,0.936,0.2168928651213646
103,913287,3,0.942,0.20509835880994798
104,1068223,3,0.921,0.2684640449285507
105,1026780,3,0.939,0.2019567885696888
106,1027991,3,0.928,0.2544395244419575
107,1023147,3,0.935,0.2059094502031803
108,1011037,3,0.943,0.18544621109217405
109,1159467,3,0.942,0.23880784964561463
110,1019514,3,0.916,0.3307785905897617
111,1155354,3,0.936,0.21785479427874088
