Experiment 1 ,22_04_2020_00-44-46

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.8

OUTPUT
generation_no,params_no,layers_no,accuracy,loss
0,26592,2,0.899,0.30596886372566223
1,35439,2,0.915,0.27938691091537476
2,41179,3,0.918,0.2534478582143784
3,41974,3,0.91,0.279360223531723
4,51104,3,0.905,0.2870551300048828
5,60428,3,0.919,0.23512421584129334
6,57428,5,0.913,0.31322782039642333
7,48749,3,0.917,0.2618295428752899
8,61269,5,0.915,0.28540484941005706
9,58099,4,0.915,0.2517033150196075
10,58115,3,0.915,0.2326550856232643
11,67411,4,0.92,0.24057574141025542
12,65303,3,0.917,0.24869719445705413
13,81837,3,0.934,0.2229088315963745
14,95219,3,0.923,0.22372660911083223
15,94379,3,0.924,0.2383731348514557
16,104378,3,0.915,0.2673670743405819
17,99674,3,0.931,0.21697580313682557
18,121562,3,0.931,0.22160037064552307
19,123063,5,0.926,0.264717260658741
20,154647,5,0.917,0.23701627904176711
21,115233,3,0.927,0.22282207036018373
22,113168,2,0.938,0.20797411799430848
23,170691,2,0.922,0.23205162250995637
24,208755,3,0.938,0.1986521053314209
25,225295,2,0.935,0.19700861084461213
26,179053,2,0.935,0.21978137052059174
27,212379,2,0.93,0.2141552188396454
28,212379,2,0.945,0.1913650841116905
29,215270,3,0.938,0.19326885330677032
30,224475,2,0.945,0.18479606193304063
31,248247,2,0.933,0.21027927327156068
32,236739,2,0.938,0.1909397184252739
33,274857,3,0.939,0.20516577804088593
34,318339,3,0.934,0.19864416283369063
35,285839,3,0.935,0.2078897989988327
36,240527,2,0.94,0.1923502254486084
37,238863,3,0.908,0.2674576261639595
38,342095,3,0.937,0.20717291980981828
39,293506,3,0.934,0.19465477514266968
40,266859,3,0.933,0.24200391247868538
41,268476,2,0.944,0.18409811727702619
42,362469,2,0.933,0.20954070256650448
43,413655,2,0.93,0.23478296816349029
44,347731,2,0.928,0.23134451627731323
45,351371,2,0.93,0.22105789637565612
46,390861,2,0.937,0.2128412845134735
47,455445,2,0.944,0.19341271489858627
48,471125,2,0.943,0.1716349414587021
49,457490,2,0.943,0.19436897756159305
50,484255,2,0.943,0.19946112477779387
51,547700,2,0.943,0.1996656833589077
52,463550,2,0.941,0.1743195460885763
53,586035,2,0.936,0.20115926897525788
54,507291,2,0.951,0.1714758857190609
55,635461,2,0.925,0.24355354668200016
56,521705,2,0.942,0.18247791337966918
57,763811,2,0.919,0.26971280640363693
58,612963,2,0.941,0.17933125323057175
59,612963,2,0.932,0.2077126502096653
60,679875,2,0.932,0.20476711529493333
61,493983,2,0.94,0.19456243419647218
62,764934,2,0.935,0.20123121190071105
63,843951,2,0.942,0.18418243759870528
64,681435,2,0.944,0.18850880575180054
65,674280,2,0.931,0.21746088647842407
66,584905,2,0.935,0.20899910187721252
67,670305,2,0.934,0.20345620262622832
68,527687,2,0.938,0.21277027770876886
69,491226,2,0.939,0.20049209120869638
70,1022956,2,0.937,0.2070268262028694
71,878053,2,0.941,0.19057787191867828
72,1754703,2,0.937,0.19710986551642418
73,1008335,2,0.929,0.25387255162000655
74,1098533,2,0.936,0.21129009181261063
75,1052195,2,0.931,0.22859935092180966
76,827259,2,0.951,0.18690171045064927
77,1315183,3,0.944,0.17908032202720642
