Experiment 2 ,22_04_2020_07-44-48

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.8

OUTPUT
generation_no,params_no,layers_no,accuracy,loss
0,33485,3,0.914,0.27443870782852176
1,35101,4,0.912,0.2762165834903717
2,40881,4,0.908,0.2763332949280739
3,41141,4,0.907,0.286551855802536
4,37846,5,0.911,0.2971785200238228
5,49027,2,0.916,0.2855490646362305
6,53698,4,0.908,0.29100250458717347
7,50660,2,0.907,0.28805338621139526
8,54201,2,0.917,0.2499215965270996
9,50918,3,0.922,0.24103466820716857
10,58235,3,0.91,0.26144449031352995
11,62177,3,0.917,0.23010713982582093
12,62177,3,0.918,0.2535659236907959
13,82999,4,0.911,0.2707299205064774
14,81950,4,0.926,0.23352675485610963
15,118448,4,0.931,0.223763303399086
16,109660,4,0.934,0.20961836445331575
17,102533,3,0.922,0.2424292677640915
18,104156,4,0.909,0.2723942946195602
19,82535,3,0.919,0.23895055747032165
20,72110,3,0.929,0.20414884185791016
21,88599,3,0.925,0.2260671797990799
22,97999,2,0.926,0.22134704971313476
23,114113,4,0.931,0.22960978209972382
24,79935,2,0.92,0.24574386358261108
25,180222,4,0.922,0.25439444577693937
26,177321,3,0.931,0.22699894839525223
27,242776,4,0.928,0.212572678565979
28,171401,3,0.929,0.21933476787805556
29,172465,3,0.922,0.24217480319738388
30,182015,3,0.927,0.22279818147420882
31,182015,3,0.921,0.2422742175459862
32,111137,3,0.925,0.2087497992515564
33,173991,3,0.926,0.23769542968273163
34,206873,3,0.925,0.23069483745098113
35,233845,3,0.941,0.18629691874980928
36,203733,3,0.916,0.2437376016676426
37,274935,2,0.929,0.20926244568824767
38,284198,3,0.927,0.23628556561470032
39,339515,2,0.93,0.21939566779136657
40,446908,2,0.94,0.20255361431837082
41,446908,2,0.934,0.20059183663129806
42,456237,3,0.933,0.23862711173295975
43,596729,3,0.926,0.2245122641324997
44,716583,2,0.943,0.19888885286450386
45,637583,2,0.934,0.19262263137102126
46,389443,2,0.926,0.25435750257968903
47,501647,2,0.935,0.18738744622468947
48,274031,2,0.929,0.21351776206493378
49,472674,2,0.935,0.22618284058570862
50,489319,2,0.934,0.19991872227191926
51,571473,2,0.94,0.20503038519620895
52,609405,2,0.94,0.19921957194805145
53,555588,2,0.931,0.20516381345689297
54,419586,2,0.926,0.24187213164567947
55,587052,3,0.933,0.22894989305734634
56,768145,2,0.933,0.2246604814529419
57,768145,2,0.943,0.1783846886754036
58,607659,2,0.937,0.20474946001172065
59,1011537,2,0.931,0.2214212135076523
60,772155,2,0.937,0.20188501048088073
61,1163390,2,0.945,0.20245158502459526
62,1152002,2,0.943,0.19205408242344857
63,743247,2,0.951,0.1703444712460041
64,1033377,2,0.938,0.19485995212197305
65,1381660,2,0.945,0.2090259280502796
66,1207375,2,0.929,0.282232548981905
67,1150161,2,0.942,0.2090985332429409
68,1207375,2,0.944,0.19795836687088011
69,1008865,1,0.946,0.18828312700986863
70,911635,2,0.938,0.19411508756875992
71,805589,2,0.939,0.1858705914616585
72,1354889,3,0.944,0.19638570684194565
73,1520760,2,0.939,0.18836403769254684
74,945265,1,0.947,0.17674316936731338
75,1984330,1,0.952,0.164233533680439
76,2150485,1,0.936,0.19494695448875426
77,2140150,1,0.942,0.1900289494395256
78,1529295,2,0.937,0.22868147212266923
79,1365025,1,0.94,0.1853355338871479
80,1292598,2,0.939,0.20897633817791939
81,1769095,2,0.939,0.2356264286339283
82,1830100,1,0.95,0.17044643944501878
83,2299150,1,0.933,0.20167274326086043
84,2491540,1,0.947,0.18733477765321732
85,2958205,1,0.947,0.16491593131422996
86,1897675,1,0.939,0.20139509618282317
87,2416810,1,0.935,0.20551961556077003
88,2416810,1,0.941,0.19630611717700958
89,2524930,1,0.945,0.1674724669754505
90,3070300,1,0.928,0.26048941822350025
91,2271325,1,0.942,0.18012357020378114
92,3070300,1,0.937,0.1950520786345005
93,3070300,1,0.934,0.19815827509760855
94,2489950,1,0.937,0.19929422461986543
95,2829415,1,0.941,0.2127349406480789
96,3332650,1,0.943,0.20483201983571053
97,2955025,1,0.953,0.1526905200481415
98,2955025,1,0.946,0.15619084376096726
99,3560020,1,0.933,0.24214705181121826
100,2982055,1,0.94,0.20419246029853821
101,2122660,1,0.948,0.18218218475580217
102,2896195,1,0.946,0.18323700964450837
103,2980465,1,0.953,0.17853138709068297
104,2331745,1,0.94,0.17381926676630974
105,2534470,1,0.942,0.1916481777727604
106,2567065,1,0.939,0.19626730865240097
107,2534470,1,0.95,0.17433738070726396
108,2457355,1,0.931,0.21118846893310547
109,2457355,1,0.946,0.1946511797308922
110,2445430,1,0.935,0.1979598298072815
111,3368425,1,0.945,0.19456351560354232
112,2982850,1,0.942,0.18643712776899338
113,4033045,1,0.945,0.19702111661434174
114,3540145,1,0.956,0.157189429551363
115,3105280,1,0.95,0.17488033524155616
116,2297560,1,0.941,0.18121428519487381
117,2245885,1,0.924,0.23194427943229676
118,2560705,1,0.949,0.17368105924129487
119,2586940,1,0.942,0.17399814462661742
120,2165590,1,0.946,0.1704384931921959
121,2076550,1,0.939,0.1869530017375946
122,1890520,1,0.94,0.20325906747579575
123,2082910,1,0.943,0.18039913034439087
124,1419183,2,0.947,0.16589320236444474
125,1821567,2,0.944,0.1807094019204378
126,2908120,1,0.939,0.20890737238526344
127,3752410,1,0.947,0.17461848340928554
128,3036910,1,0.941,0.18097259709239005
129,3752410,1,0.944,0.19587828075885771
130,2046340,1,0.947,0.19260401552915574
131,2046340,1,0.942,0.18596510183811188
132,2046340,1,0.943,0.18921479384601117
133,1952530,1,0.94,0.20064521753787995
134,2661670,1,0.944,0.18525214463472367
135,2661670,1,0.947,0.17252895146608352
136,2982055,1,0.947,0.17726232364028693
137,3147415,1,0.948,0.17467960365116597
138,1986715,1,0.94,0.19411190569400788
139,1718005,1,0.943,0.16638711869716644
140,1718005,1,0.945,0.17290410530567168
141,2385805,1,0.949,0.17368356004357338
142,2450200,1,0.938,0.20522530208528042
143,3009880,1,0.949,0.1694804081618786
144,3009880,1,0.949,0.16832768738269807
145,2132200,1,0.941,0.2025221689939499
146,3009880,1,0.948,0.16166032752394677
147,2132200,1,0.939,0.19011423030495644
148,3009880,1,0.948,0.18303264033794403
149,3999655,1,0.946,0.182616073012352
