Experiment 1 ,18_04_2020_06-58-18

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.8

OUTPUT
generation_no,params_no,neurons_no,accuracy,loss
0,31810,40,0.907,0.29560443496704103
1,31015,39,0.901,0.30239404916763307
2,39760,50,0.909,0.29460321402549744
3,43735,55,0.91,0.2855861430168152
4,43735,55,0.91,0.2800385780334473
5,55660,70,0.91,0.28117082166671753
6,58045,73,0.906,0.2822712860107422
7,74740,94,0.917,0.2557422890663147
8,95410,120,0.917,0.2657933135032654
9,95410,120,0.926,0.2398139556646347
10,109720,138,0.917,0.24355950379371644
11,129595,163,0.924,0.23360135626792908
12,155830,196,0.923,0.23326387190818787
13,167755,211,0.924,0.20776265227794646
14,180475,227,0.929,0.22416403031349183
15,181270,228,0.913,0.25098832714557645
16,200350,252,0.922,0.23719265389442443
17,225790,284,0.931,0.21189245808124543
18,272695,343,0.937,0.19901651108264923
19,275875,347,0.932,0.20463359689712524
20,325165,409,0.929,0.22036692667007446
21,382405,481,0.935,0.20178354465961457
22,426925,537,0.939,0.2089396545290947
23,553330,696,0.938,0.18815296989679337
24,715510,900,0.934,0.18718873131275177
25,638395,803,0.93,0.2287893410921097
26,876895,1103,0.936,0.18756246703863144
27,1053385,1325,0.94,0.1979903443455696
28,1287910,1620,0.945,0.17469891667366028
29,1484275,1867,0.935,0.19719456112384795
30,1771270,2228,0.941,0.1910821742415428
31,1837255,2311,0.947,0.17173621165752412
32,2180695,2743,0.936,0.20219256126880647
33,2395345,3013,0.949,0.1598340700119734
34,2466100,3102,0.94,0.16934002333879472
35,1733905,2181,0.936,0.19828234927356242
36,3018625,3797,0.944,0.17879961481690407
37,2432710,3060,0.948,0.17355207514762877
38,2473255,3111,0.936,0.19719626750051975
39,2660875,3347,0.939,0.22260595878958703
40,3186370,4008,0.938,0.18306874135136605
41,3096535,3895,0.939,0.19608859592676162
42,2844520,3578,0.949,0.1885789942741394
43,2846905,3581,0.945,0.18095527222752572
44,1882570,2368,0.943,0.18223308545351027
45,2916865,3669,0.944,0.18492594969272613
46,3072685,3865,0.951,0.17909152337908746
47,4921060,6190,0.951,0.19063119827210903
48,2254630,2836,0.948,0.17775456848740578
49,2254630,2836,0.943,0.18004339781403542
50,2215675,2787,0.951,0.17951103323698045
51,2888245,3633,0.948,0.16470760256052017
52,3674500,4622,0.933,0.2499667912721634
53,3024190,3804,0.944,0.17261876139044763
54,3346960,4210,0.938,0.2044829331934452
55,2541625,3197,0.944,0.17908037459850312
56,2541625,3197,0.948,0.16511050057411195
57,4201585,5285,0.94,0.20021043694019316
58,5190565,6529,0.939,0.18915989196300506
59,3641905,4581,0.935,0.19557830119132996
60,2663260,3350,0.944,0.17987453831732272
61,3818395,4803,0.949,0.17706964540481568
62,3615670,4548,0.95,0.16523933616280556
63,4630090,5824,0.938,0.2006635253727436
64,5080060,6390,0.947,0.18432692635059356
65,3215785,4045,0.941,0.20464453387260437
66,3742075,4707,0.943,0.18973727421462536
67,3575125,4497,0.942,0.19724549421668053
68,3698350,4652,0.932,0.21289288637042045
69,4053715,5099,0.942,0.197655089199543
70,4103005,5161,0.942,0.21577203536033632
71,2337310,2940,0.938,0.20816973823308946
72,3196705,4021,0.939,0.19478367903828622
73,3102100,3902,0.944,0.18745949426293373
74,2594890,3264,0.942,0.1907940917611122
75,3028165,3809,0.927,0.22416025352478028
76,3507550,4412,0.949,0.18321795856952666
77,3910615,4919,0.943,0.1745834930241108
78,4523560,5690,0.94,0.1937286691069603
79,4285060,5390,0.949,0.17219609808176756
80,4489375,5647,0.934,0.25716028493642806
81,4671430,5876,0.936,0.22774632561206817
82,3901075,4907,0.936,0.226108460560441
83,4058485,5105,0.942,0.19299012231826781
