Experiment 3 ,20_04_2020_03-21-50

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.8

OUTPUT
generation_no,params_no,neurons_no,accuracy,loss
0,39760,50,0.899,0.30999257016181947
1,38170,48,0.907,0.2884242181777954
2,38965,49,0.913,0.2868696417808533
3,38965,49,0.912,0.27713693022727964
4,56455,71,0.91,0.27192305588722226
5,69175,87,0.904,0.2767059361934662
6,85075,107,0.913,0.25903619861602784
7,89050,112,0.925,0.23647941493988037
8,107335,135,0.923,0.2508463616371155
9,129595,163,0.922,0.22901688933372497
10,150265,189,0.926,0.2245159944295883
11,149470,188,0.925,0.22844529342651368
12,183655,231,0.924,0.2221682858467102
13,221020,278,0.922,0.22288444089889525
14,247255,311,0.931,0.20859748649597168
15,294160,370,0.923,0.22204460799694062
16,364120,458,0.942,0.18270713806152344
17,463495,583,0.941,0.20207529836893082
18,568435,715,0.941,0.18172183251380922
19,586720,738,0.938,0.18037530905008317
20,681325,857,0.936,0.1768515088558197
21,780700,982,0.943,0.17428654623031617
22,856225,1077,0.946,0.1827271619439125
23,818065,1029,0.936,0.2176929407119751
24,934930,1176,0.937,0.19270089852809907
25,934930,1176,0.934,0.22171810889244079
26,935725,1177,0.942,0.1839165568947792
27,976270,1228,0.929,0.1821549116373062
28,870535,1095,0.938,0.1900306287407875
29,1157530,1456,0.938,0.19250814700126648
30,1084390,1364,0.951,0.16806575566530227
31,1084390,1364,0.94,0.19588674718141555
32,1242595,1563,0.95,0.16105850699543953
33,1375360,1730,0.939,0.21926748237013816
34,1375360,1730,0.944,0.19546749046444892
35,1835665,2309,0.934,0.198448941886425
36,2168770,2728,0.949,0.17632002158463
37,1764115,2219,0.935,0.1921249379515648
38,1764115,2219,0.942,0.18020332810282708
39,1440550,1812,0.939,0.19037596505880355
40,2046340,2574,0.944,0.17469316691160203
41,2489950,3132,0.934,0.23568041526898742
42,2525725,3177,0.949,0.169640210211277
43,2218060,2790,0.945,0.18062238985300064
44,1823740,2294,0.942,0.18856795501708984
45,1876210,2360,0.937,0.18733202457427978
46,1876210,2360,0.946,0.18344649133086205
47,2017720,2538,0.938,0.2061887293457985
48,2090065,2629,0.942,0.18573821091651915
49,2040775,2567,0.934,0.21326916098594664
50,2595685,3265,0.946,0.18405159404873847
51,3083020,3878,0.94,0.19270238304138185
52,2559910,3220,0.938,0.17892398485541344
53,2264170,2848,0.942,0.18554306387901306
54,2431120,3058,0.939,0.2071676971912384
55,2752300,3462,0.948,0.1734506035298109
56,3802495,4783,0.941,0.1925009044855833
57,2615560,3290,0.942,0.19724271166324617
58,2510620,3158,0.95,0.1722813614308834
59,2331745,2933,0.942,0.18435848872363567
60,2461330,3096,0.935,0.19947148060798645
61,2191030,2756,0.943,0.17968953794240952
62,2623510,3300,0.951,0.18964742600917817
63,3360475,4227,0.946,0.19132384377717973
64,2482795,3123,0.946,0.18281611025333405
65,2557525,3217,0.94,0.2238075052499771
66,2725270,3428,0.946,0.18540679070353508
67,2447020,3078,0.939,0.19141942191123962
68,2914480,3666,0.945,0.19729187548160554
69,1985920,2498,0.942,0.18302574795484544
70,1822945,2293,0.933,0.1944173377752304
71,1909600,2402,0.946,0.18780293118953706
72,1909600,2402,0.939,0.216708515137434
73,3754795,4723,0.941,0.18641800597310065
74,2274505,2861,0.953,0.16246734002232552
75,1818970,2288,0.946,0.1803133847117424
76,1991485,2505,0.94,0.18642158639431
77,3079840,3874,0.939,0.18269916000962258
78,2815105,3541,0.941,0.1792555229663849
79,2326975,2927,0.946,0.1854210572987795
80,2140945,2693,0.944,0.18178603273630142
81,2243500,2822,0.939,0.2290664861500263
82,2500285,3145,0.939,0.20326326030492783
83,2445430,3076,0.936,0.20504997096955777
84,3024985,3805,0.95,0.1785626814365387
85,3112435,3915,0.947,0.17000452387332915
86,3596590,4524,0.939,0.20821751376986503
87,3320725,4177,0.941,0.21386952856183053
88,3921745,4933,0.947,0.17394784605503083
89,2433505,3061,0.941,0.1967066721022129
90,2558320,3218,0.948,0.1774295903891325
91,2962975,3727,0.946,0.18255647128820418
92,1559800,1962,0.939,0.18381797540187836
93,2118685,2665,0.946,0.17898206973075867
94,2949460,3710,0.935,0.1837758415043354
95,2307100,2902,0.948,0.18269173511862755
96,2290405,2881,0.94,0.19823029309511184
97,2607610,3280,0.942,0.16793997602164745
98,3540940,4454,0.934,0.21430907022953033
99,2993980,3766,0.941,0.2010574839115143
100,3941620,4958,0.944,0.1874542188644409
101,3180010,4000,0.939,0.2000046852827072
102,2633050,3312,0.942,0.18614088997244835
103,2943895,3703,0.95,0.16573201262950898
104,4675405,5881,0.946,0.18103944349288942
105,2943895,3703,0.941,0.18945525954663753
106,3751615,4719,0.949,0.1595534798204899
107,3639520,4578,0.952,0.17397387496381997
108,2897785,3645,0.942,0.19301921963691712
109,4402720,5538,0.95,0.17564687487483024
110,3092560,3890,0.943,0.19218390488624573
111,3385915,4259,0.945,0.17531903976202012
112,3682450,4632,0.95,0.16284928852319716
113,3856555,4851,0.947,0.18762917697429657
114,3360475,4227,0.946,0.1711909421235323
115,4713565,5929,0.932,0.2407560648918152
116,2735605,3441,0.944,0.18596462073922157
117,2735605,3441,0.934,0.20454071509838104
118,1814995,2283,0.951,0.17609374964237212
119,2712550,3412,0.945,0.1896598331928253
120,2800000,3522,0.944,0.17515107345581055
121,2722885,3425,0.946,0.18202804869413375
122,2121865,2669,0.949,0.17330255928635596
123,2544010,3200,0.939,0.17426213055849074
124,2334130,2936,0.935,0.20509870165586472
125,2691880,3386,0.942,0.20125257295370103
126,3208630,4036,0.948,0.1805867971777916
127,1893700,2382,0.946,0.1689030106663704
128,3608515,4539,0.945,0.2003902385830879
129,2606815,3279,0.941,0.1994445645213127
130,2606815,3279,0.94,0.2122291442155838
131,2020900,2542,0.947,0.17137370866537094
132,2664055,3351,0.948,0.17217741003632545
133,3103690,3904,0.947,0.18604946959018706
134,3387505,4261,0.945,0.19902162104845048
135,3321520,4178,0.938,0.22445973497629165
136,3018625,3797,0.944,0.19761962985992432
137,2328565,2929,0.946,0.17427941817045212
138,3904255,4911,0.929,0.24113708689063787
139,2774560,3490,0.945,0.17692250694334508
140,1549465,1949,0.931,0.20084183794260024
141,3040090,3824,0.942,0.19101053795218467
142,2315845,2913,0.943,0.20350241497159005
143,3450310,4340,0.944,0.18211599032580852
144,2108350,2652,0.942,0.17108117148280144
145,2483590,3124,0.948,0.17316783452033996
146,2935150,3692,0.946,0.19090994291007518
147,2713345,3413,0.938,0.20077080526947974
148,3261100,4102,0.937,0.21711822573840617
