Experiment 2 ,13_04_2020_00-04-24

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.8

OUTPUT
generation_no,params_no,neurons_no,accuracy,loss
0,32605,41,0.905,0.2981826310157776
1,29425,37,0.909,0.29526130414009094
2,27835,35,0.906,0.3070181758403778
3,27040,34,0.895,0.3279019422531128
4,36580,46,0.913,0.28236612915992737
5,36580,46,0.908,0.29985378217697145
6,41350,52,0.91,0.301625608921051
7,41350,52,0.914,0.28071840286254884
8,38965,49,0.91,0.30338550758361815
9,51685,65,0.902,0.29209886837005616
10,62020,78,0.905,0.28355638694763186
11,74740,94,0.913,0.2657801332473755
12,92230,116,0.906,0.2532213764190674
13,88255,111,0.92,0.2628609757423401
14,108925,137,0.923,0.2368990638256073
15,73150,92,0.919,0.2605136895179749
16,63610,80,0.917,0.27627162528038024
17,78715,99,0.925,0.23493280839920044
18,97000,122,0.919,0.2560897468328476
19,104155,131,0.915,0.2610120939016342
20,126415,159,0.917,0.2221098598241806
21,108130,136,0.923,0.25167870736122133
22,159805,201,0.925,0.23213332378864288
23,195580,246,0.929,0.21252046740055083
24,222610,280,0.935,0.2231413269042969
25,239305,301,0.926,0.20238861179351805
26,223405,281,0.93,0.21656599688529968
27,239305,301,0.93,0.2042309852838516
28,231355,291,0.934,0.23117154693603514
29,223405,281,0.933,0.2029658247232437
30,262360,330,0.929,0.22055836641788482
31,338680,426,0.934,0.20081761300563813
32,252820,318,0.931,0.21225186097621918
33,283030,356,0.934,0.20002658426761627
34,349810,440,0.941,0.19589999938011168
35,342655,431,0.943,0.20259556245803834
36,321190,404,0.927,0.2157008627653122
37,321985,405,0.93,0.2046005088686943
38,376045,473,0.932,0.2135181951522827
39,417385,525,0.938,0.18663885414600373
40,558100,702,0.942,0.1890624544620514
41,475420,598,0.929,0.21875449478626252
42,502450,632,0.94,0.19205525189638137
43,556510,700,0.941,0.18462960064411163
44,647935,815,0.935,0.19763436388969421
