Experiment 3 ,17_04_2020_00-46-53

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.8

OUTPUT
generation_no,params_no,neurons_no,accuracy,loss
0,15910,20,0.906,0.3249399199485779
1,13525,17,0.898,0.3389648184776306
2,24655,31,0.907,0.2961545381546021
3,20680,26,0.904,0.30709327054023744
4,34195,43,0.909,0.27724842286109924
5,19090,24,0.895,0.3274749550819397
6,33400,42,0.91,0.27509299087524414
7,14320,18,0.897,0.3321785101890564
8,14320,18,0.904,0.32787512493133547
9,25450,32,0.895,0.3215833868980408
10,56455,71,0.914,0.2820412497520447
11,10345,13,0.884,0.38428530836105346
12,63610,80,0.91,0.2693158473968506
13,53275,67,0.914,0.269422922372818
14,21475,27,0.901,0.3127697739601135
15,19885,25,0.906,0.3090259671211243
16,10345,13,0.89,0.36877128076553345
17,15115,19,0.894,0.33331267261505126
18,11140,14,0.895,0.36545265960693357
19,15115,19,0.897,0.3226523113250732
20,11935,15,0.893,0.3511969037055969
21,10345,13,0.884,0.3804641137123108
22,8755,11,0.897,0.38112352657318116
23,11935,15,0.896,0.36558774280548095
24,13525,17,0.89,0.3482175848484039
25,11140,14,0.889,0.3729509632587433
26,9550,12,0.888,0.3969551458358765
27,16705,21,0.903,0.33436988639831544
28,9550,12,0.881,0.39938986682891847
29,9550,12,0.896,0.3624910979270935
30,9550,12,0.882,0.38067538499832154
31,10345,13,0.882,0.37449414920806884
32,7960,10,0.878,0.40207725191116334
33,15115,19,0.89,0.34334436178207395
34,14320,18,0.891,0.35165996026992796
35,9550,12,0.877,0.3858716983795166
36,11140,14,0.893,0.3582386212348938
37,7960,10,0.888,0.38960172986984254
38,11140,14,0.886,0.37685235595703126
39,10345,13,0.885,0.3758339796066284
40,14320,18,0.89,0.3519454758167267
41,16705,21,0.885,0.34751291418075564
42,11935,15,0.89,0.3725286145210266
43,11935,15,0.886,0.3772539973258972
44,12730,16,0.894,0.32968610382080077
45,8755,11,0.888,0.38054366397857664
46,15115,19,0.89,0.35057721948623655
47,13525,17,0.891,0.3352533469200134
48,16705,21,0.896,0.3348071942329407
49,12730,16,0.888,0.36618278789520264
50,15115,19,0.891,0.359139883518219
51,12730,16,0.89,0.3601686577796936
52,11935,15,0.89,0.37557351064682004
53,15910,20,0.894,0.3455553779602051
54,11935,15,0.895,0.3479221756458282
55,8755,11,0.885,0.3939298477172852
56,18295,23,0.887,0.34725020837783815
57,13525,17,0.903,0.33588193607330324
58,11935,15,0.9,0.3482889142036438
59,11935,15,0.889,0.3698250813484192
60,19885,25,0.893,0.3337845482826233
61,16705,21,0.912,0.3093388350009918
62,18295,23,0.905,0.31636485290527344
63,23065,29,0.907,0.30930549669265744
64,11935,15,0.882,0.36819660091400147
65,17500,22,0.899,0.3407918071746826
66,17500,22,0.902,0.3315571265220642
67,11935,15,0.899,0.3287222008705139
68,11140,14,0.888,0.35933555364608766
69,9550,12,0.893,0.38769821786880493
70,11140,14,0.884,0.3679301099777222
71,11140,14,0.884,0.373784996509552
72,14320,18,0.897,0.35004683446884155
73,16705,21,0.899,0.3267778639793396
74,19885,25,0.9,0.33030697107315066
75,7960,10,0.884,0.4227485308647156
76,7960,10,0.886,0.3834665279388428
77,9550,12,0.888,0.3915643587112427
78,7960,10,0.877,0.3947987952232361
79,11935,15,0.883,0.35544194269180296
80,11140,14,0.887,0.35723184728622437
81,12730,16,0.9,0.3411525659561157
82,11140,14,0.893,0.3684158902168274
83,7165,9,0.877,0.4009674005508423
84,8755,11,0.883,0.3782597370147705
85,7165,9,0.879,0.41120707321166994
