Experiment 1 ,23_04_2020_22-52-16

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,4
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,13
mating_pool ,13
mutation_rate,0.8

OUTPUT
generation_no,params_no,layers_no,accuracy,loss
0,38170,1,0.901,0.3258738350868225
1,47202,5,0.905,0.2973664778470993
2,35721,5,0.901,0.3104268455505371
3,37816,5,0.909,0.2842163553237915
4,43073,3,0.906,0.27997007632255555
5,48228,4,0.91,0.269822676897049
6,69605,4,0.928,0.23383934319019317
7,73555,4,0.913,0.2854365110397339
8,64275,4,0.912,0.26899244213104245
9,57082,4,0.908,0.3494201464653015
10,64591,2,0.907,0.2848188886642456
11,83172,2,0.917,0.2526462879180908
12,86103,4,0.899,0.3180912551879883
13,64591,3,0.919,0.2447119688987732
14,57228,4,0.913,0.2646476013660431
15,66171,2,0.91,0.2776035270690918
16,70057,4,0.905,0.28439877128601077
17,68897,3,0.922,0.23586254727840422
18,84230,3,0.914,0.24679022800922393
19,96031,2,0.927,0.2251484739780426
20,118452,4,0.913,0.281146532535553
21,119436,2,0.924,0.2195079847574234
22,106044,2,0.926,0.2322142107486725
23,119475,2,0.922,0.22837962794303895
24,120905,3,0.921,0.2385233292579651
25,166699,2,0.923,0.23626155507564545
26,142407,2,0.931,0.20826571905612945
27,139797,2,0.934,0.21744451367855072
28,157710,2,0.93,0.2133361415863037
29,173445,2,0.918,0.24320787060260773
30,140361,2,0.93,0.22828039860725402
31,168263,3,0.937,0.2347634896039963
32,210555,2,0.926,0.2182554829120636
33,261019,3,0.925,0.21351218205690384
34,262863,4,0.924,0.23748329991102218
35,172020,3,0.927,0.20850427079200745
36,221451,3,0.931,0.222101571559906
37,221451,3,0.937,0.20305651009082795
38,216111,3,0.92,0.25542313170433045
39,269295,3,0.929,0.23408498990535737
40,274715,3,0.92,0.2828641129732132
41,276794,3,0.93,0.21400473582744597
42,330335,2,0.936,0.18505888986587524
43,412482,3,0.935,0.2311902849674225
44,517674,3,0.928,0.2438160502910614
45,379130,3,0.938,0.21298681139945985
46,368401,2,0.935,0.1970170183777809
47,518055,2,0.914,0.27871926927566526
48,458397,2,0.926,0.20541125977039337
49,538746,2,0.934,0.2120307856798172
50,559437,2,0.938,0.2007726172208786
51,751827,2,0.931,0.2012279890179634
52,719730,2,0.94,0.20988564455509187
53,635535,2,0.932,0.21427106910943985
54,830535,2,0.935,0.19535652595758438
55,685761,2,0.946,0.1893784672319889
56,995417,2,0.945,0.16670520722866058
57,1081891,2,0.947,0.1867357579469681
58,1047941,2,0.929,0.2062113318145275
59,870596,2,0.93,0.24684582650661469
60,1276867,2,0.926,0.232399997189641
61,1736993,3,0.949,0.17517133682966232
62,1104087,2,0.942,0.217363640666008
