Experiment 2 ,26_04_2020_07-41-11

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,10
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,100
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,5
mating_pool ,5
mutation_rate,0.6

OUTPUT
generation_no,params_no,layers_no,accuracy,loss
0,76999,4,0.936,0.24746747130155564
1,70049,4,0.929,0.21685521161556243
2,75492,4,0.931,0.27944572019577024
3,79647,3,0.94,0.20833751654624938
4,87487,4,0.939,0.23630788818001747
5,90089,3,0.94,0.2162399501800537
6,91895,4,0.944,0.24185623353719712
7,105100,3,0.932,0.23787851098179819
8,93689,3,0.943,0.2078828094601631
9,90308,3,0.931,0.22817967224121094
10,123731,3,0.94,0.22060671086609362
11,145310,3,0.935,0.259962813898921
12,114505,3,0.927,0.2504994256794453
13,123469,3,0.948,0.21408267170190812
14,135773,3,0.925,0.2847575333118439
15,119175,2,0.939,0.21918922477960587
16,150903,2,0.936,0.21997637838125228
17,148879,2,0.944,0.19646921157836914
18,135996,3,0.936,0.22263194438815118
19,140623,2,0.942,0.22962935295701026
20,146061,3,0.93,0.2548210924565792
21,142575,2,0.939,0.20383879765868188
22,147917,3,0.935,0.2669089432954788
23,148535,3,0.942,0.2663322442471981
24,164287,2,0.942,0.2025829489082098
25,197317,2,0.947,0.18220205048471688
26,198527,2,0.942,0.19928417864441872
27,198527,2,0.942,0.211445322021842
28,253209,2,0.939,0.21402191491425038
29,244539,2,0.949,0.18225510385632515
30,249741,2,0.944,0.18934613740444184
31,317991,2,0.944,0.19987847956642507
32,317991,2,0.947,0.20473975192010402
33,317991,2,0.949,0.1915727007165551
34,332039,2,0.949,0.21386514902114867
35,317991,2,0.943,0.20281214357912541
36,317991,2,0.951,0.1825942131280899
37,317991,2,0.949,0.17373801483213902
38,373540,2,0.954,0.18073175382614134
39,366281,2,0.94,0.21462659619748592
40,373540,2,0.946,0.19848581336438656
41,478092,2,0.953,0.18786655427515506
42,478092,2,0.947,0.2077763201519847
43,484560,2,0.951,0.17721563571691512
44,593990,2,0.938,0.19915146639943124
45,593990,2,0.951,0.1765958502665162
46,496090,1,0.944,0.1800939427614212
47,589900,1,0.944,0.18139967092871667
48,591490,1,0.947,0.17618662261962892
49,591490,1,0.946,0.18422439354658127
50,591490,1,0.944,0.1762813118696213
51,591490,1,0.949,0.17153791028261184
52,677350,1,0.951,0.1804322838783264
53,700405,1,0.947,0.17289857354760169
54,619611,2,0.952,0.1643266539424658
55,968021,2,0.949,0.19213832423090935
56,941962,2,0.949,0.17984161970764398
57,941962,2,0.952,0.18856742523610592
58,941962,2,0.95,0.20719456100463868
