Experiment 3 ,25_04_2020_03-02-28

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,10
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,5
mating_pool ,5
mutation_rate,0.4

OUTPUT
generation_no,params_no,layers_no,accuracy,loss
0,16352,3,0.901,0.28977893459796905
1,17807,2,0.913,0.28158560049533843
2,23298,7,0.898,0.3566186767816544
3,22005,3,0.913,0.2655563486814499
4,19718,3,0.912,0.29087397050857544
5,22205,3,0.916,0.258871661067009
6,24585,4,0.917,0.2577868572473526
7,30175,4,0.916,0.31101707339286805
8,30492,3,0.916,0.31043484354019163
9,30175,4,0.926,0.25574521100521086
10,30175,4,0.918,0.29658677315711973
11,35398,4,0.927,0.2785585855841637
12,51241,4,0.936,0.199057125300169
13,63602,4,0.927,0.2677062512040138
14,60848,3,0.93,0.24665582078695297
15,71987,3,0.922,0.29049116490781307
16,61415,3,0.941,0.209221575319767
17,65491,4,0.915,0.32774561214447023
18,64518,4,0.934,0.22867776608467102
19,61908,3,0.933,0.2556765399575233
20,70522,4,0.931,0.28412210184335707
21,79489,3,0.937,0.22015076863765717
22,82490,4,0.928,0.27632120555639267
23,79489,3,0.923,0.2582247521877289
24,85067,3,0.935,0.23464390110969544
25,101283,3,0.94,0.20635593914985656
26,81043,3,0.928,0.2519701450765133
27,99582,3,0.942,0.21644376641511917
28,78793,3,0.94,0.215220474883914
29,78793,3,0.926,0.2603698027729988
30,98168,3,0.928,0.2540073888897896
31,92043,3,0.933,0.24103311610221861
32,98471,3,0.924,0.2502042600810528
33,104936,3,0.95,0.21364912413060666
34,104936,3,0.936,0.22076969400048255
35,104936,3,0.937,0.22155359274148942
36,96362,3,0.937,0.21853450363874435
37,98873,3,0.936,0.20187187933921813
38,115961,3,0.941,0.20851329980790614
39,98873,3,0.933,0.2281801692545414
40,98873,3,0.936,0.24566960918903352
41,95161,3,0.941,0.21934392812848091
42,94072,2,0.934,0.2299761482477188
43,117081,2,0.93,0.22046326065063476
44,105888,2,0.935,0.20317497625946998
45,94072,2,0.931,0.2501568168401718
46,94072,2,0.932,0.24322323453426362
47,113919,2,0.935,0.21511481893062592
48,113919,2,0.929,0.2241348519921303
49,135830,2,0.93,0.2447061201930046
50,135830,2,0.937,0.21928732377290724
51,147895,2,0.939,0.23114931154251098
52,135830,2,0.937,0.20712402790784837
53,135830,2,0.939,0.1913931265771389
54,170430,2,0.941,0.20340938571095465
55,138836,2,0.937,0.25680729615688325
56,138836,2,0.941,0.1869263468980789
57,177594,2,0.94,0.23126112547516822
58,177594,2,0.945,0.18559279134869575
59,195355,2,0.942,0.18032106190919875
60,200760,2,0.942,0.2009219219982624
61,237015,2,0.947,0.19069557884335517
62,204815,2,0.949,0.1846201901137829
63,216761,2,0.947,0.1969450139403343
64,204815,2,0.946,0.2085653918981552
65,216761,2,0.955,0.18138142886757852
66,180711,2,0.948,0.18599355382472277
67,246399,2,0.953,0.18378272965550424
68,246399,2,0.952,0.17821821349859238
69,224181,2,0.951,0.18652286714315414
70,229001,2,0.942,0.19022347322106362
71,254547,2,0.953,0.1797209272682667
72,260331,2,0.952,0.18568918642401694
73,272463,2,0.942,0.2155510001927614
74,341405,2,0.954,0.17887488800287246
75,275343,2,0.944,0.19022006423771382
76,275343,2,0.946,0.19672388606518507
77,275343,2,0.956,0.17980754867196083
78,275343,2,0.947,0.20879382549971343
79,275343,2,0.944,0.1969804616421461
80,275343,2,0.949,0.19415682938694953
81,275343,2,0.954,0.18415537360310555
82,275343,2,0.949,0.17423336067423226
83,322335,2,0.944,0.21115647535026075
84,275055,2,0.951,0.18857699752226473
85,275055,2,0.95,0.1978607888519764
86,251965,2,0.951,0.1857487203478813
87,305525,2,0.952,0.18887928619980812
88,328185,2,0.949,0.19667278119176626
89,305525,2,0.943,0.22004478085413576
90,305525,2,0.95,0.1934607897400856
91,305525,2,0.953,0.18459868943691254
92,305525,2,0.952,0.17930563703179359
93,305525,2,0.947,0.19226055344939233
94,298962,2,0.945,0.20492834249138833
95,287569,2,0.952,0.19217532300949097
96,287569,2,0.943,0.2111883896291256
97,287569,2,0.946,0.2107650890275836
98,287569,2,0.945,0.20624292562901975
99,287569,2,0.923,0.29485120228677986
100,299460,2,0.951,0.1902152032777667
