Experiment 1 ,24_04_2020_01-52-17

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,10
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,5
mating_pool ,5
mutation_rate,0.8

OUTPUT
generation_no,params_no,neurons_no,accuracy,loss
0,34195,43,0.909,0.2842925527095795
1,43735,55,0.921,0.25004313242435455
2,38170,48,0.92,0.25727023124694826
3,38965,49,0.915,0.27022806227207186
4,46120,58,0.919,0.23620571851730346
5,49300,62,0.921,0.2484478007555008
6,62020,78,0.925,0.22821543169021608
7,71560,90,0.926,0.2350164408683777
8,77125,97,0.929,0.21424762535095215
9,73150,92,0.923,0.22717959201335908
10,92230,116,0.93,0.21213922548294067
11,112105,141,0.934,0.21768878519535065
12,131185,165,0.938,0.20396450066566468
13,157420,198,0.939,0.20986197924613953
14,200350,252,0.942,0.19898281687498093
15,254410,320,0.943,0.18880742491781713
16,288595,363,0.935,0.20652422004938126
17,362530,456,0.95,0.17313636130094529
18,455545,573,0.947,0.18272732812166215
19,511195,643,0.944,0.18027625721693039
20,603415,759,0.944,0.18260488054156304
21,622495,783,0.943,0.17293580251932145
22,664630,836,0.953,0.17475218802690506
23,818065,1029,0.948,0.17240282168984414
24,1007275,1267,0.95,0.17677136334776877
25,1330045,1673,0.952,0.17510614404082298
26,1463605,1841,0.951,0.16352277624607087
27,1531180,1926,0.95,0.17423828011006118
28,1939015,2439,0.948,0.1827259477302432
29,2209315,2779,0.95,0.17500065288692712
30,1729135,2175,0.948,0.16916705887019634
31,1648045,2073,0.951,0.16926855581253766
32,1927885,2425,0.952,0.17103126633912324
33,1927885,2425,0.95,0.16996948681771756
34,2429530,3056,0.953,0.16860475520044566
35,2623510,3300,0.953,0.17136896588653325
36,3173650,3992,0.952,0.1959762413725257
37,2871550,3612,0.949,0.17440696018934249
38,3919360,4930,0.952,0.17320722968876362
39,3851785,4845,0.952,0.17165591952204703
40,3851785,4845,0.955,0.17988721274957062
41,3202270,4028,0.952,0.1671679175198078
42,3358885,4225,0.954,0.17520899968594314
43,3509935,4415,0.953,0.1852552706450224
44,3092560,3890,0.954,0.17581471131742002
45,3406585,4285,0.956,0.17744731210917233
46,3406585,4285,0.952,0.1584285175949335
47,3773875,4747,0.954,0.16684763175994158
48,4591930,5776,0.95,0.17463155767694116
49,5401240,6794,0.959,0.17420452935248612
50,4693690,5904,0.94,0.24056873009353877
51,5832925,7337,0.952,0.18580747884511947
52,5295505,6661,0.955,0.1862624766230583
53,5295505,6661,0.942,0.19657696958258747
54,5295505,6661,0.948,0.195811275344342
55,4878130,6136,0.956,0.16928722079098224
56,4433725,5577,0.955,0.1717373226583004
57,4195225,5277,0.952,0.1735684345215559
58,4565695,5743,0.955,0.16847286810725928
59,4588750,5772,0.953,0.1741202338207513
60,4533100,5702,0.954,0.17185528089106084
61,4207150,5292,0.95,0.17292473683506251
62,4051330,5096,0.955,0.1692216958105564
63,3262690,4104,0.956,0.1702058181911707
64,4249285,5345,0.955,0.1745613074749708
65,5187385,6525,0.952,0.17488351538404823
66,5187385,6525,0.954,0.1822335639987141
67,5042695,6343,0.953,0.19103262626752257
68,4295395,5403,0.955,0.1691603720523417
69,4238950,5332,0.953,0.16285389081761242
70,4099030,5156,0.955,0.16836031163483858
71,3870070,4868,0.947,0.1832865311950445
72,3708685,4665,0.954,0.17894839030504225
73,4799425,6037,0.955,0.18223474272713064
74,4041790,5084,0.958,0.17262504893913866
75,5254165,6609,0.955,0.17261822870746255
76,4243720,5338,0.952,0.19046305245906114
77,3655420,4598,0.958,0.1742178075015545
78,3896305,4901,0.955,0.1638206163160503
79,3896305,4901,0.955,0.16747491119802
80,3516295,4423,0.955,0.16475539430975913
81,4485400,5642,0.956,0.18166690504550934
82,5072905,6381,0.953,0.17353338048607111
