Experiment 2 ,24_04_2020_02-52-17

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,10
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,5
mating_pool ,5
mutation_rate,0.8

OUTPUT
generation_no,params_no,neurons_no,accuracy,loss
0,36580,46,0.915,0.2664937434196472
1,34990,44,0.905,0.27337466478347777
2,43735,55,0.914,0.26419323301315306
3,43735,55,0.918,0.2559375696182251
4,54070,68,0.927,0.22189876580238344
5,54070,68,0.919,0.2521869604587555
6,54070,68,0.923,0.23365209019184113
7,62815,79,0.927,0.22558093869686127
8,61225,77,0.924,0.23151470398902893
9,69970,88,0.927,0.21669222331047058
10,75535,95,0.93,0.2226437382698059
11,81895,103,0.929,0.2195999139547348
12,92230,116,0.925,0.22433433401584627
13,107335,135,0.927,0.21753899651765823
14,126415,159,0.938,0.20245383179187776
15,147085,185,0.933,0.2153073865175247
16,169345,213,0.929,0.2168155170083046
17,187630,236,0.939,0.1844882417321205
18,197965,249,0.939,0.20147622287273406
19,226585,285,0.937,0.19309982812404633
20,225790,284,0.943,0.1878482857942581
21,210685,265,0.937,0.19494443100690842
22,238510,300,0.94,0.18862211161851883
23,226585,285,0.943,0.19991327738761902
24,287800,362,0.943,0.19359379053115844
25,320395,403,0.94,0.17630075708031653
26,407845,513,0.945,0.17445056122541427
27,407845,513,0.949,0.17987544840574266
28,410230,516,0.946,0.17592778259515762
29,504835,635,0.944,0.17873308843374253
30,574000,722,0.947,0.1874420631825924
31,612160,770,0.947,0.1867192377895117
32,603415,759,0.954,0.18090820509195327
33,620110,780,0.947,0.1776369550973177
34,797395,1003,0.951,0.17127717664837838
35,1033510,1300,0.95,0.16663978454470635
36,999325,1257,0.948,0.17708530919253826
37,1194100,1502,0.95,0.16828817345201968
38,1198870,1508,0.949,0.17546683716773986
39,1359460,1710,0.947,0.18365793247520923
40,1529590,1924,0.947,0.17559187978506088
41,1780810,2240,0.953,0.1695643557459116
42,1648840,2074,0.946,0.17435863760113715
43,1750600,2202,0.951,0.17026717065274716
44,1881775,2367,0.951,0.1641890621557832
45,2221240,2794,0.957,0.17803739591687917
46,2875525,3617,0.952,0.1701409063488245
47,2497900,3142,0.95,0.17686094849556686
48,2982055,3751,0.951,0.17115230167657136
49,2982055,3751,0.95,0.16916021064668893
50,3777055,4751,0.955,0.16271497404575347
51,2137765,2689,0.953,0.17054861292243004
52,2031235,2555,0.946,0.18163775601238014
53,1754575,2207,0.953,0.16939104419201612
54,1754575,2207,0.949,0.16776328079402447
55,1814200,2282,0.952,0.17480961041152476
56,2212495,2783,0.954,0.1716845968812704
57,2212495,2783,0.949,0.17658140634000302
58,1922320,2418,0.95,0.17424147665500642
59,2170360,2730,0.951,0.17841650680452587
60,2057470,2588,0.949,0.16892810775339603
61,2619535,3295,0.954,0.18406781673058867
62,2400115,3019,0.954,0.1722012355402112
63,2073370,2608,0.949,0.1729371338635683
64,1885750,2372,0.949,0.16892697469890117
65,2380240,2994,0.949,0.18017206960916518
66,2352415,2959,0.951,0.1699149466007948
67,2118685,2665,0.955,0.16850535243749618
68,2237140,2814,0.95,0.17454116585850715
69,2518570,3168,0.952,0.1829434706121683
70,2374675,2987,0.95,0.1741873562708497
71,2094040,2634,0.949,0.18968510599434377
72,2734015,3439,0.951,0.16395284385234118
73,3416920,4298,0.955,0.17409587180987002
74,3343780,4206,0.951,0.19151881383359431
75,3161725,3977,0.954,0.1715929759070277
76,3509935,4415,0.953,0.1757420104816556
77,4044970,5088,0.951,0.173815040782094
78,3129925,3937,0.955,0.16481392900645733
79,3491650,4392,0.952,0.1805999490469694
80,2897785,3645,0.953,0.17574952325224877
81,3061555,3851,0.95,0.1863906657844782
82,3460645,4353,0.955,0.17476120399683714
83,2955025,3717,0.955,0.1732701987326145
84,2815105,3541,0.958,0.1645352745577693
85,2863600,3602,0.953,0.17579853823781014
86,2968540,3734,0.95,0.17518426410853863
87,2739580,3446,0.951,0.18917418883740902
88,3311185,4165,0.95,0.1773415773138404
89,3333445,4193,0.953,0.1720163929015398
90,4214305,5301,0.956,0.1727114924751222
91,4029865,5069,0.951,0.19090015330910684
92,5209645,6553,0.955,0.17280204378813505
93,4372510,5500,0.958,0.16058561858907341
94,4877335,6135,0.953,0.18007438402995468
95,4877335,6135,0.95,0.18511475624144078
96,4545025,5717,0.951,0.23797593660652638
97,3909820,4918,0.953,0.17170175218954684
98,3403405,4281,0.954,0.177844878885895
99,3846220,4838,0.951,0.17915076402202249
100,3387505,4261,0.95,0.17139472255855798
101,4172965,5249,0.957,0.1722882959395647
102,4035430,5076,0.956,0.16199758484959603
103,4035430,5076,0.959,0.15782844027876855
104,5115040,6434,0.956,0.15147554155811668
105,4072000,5122,0.953,0.16997355233877898
106,4795450,6032,0.956,0.16178213950246573
107,3695170,4648,0.956,0.16552355282381176
108,3354115,4219,0.948,0.1675315796881914
109,4126855,5191,0.959,0.16838566947355865
110,3794545,4773,0.919,0.35318651020526887
111,4227025,5317,0.953,0.19697620403021573
112,5297095,6663,0.951,0.19088704652898014
113,5297095,6663,0.941,0.23413263975083828
114,5086420,6398,0.955,0.1685583870410919
115,4994200,6282,0.957,0.16670355431735515
116,3994885,5025,0.959,0.15897983743995428
117,3994885,5025,0.956,0.16859633380919695
118,4862230,6116,0.957,0.16677958981692792
119,3812035,4795,0.955,0.15873167046904563
120,4113340,5174,0.952,0.17469465561956168
121,3714250,4672,0.953,0.1653605597242713
122,4146730,5216,0.957,0.1710416618771851
123,4652350,5852,0.955,0.18405770052596926
124,5340820,6718,0.952,0.18580471991747619
125,5363080,6746,0.959,0.1634053027369082
126,7690840,9674,0.955,0.18145798837393523
127,7178860,9030,0.948,0.1793513033390045
128,8847565,11129,0.948,0.26122237323224545
129,9084475,11427,0.942,0.26641166749969125
130,10203835,12835,0.944,0.26904562781751157
131,8511280,10706,0.943,0.2642628909945488
132,10198270,12828,0.949,0.24929544803500175
133,10722175,13487,0.955,0.19451252106949687
134,10722175,13487,0.94,0.305614646312315
135,8434165,10609,0.948,0.2891390441134572
136,6839395,8603,0.961,0.16656731909513472
137,6053140,7614,0.952,0.1808259816300124
138,5598400,7042,0.953,0.1647848423793912
139,5817820,7318,0.949,0.21570272512733937
140,6184315,7779,0.957,0.1831625240277499
141,7069945,8893,0.947,0.21490527865290643
142,9703780,12206,0.955,0.17480162022262813
143,10192705,12821,0.959,0.17463025551103056
144,11797015,14839,0.955,0.20310710669867693
145,12516490,15744,0.944,0.2702661455869675
146,12516490,15744,0.947,0.2572335732504725
147,12516490,15744,0.951,0.21036677708569915
148,10870045,13673,0.937,0.29947329642623666
149,10870045,13673,0.943,0.25288576310873034
