Experiment 1 ,20_04_2020_04-21-51

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.8

OUTPUT
generation_no,params_no,layers_no,accuracy,loss
0,31015,1,0.904,0.3088109447956085
1,39760,1,0.906,0.28626200222969056
2,40846,2,0.918,0.2687464442253113
3,46523,2,0.906,0.277921555519104
4,46659,2,0.909,0.2771279003620148
5,37295,2,0.92,0.2632154989242554
6,38307,3,0.913,0.25868781995773316
7,36431,3,0.913,0.2621758100986481
8,37575,2,0.907,0.28450307273864744
9,36521,3,0.9,0.28198682713508605
10,36953,3,0.896,0.32379201078414915
11,36953,3,0.921,0.2505146851539612
12,36953,3,0.897,0.29434462904930114
13,36953,3,0.914,0.26356584882736206
14,45521,3,0.913,0.2612990403175354
15,42525,2,0.919,0.2565824842453003
16,54531,2,0.918,0.24135129690170287
17,37239,2,0.917,0.2578835620880127
18,53859,5,0.91,0.2756701304912567
19,41291,3,0.909,0.286841539144516
20,41291,3,0.922,0.24966059482097624
21,47024,3,0.909,0.279345579624176
22,47024,3,0.908,0.2834626500606537
23,48970,4,0.92,0.25589032340049744
24,42238,4,0.898,0.31525700056552886
25,41840,3,0.911,0.29026195394992826
26,40695,2,0.91,0.28500702452659604
27,34941,2,0.92,0.25817634248733523
28,40815,2,0.912,0.267551707983017
29,41168,3,0.913,0.2575544645786285
30,41873,3,0.92,0.26273233389854433
31,41873,3,0.908,0.27241634237766266
32,42014,3,0.917,0.2509289212226868
33,51866,3,0.928,0.23457277750968933
34,44233,4,0.91,0.2858003580570221
35,45550,5,0.891,0.35892783999443056
36,43933,4,0.911,0.2548811643123627
37,45813,5,0.917,0.2417372990846634
38,43198,4,0.914,0.2626700346469879
39,48299,6,0.888,0.3733955932110548
40,46033,5,0.912,0.2562674431800842
41,51468,3,0.905,0.2855150065422058
42,54401,4,0.92,0.24321709322929383
43,54401,4,0.893,0.33187721788883207
44,58943,4,0.915,0.27569172883033755
45,55915,5,0.893,0.30513752913475034
46,66653,5,0.909,0.310195410490036
47,59257,4,0.92,0.22466696655750273
48,59313,4,0.926,0.2533384269475937
49,60800,5,0.916,0.27132905650138855
50,50376,2,0.914,0.257530829668045
51,51455,3,0.925,0.24975273883342744
52,49595,2,0.91,0.2889702080488205
53,46985,6,0.892,0.33653946590423583
54,42203,3,0.896,0.3129263758659363
55,50509,3,0.917,0.2658155994415283
56,52116,5,0.912,0.26946400690078737
57,43501,4,0.912,0.28229924619197844
58,42949,3,0.903,0.28841383719444275
59,43691,3,0.917,0.2589267838001251
60,56689,4,0.912,0.3067428345680237
61,54594,5,0.922,0.24333590483665465
62,53249,4,0.907,0.30949110543727876
63,55062,5,0.907,0.3103059220314026
64,51015,2,0.913,0.263341276884079
65,51441,2,0.923,0.24084865939617156
66,53135,3,0.926,0.21967105507850648
67,54750,4,0.925,0.24815723764896394
68,53038,4,0.908,0.2780017037391663
69,57044,5,0.917,0.2796124358177185
70,53947,4,0.917,0.24285514354705812
71,56052,5,0.887,0.3738628120422363
72,68675,5,0.915,0.2825382572412491
73,68675,5,0.927,0.2332301299571991
74,67411,4,0.922,0.2542120096683502
75,68469,5,0.929,0.27554328441619874
76,67527,4,0.921,0.25112046527862547
77,68381,3,0.918,0.2433423460125923
78,69207,3,0.914,0.28262214875221253
79,81275,3,0.937,0.19565371242165566
80,83123,3,0.926,0.2165837516784668
81,84471,2,0.926,0.23337122297286989
82,74741,4,0.917,0.25468856960535047
83,75021,4,0.926,0.22822217381000517
84,72863,3,0.923,0.2401106834411621
85,72991,4,0.929,0.2311117445230484
86,69735,3,0.927,0.2295282233953476
87,69735,3,0.928,0.23833024084568025
88,72491,4,0.934,0.22200356888771058
89,70541,4,0.932,0.2092498209476471
90,65687,3,0.919,0.2558085036277771
91,62287,3,0.924,0.22578373551368713
92,74197,3,0.925,0.24117419338226317
93,74197,3,0.929,0.23269618487358093
94,74197,3,0.928,0.2285083508491516
95,75931,4,0.915,0.2465795578956604
96,75446,3,0.921,0.2392389417886734
97,78301,3,0.925,0.2404967405796051
98,67873,3,0.924,0.23623813140392302
99,78522,4,0.91,0.2813133850097656
100,68728,3,0.917,0.2675021616816521
101,67968,3,0.92,0.2525101945400238
102,78184,4,0.929,0.21327630972862244
103,90984,5,0.924,0.2689204640388489
104,78730,4,0.92,0.2431270112991333
105,77705,3,0.925,0.2419365954399109
106,82915,4,0.916,0.2759964361190796
107,81890,3,0.928,0.2230495011806488
108,81890,3,0.916,0.24918725287914276
109,81020,3,0.923,0.2519377790689468
110,93485,3,0.914,0.25505605459213254
111,81851,3,0.909,0.27493933779001234
112,82646,3,0.923,0.24654469072818755
113,88171,4,0.909,0.285496755361557
114,82898,3,0.934,0.21057232731580736
115,82583,3,0.92,0.24552102065086365
116,82898,3,0.914,0.26555409240722655
117,82898,3,0.911,0.2333553674221039
118,85437,4,0.926,0.2334958097934723
119,83008,4,0.925,0.24974948501586913
120,82898,3,0.928,0.21297783637046813
121,85241,4,0.922,0.2734741063117981
122,84275,4,0.916,0.2518389344215393
123,82898,3,0.926,0.22104139888286592
124,85087,4,0.935,0.22682131361961363
125,108192,5,0.932,0.2372447384595871
126,86713,4,0.923,0.2516201596260071
127,83770,3,0.915,0.2623774137496948
128,91291,4,0.927,0.22977192091941834
129,75530,3,0.936,0.21119392240047455
130,98755,2,0.923,0.22059925681352616
131,99665,2,0.925,0.22055100893974305
132,99665,2,0.93,0.22815840339660645
133,99405,2,0.929,0.2087344958782196
134,112565,3,0.932,0.23109447306394576
135,112683,3,0.911,0.2647475991249085
136,99563,3,0.914,0.27508604717254637
137,87364,4,0.918,0.25186422491073607
138,99563,3,0.917,0.2453412172794342
139,99563,3,0.922,0.25312552344799044
140,100195,3,0.932,0.22043928647041322
141,126080,3,0.93,0.20920913338661193
142,125775,3,0.931,0.2088814244866371
143,125844,4,0.933,0.21654120141267777
