Experiment 1 ,21_04_2020_01-54-14

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.8

OUTPUT
generation_no,params_no,layers_no,accuracy,loss
0,38965,1,0.918,0.28951349568367
1,41835,2,0.92,0.25979817724227905
2,41835,2,0.912,0.2609683938026428
3,46040,2,0.917,0.2602398422956467
4,54645,2,0.926,0.22569165205955505
5,60587,3,0.916,0.2608496395349503
6,60587,3,0.926,0.23694775462150575
7,64445,3,0.921,0.24086932039260864
8,60020,3,0.913,0.2507812478542328
9,60020,3,0.924,0.22466674423217772
10,76094,3,0.914,0.25909274899959567
11,59511,3,0.906,0.2784490265846252
12,94877,3,0.921,0.23542225873470307
13,94877,3,0.917,0.26084509897232055
14,91643,3,0.928,0.22080027711391448
15,104804,3,0.923,0.24475959968566893
16,107955,3,0.924,0.22858827829360961
17,111893,4,0.93,0.23579180186986923
18,106707,4,0.922,0.23703988802433013
19,113297,4,0.927,0.2122324230670929
20,111195,3,0.925,0.2349777992963791
21,142147,5,0.934,0.20984097489714623
22,141071,3,0.927,0.25479472714662554
23,134097,3,0.933,0.20694872292876243
24,172618,6,0.919,0.25928756773471834
25,115378,4,0.928,0.23918292486667633
26,119964,4,0.937,0.21765977239608764
27,198753,5,0.926,0.23897079014778136
28,211593,4,0.914,0.2717362811565399
29,249126,5,0.944,0.17831855866312982
30,116666,3,0.919,0.22709267544746398
31,205663,5,0.93,0.22780540564656257
32,233571,5,0.925,0.25188842713832854
33,228115,4,0.945,0.2164271245598793
34,214309,4,0.937,0.20527331507205962
35,257561,4,0.94,0.18381568625569344
36,207955,4,0.914,0.2632836968898773
37,265971,4,0.935,0.21796014547348022
38,276591,3,0.939,0.20107389998435973
39,255088,2,0.931,0.24502419781684875
40,255088,2,0.917,0.20271059960126878
41,255088,2,0.936,0.20621147114038468
42,237621,3,0.933,0.2229587450027466
43,257447,3,0.941,0.1957089787721634
44,208257,4,0.906,0.2875988135933876
45,235796,5,0.937,0.20615646496415138
46,223221,4,0.924,0.2513191875219345
47,164952,4,0.935,0.21347334331274032
48,190875,2,0.933,0.20182905250787736
49,226273,4,0.926,0.2289533184468746
