Experiment 2 ,12_05_2020_08-33-13

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,10
max_runtime,3600
dataset_percentage,0.1
dataset,fashion_mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,100
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,5
mating_pool ,5
mutation_rate,0.6

OUTPUT
generation_no,params_no,layers_no,accuracy,loss
0,86767,7,0.815,0.5097290096282959
1,77307,4,0.82,0.5389508628845214
2,79498,4,0.855,0.4479928889274597
3,42531,5,0.843,0.4574884669780731
4,37904,4,0.825,0.552061710357666
5,37904,4,0.852,0.444174613237381
6,47018,4,0.839,0.5459676337242126
7,83236,6,0.861,0.44141739439964295
8,38031,4,0.855,0.4405938231945038
9,43306,6,0.852,0.5081922197341919
10,35984,4,0.84,0.48470430946350096
11,35595,3,0.835,0.5127875847816468
12,42857,3,0.84,0.4913880534172058
13,38109,3,0.848,0.46681136918067934
14,36949,3,0.822,0.47745242834091184
15,34814,3,0.852,0.47096733856201173
16,40281,3,0.833,0.5092687010765076
17,36021,3,0.85,0.4782068486213684
18,46789,4,0.85,0.4877312443256378
19,44999,4,0.844,0.4747720046043396
20,50824,4,0.841,0.46063673424720764
21,57495,3,0.858,0.4488156473636627
22,43059,2,0.856,0.4417867512702942
23,52854,2,0.837,0.4628105421066284
24,42162,2,0.85,0.4286947193145752
25,61154,3,0.849,0.43011278176307677
26,93399,2,0.855,0.45019401121139524
27,119813,3,0.816,0.5766195697784424
28,66068,3,0.859,0.4607132788896561
29,112551,2,0.824,0.518185742855072
30,109287,2,0.857,0.43993482732772826
31,110103,2,0.841,0.4610148754119873
32,132287,3,0.842,0.47298118472099304
33,132287,3,0.844,0.46266205358505247
34,123007,2,0.86,0.4374698085784912
35,125605,2,0.861,0.45353873014450075
36,124406,2,0.831,0.487253128528595
37,150127,2,0.859,0.4295215389728546
38,166795,2,0.851,0.4990265345573425
39,128811,2,0.827,0.47354869890213014
40,133674,2,0.852,0.4635039324760437
41,128811,2,0.852,0.441936589717865
