Experiment 2 ,12_05_2020_02-33-10

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,3600
dataset_percentage,0.1
dataset,fashion_mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.8

OUTPUT
generation_no,params_no,neurons_no,accuracy,loss
0,35785,45,0.817,0.5043067183494568
1,27835,35,0.83,0.5017455401420593
2,34195,43,0.845,0.4632567911148071
3,40555,51,0.833,0.49812911796569825
4,40555,51,0.833,0.48234016036987304
5,15910,20,0.831,0.4919110269546509
6,23860,30,0.834,0.5030967178344726
7,14320,18,0.828,0.5070807154178619
8,25450,32,0.84,0.47851180720329284
9,31015,39,0.819,0.5094172019958496
10,34195,43,0.837,0.46891094517707826
11,37375,47,0.828,0.506022527217865
12,47710,60,0.806,0.5341000370979309
13,21475,27,0.819,0.5120941333770752
14,28630,36,0.84,0.4729124116897583
15,28630,36,0.838,0.487921980381012
16,27040,34,0.806,0.5669831552505493
17,28630,36,0.845,0.48620324754714966
18,25450,32,0.822,0.49436708736419677
19,27835,35,0.826,0.5001323294639587
20,31015,39,0.819,0.51271839427948
21,23860,30,0.824,0.5035581912994385
22,36580,46,0.835,0.4749392120838165
23,36580,46,0.834,0.48042143297195433
24,50095,63,0.831,0.47895380353927614
25,38965,49,0.849,0.4517638568878174
26,33400,42,0.826,0.4781381645202637
27,58045,73,0.829,0.47112994313240053
28,69175,87,0.844,0.46355159187316897
29,34195,43,0.838,0.4695822842121124
30,34195,43,0.845,0.46837067580223085
31,53275,67,0.838,0.440229024887085
32,62020,78,0.84,0.4802089686393738
33,77125,97,0.842,0.4825164747238159
34,69175,87,0.843,0.4597430024147034
35,81895,103,0.819,0.5293556442260742
36,89050,112,0.82,0.5230544939041137
37,89845,113,0.835,0.48610127735137937
38,71560,90,0.841,0.4417907786369324
39,119260,150,0.839,0.4562934150695801
40,61225,77,0.827,0.46966609644889834
41,61225,77,0.833,0.4743172178268433
42,47710,60,0.83,0.493415177822113
43,84280,106,0.835,0.4555276017189026
44,85075,107,0.836,0.473742858171463
45,70765,89,0.818,0.5000955510139465
46,66790,84,0.84,0.46416051626205446
47,75535,95,0.83,0.48141987705230715
48,89050,112,0.795,0.5824866924285889
49,50890,64,0.835,0.4892141966819763
50,89050,112,0.845,0.4589818720817566
51,113695,143,0.824,0.48705854773521423
52,57250,72,0.847,0.45832888174057007
53,113695,143,0.847,0.45428138542175295
54,113695,143,0.854,0.43936541509628296
55,178885,225,0.842,0.4806945176124573
56,182860,230,0.858,0.44606910848617554
57,217840,274,0.843,0.4456427991390228
58,194785,245,0.836,0.45984113073349
59,158215,199,0.846,0.443381290435791
60,193195,243,0.814,0.5125023255348206
61,193195,243,0.846,0.4346170001029968
62,343450,432,0.85,0.4463961572647095
63,341065,429,0.852,0.4460319254398346
64,290185,365,0.85,0.43265726113319397
65,713125,897,0.831,0.5158961696624755
66,347425,437,0.829,0.4588860363960266
67,1011250,1272,0.841,0.4569821739196777
68,480190,604,0.823,0.5159565877914428
69,470650,592,0.85,0.44430175638198854
70,620905,781,0.816,0.5149249091148377
71,612160,770,0.862,0.42938096284866334
72,422155,531,0.829,0.49401733303070067
73,818860,1030,0.809,0.5471414489746094
74,428515,539,0.842,0.452313841342926
75,504835,635,0.853,0.43981554889678953
76,846685,1065,0.84,0.4903190937042236
77,646345,813,0.84,0.4444631583690643
78,566050,712,0.859,0.40947996735572817
79,492910,620,0.831,0.48649326896667483
80,356170,448,0.834,0.4829194827079773
81,1287910,1620,0.842,0.45476844358444213
82,369685,465,0.85,0.45220517683029177
83,360145,453,0.813,0.5388222289085388
84,441235,555,0.839,0.46068949365615847
85,297340,374,0.817,0.5167587571144104
86,298930,376,0.843,0.4744558041095734
87,479395,603,0.824,0.48083334159851077
88,479395,603,0.834,0.48368335771560667
89,597055,751,0.849,0.4206325118541718
90,527890,664,0.844,0.4606912372112274
91,400690,504,0.838,0.46446893334388734
92,508015,639,0.85,0.4468462142944336
93,667015,839,0.855,0.441113130569458
94,657475,827,0.838,0.48600585985183714
95,613750,772,0.852,0.4395706462860107
96,727435,915,0.813,0.5291634202003479
97,992170,1248,0.86,0.4249352810382843
98,946060,1190,0.836,0.4566551971435547
99,442030,556,0.842,0.4780923442840576
100,1350715,1699,0.861,0.4346805629730225
101,550150,692,0.847,0.46358877611160276
102,1082005,1361,0.84,0.45325291204452517
103,861790,1084,0.853,0.43639915227890014
104,1510510,1900,0.834,0.4859966449737549
105,429310,540,0.861,0.4284665653705597
106,992170,1248,0.849,0.4328395411968231
107,934930,1176,0.789,0.6166428871154785
108,1121755,1411,0.84,0.44502495193481445
109,1898470,2388,0.811,0.5123650121688843
110,1517665,1909,0.85,0.48219468927383424
111,1108240,1394,0.846,0.4390610647201538
112,1417495,1783,0.838,0.471145117521286
113,1362640,1714,0.835,0.4848277916908264
114,1060540,1334,0.846,0.45609828662872315
115,1617040,2034,0.825,0.5270440154075623
116,3160135,3975,0.845,0.43858852529525755
117,1082800,1362,0.844,0.4411560776233673
118,2912890,3664,0.812,0.547098132610321
119,1840435,2315,0.844,0.4594479554891586
120,2675185,3365,0.845,0.44761415672302246
121,2710165,3409,0.843,0.45895942926406863
122,4137190,5204,0.833,0.4828630061149597
123,3371605,4241,0.835,0.4957523057460785
124,3371605,4241,0.841,0.4404599097967148
125,1524820,1918,0.829,0.49103191947937014
126,3475750,4372,0.823,0.5440618815422058
127,1548670,1948,0.832,0.49446865677833557
128,2274505,2861,0.856,0.4132747344970703
129,1646455,2071,0.825,0.5015371513366699
130,1489045,1873,0.819,0.49560149335861203
131,1807840,2274,0.842,0.44080025267601014
132,1710055,2151,0.848,0.4608529849052429
133,1405570,1768,0.85,0.4396075503826141
134,2400910,3020,0.829,0.507837007522583
135,1803070,2268,0.849,0.44756301617622374
136,2579785,3245,0.818,0.5386310963630676
137,3490855,4391,0.84,0.4765066661834717
138,2218855,2791,0.842,0.46458074951171874
139,2389780,3006,0.84,0.49065254831314087
140,2212495,2783,0.801,0.5729904861450196
141,2064625,2597,0.835,0.480751633644104
142,2235550,2812,0.833,0.4893894648551941
143,2294380,2886,0.8,0.596100323677063
144,2677570,3368,0.837,0.47184229755401613
145,2246680,2826,0.837,0.462715696811676
146,2908120,3658,0.834,0.4750968565940857
147,3568765,4489,0.852,0.44360618448257444
148,2241115,2819,0.839,0.4700141987800598
149,2676775,3367,0.837,0.4656780028343201
150,1910395,2403,0.839,0.4650475857257843
151,2637820,3318,0.812,0.5525010938644409
152,2710960,3410,0.825,0.4948814468383789
153,3116410,3920,0.857,0.42396556329727175
154,3344575,4207,0.828,0.4731404390335083
155,2637025,3317,0.829,0.4899550700187683
156,3235660,4070,0.839,0.4673136630058289
157,1661560,2090,0.831,0.4681358094215393
158,3325495,4183,0.848,0.43754318881034854
159,5262910,6620,0.846,0.47717108964920046
160,1290295,1623,0.843,0.46490441513061526
161,977860,1230,0.828,0.4769542782306671
162,3902665,4909,0.832,0.49916034150123595
163,2645770,3328,0.832,0.4394456548690796
164,1902445,2393,0.847,0.45866700673103333
