Experiment 1 ,12_05_2020_04-33-12

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,3600
dataset_percentage,0.1
dataset,fashion_mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.8

OUTPUT
generation_no,params_no,neurons_no,accuracy,loss
0,30220,38,0.822,0.48820503377914426
1,35785,45,0.832,0.4755385856628418
2,44530,56,0.826,0.4938076105117798
3,43735,55,0.839,0.4730844473838806
4,47710,60,0.815,0.5140416598320008
5,51685,65,0.822,0.49303745460510257
6,51685,65,0.845,0.452906806230545
7,50095,63,0.838,0.46702852702140807
8,58840,74,0.834,0.4662237367630005
9,61225,77,0.849,0.4599281129837036
10,62020,78,0.838,0.46518157958984374
11,62020,78,0.839,0.46561451816558835
12,69175,87,0.849,0.43968556451797486
13,75535,95,0.853,0.4400214776992798
14,67585,85,0.846,0.44508595180511473
15,68380,86,0.84,0.4689197225570679
16,77920,98,0.835,0.4800330662727356
17,63610,80,0.828,0.46496345567703246
18,79510,100,0.856,0.4397505507469177
19,77920,98,0.844,0.4638018503189087
20,89845,113,0.839,0.4527390937805176
21,65200,82,0.837,0.47046172428131106
22,89845,113,0.836,0.4548866620063782
23,80305,101,0.81,0.5230098433494568
24,105745,133,0.851,0.46119289875030517
25,105745,133,0.847,0.4414590795040131
26,105745,133,0.826,0.4929868330955505
27,124825,157,0.842,0.4377542834281921
28,127210,160,0.836,0.44161716270446777
29,110515,139,0.781,0.6104049606323242
30,95410,120,0.838,0.44874518728256224
31,116080,146,0.822,0.4790895252227783
32,99385,125,0.841,0.45083533954620364
33,116875,147,0.852,0.42724504685401915
34,147085,185,0.852,0.4288169302940369
35,124030,156,0.845,0.45412544679641725
36,85075,107,0.845,0.45004063653945925
37,97000,122,0.845,0.43372828912734984
38,147085,185,0.83,0.5175281190872192
39,130390,164,0.831,0.46342034673690796
40,151060,190,0.849,0.4501898431777954
41,120850,152,0.83,0.4686953735351562
42,60430,76,0.85,0.47272716379165647
43,76330,96,0.845,0.45977044916152954
44,94615,119,0.847,0.4415562963485718
45,95410,120,0.839,0.4683770580291748
46,95410,120,0.842,0.47924480676651
47,110515,139,0.838,0.46890366983413695
48,95410,120,0.797,0.5658595509529114
49,151060,190,0.845,0.4463733887672424
50,91435,115,0.848,0.4351287126541138
51,104950,132,0.834,0.4768080320358276
52,151855,191,0.854,0.4337846608161926
53,109720,138,0.826,0.5000544819831848
54,89050,112,0.842,0.47091495895385743
55,122440,154,0.85,0.43882806348800657
56,124030,156,0.845,0.4821107530593872
57,128005,161,0.844,0.4418210871219635
58,125620,158,0.838,0.48780678272247313
59,114490,144,0.832,0.4848555624485016
60,124030,156,0.815,0.528867749452591
61,156625,197,0.849,0.4449551477432251
62,185245,233,0.852,0.4624808666706085
63,219430,276,0.851,0.4258529005050659
64,190810,240,0.842,0.4597242503166199
65,171730,216,0.825,0.49628912782669066
66,205915,259,0.813,0.5000831770896912
67,290980,366,0.852,0.4454962377548218
68,290980,366,0.857,0.4364442822933197
69,269515,339,0.847,0.4450580296516419
70,224995,283,0.827,0.48769990062713625
71,236920,298,0.799,0.5328903250694275
72,195580,246,0.819,0.505366098165512
73,140725,177,0.812,0.5208128061294556
74,187630,236,0.831,0.4604637498855591
75,173320,218,0.841,0.4682835783958435
76,234535,295,0.853,0.4584416983127594
77,201940,254,0.847,0.44053112506866454
78,237715,299,0.855,0.4260425524711609
79,280645,353,0.828,0.4754602067470551
80,190015,239,0.837,0.4571034212112427
81,328345,413,0.837,0.4807274732589722
82,390355,491,0.861,0.4257993688583374
83,349810,440,0.829,0.4796878237724304
84,375250,472,0.852,0.4383772654533386
85,158215,199,0.839,0.4395976758003235
86,279055,351,0.843,0.4489852271080017
87,197965,249,0.842,0.46328719997406004
88,256795,323,0.815,0.5263288588523864
89,284620,358,0.833,0.45810877656936644
90,306880,386,0.857,0.4253980073928833
91,232945,293,0.839,0.49010081005096434
92,389560,490,0.842,0.4575603337287903
93,389560,490,0.848,0.4482755892276764
94,241690,304,0.808,0.5277704668045043
95,415000,522,0.847,0.42766426157951354
96,270310,340,0.839,0.45727709817886353
97,270310,340,0.858,0.4317216601371765
98,331525,417,0.825,0.4832395315170288
99,272695,343,0.836,0.4850632234811783
100,222610,280,0.848,0.44246023368835447
101,444415,559,0.821,0.5269728660583496
102,375250,472,0.853,0.4272760933637619
103,602620,758,0.851,0.42813305282592773
104,777520,978,0.839,0.43979626512527464
105,775135,975,0.843,0.43683288860321046
106,385585,485,0.832,0.4868926959037781
107,271105,341,0.848,0.44765359354019163
108,395125,497,0.833,0.4747412407398224
109,449980,566,0.863,0.43230520701408387
110,414205,521,0.835,0.4829497685432434
111,511990,644,0.846,0.44065704607963563
112,608980,766,0.848,0.47025747442245486
113,394330,496,0.826,0.47002273750305174
114,787855,991,0.834,0.4696998796463013
115,654295,823,0.839,0.47436373138427734
116,1194100,1502,0.826,0.4713342332839966
117,775930,976,0.838,0.4328988077640533
118,537430,676,0.856,0.4433727595806122
119,465085,585,0.851,0.4638548402786255
120,504040,634,0.858,0.42849343514442445
121,515965,649,0.85,0.47236557936668394
122,871330,1096,0.848,0.4478428132534027
123,913465,1149,0.844,0.44476464319229125
124,835555,1051,0.837,0.4880773272514343
125,835555,1051,0.823,0.49281747579574586
126,888820,1118,0.833,0.4753896131515503
127,887230,1116,0.825,0.5044797520637512
128,885640,1114,0.845,0.45355064702034
129,879280,1106,0.85,0.4254232106208801
130,906310,1140,0.862,0.41556835556030275
131,1075645,1353,0.849,0.4348066833019257
132,874510,1100,0.854,0.4484200429916382
133,1093135,1375,0.853,0.43988192462921144
134,596260,750,0.802,0.5348378081321716
135,1051795,1323,0.831,0.4749495582580566
136,745720,938,0.828,0.49307967042922973
137,1241800,1562,0.836,0.4714410080909729
138,1469170,1848,0.842,0.4443576517105102
139,581950,732,0.817,0.4912505793571472
140,496090,624,0.853,0.43449239373207094
141,680530,856,0.822,0.49896653842926025
142,721075,907,0.847,0.4671803946495056
143,557305,701,0.844,0.4594295678138733
144,639985,805,0.841,0.45707934665679933
145,1977970,2488,0.853,0.44949716424942016
146,2032825,2557,0.838,0.4885539402961731
147,1994665,2509,0.83,0.5335071778297424
148,2590120,3258,0.827,0.4889870138168335
149,1380130,1736,0.836,0.4765595967769623
150,1694155,2131,0.829,0.4558779218196869
151,2022490,2544,0.843,0.4593885259628296
152,1921525,2417,0.842,0.45533638310432434
153,2528110,3180,0.843,0.4609161262512207
154,1322095,1663,0.836,0.4462785382270813
155,1043050,1312,0.848,0.4646500253677368
156,879280,1106,0.823,0.48902258491516115
157,930160,1170,0.834,0.45625055813789367
158,996145,1253,0.85,0.437926242351532
159,841120,1058,0.834,0.4899745330810547
160,898360,1130,0.845,0.48000262928009035
161,1978765,2489,0.832,0.4854533348083496
162,1272805,1601,0.832,0.49212720441818236
163,1135270,1428,0.839,0.4603994576931
164,1070875,1347,0.847,0.4398376922607422
165,1093135,1375,0.841,0.4477396640777588
166,1057360,1330,0.848,0.46996077013015747
167,881665,1109,0.841,0.4731614990234375
168,1105060,1390,0.831,0.4929204592704773
169,1348330,1696,0.833,0.4761307597160339
170,1406365,1769,0.836,0.5175391464233399
171,1315735,1655,0.857,0.4311217143535614
