Experiment 1 ,30_04_2020_23-40-32

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,10
max_runtime,10800
dataset_percentage,1.0
dataset,fashion_mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,100
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,5
mating_pool ,5
mutation_rate,0.6

OUTPUT
generation_no,params_no,layers_no,accuracy,loss
0,47009,3,0.8799,0.3474574823141098
1,33495,3,0.8699,0.37127964038848876
2,56246,3,0.8823,0.34201536827087403
3,66133,3,0.8737,0.35319559223651886
4,53753,3,0.8763,0.35112555906772613
5,63645,2,0.8811,0.35068738058805465
6,74120,3,0.88,0.3599837752342224
7,84402,3,0.8823,0.3319715930938721
8,86040,3,0.8806,0.3386130147099495
9,94067,3,0.8871,0.32633377417325976
10,106655,3,0.8866,0.3321052009344101
11,77259,2,0.8733,0.36660510363578797
12,82200,2,0.8833,0.3287713430285454
13,91435,1,0.8844,0.32642857627868654
14,122519,3,0.8807,0.34731068202257154
15,151051,3,0.8848,0.3328865730702877
16,121899,2,0.8815,0.33803394573926926
17,121899,2,0.8798,0.3561213052868843
18,121899,2,0.8878,0.3264432849407196
19,103389,2,0.875,0.34380518131256105
20,114623,3,0.881,0.3405937532782555
21,172448,3,0.8809,0.34253081206083297
22,136905,2,0.878,0.34374888356924055
23,196015,3,0.8879,0.3240703511059284
24,184705,3,0.8814,0.3456888193666935
25,182357,3,0.8769,0.34323185597658157
26,254407,3,0.8829,0.3501576997667551
27,205553,3,0.8841,0.344145168197155
28,297211,2,0.8855,0.3395772307395935
29,207603,2,0.8876,0.33085485372543333
30,186175,2,0.8806,0.3479068769454956
31,207603,2,0.8894,0.33018857016563413
32,235671,2,0.8762,0.359845792722702
33,235671,2,0.8866,0.33005344029068945
34,178575,2,0.8917,0.3145715969324112
35,235671,2,0.8841,0.35047212030887603
36,274095,2,0.889,0.3291166073381901
37,274055,2,0.8906,0.3389582174539566
38,264103,2,0.8821,0.3486700076878071
39,228471,2,0.8854,0.3334150106847286
40,221253,2,0.8893,0.3214076798081398
41,142185,2,0.8884,0.33893961535692213
42,305906,2,0.8859,0.3299393150806427
43,214206,2,0.8855,0.3248836782932282
44,313881,3,0.8822,0.36288808844834564
45,134081,3,0.8808,0.34383890622854235
46,157354,2,0.888,0.328762924015522
47,157354,2,0.8923,0.31692792118787766
48,157354,2,0.8875,0.3326142698049545
49,196535,2,0.8774,0.360628228187561
