Experiment 2 ,29_04_2020_03-18-57

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,10
max_runtime,10800
dataset_percentage,1.0
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,100
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,5
mating_pool ,5
mutation_rate,0.6

OUTPUT
generation_no,params_no,layers_no,accuracy,loss
0,73150,1,0.9792,0.07422276029989588
1,81895,1,0.9784,0.07687704955770751
2,73150,1,0.9744,0.08929927460536127
3,73150,1,0.9745,0.0904367318574281
4,73150,1,0.9767,0.08149051878298924
5,93025,1,0.9785,0.08654459437745245
6,93025,1,0.9742,0.09267316534275015
7,118465,1,0.9795,0.08275409536989027
8,125620,1,0.9794,0.08332614296339452
9,125620,1,0.9765,0.08952882683183998
10,150265,1,0.9781,0.0923015663368049
11,150265,1,0.981,0.06773563930332457
12,125620,1,0.9779,0.08793657725709345
13,135160,1,0.9765,0.09063907998638315
14,140725,1,0.9807,0.08059055177725659
15,135160,1,0.9785,0.07783989050722921
16,140725,1,0.9738,0.10783713968000083
17,145495,1,0.9773,0.08781994658826589
18,145495,1,0.9786,0.08519261833900454
19,179680,1,0.9812,0.07617239142461658
20,142315,1,0.9784,0.08382452289720896
21,152650,1,0.9816,0.07791687887696898
22,161395,1,0.9793,0.08145826232975087
23,152650,1,0.98,0.08220152554247542
24,152650,1,0.9788,0.08456933011332585
25,197170,1,0.9829,0.07326792060267234
26,197170,1,0.9785,0.09142964838395674
27,197170,1,0.9808,0.07958810538529579
28,238041,2,0.9787,0.09444677963547202
29,224995,1,0.979,0.08237892763603959
30,224995,1,0.9786,0.08762206296975274
31,224995,1,0.9799,0.07956619176369423
32,224995,1,0.9799,0.08051501692771344
33,241690,1,0.9791,0.08323733175228845
34,241690,1,0.9804,0.08475414617827537
35,291775,1,0.9814,0.07688398938356568
36,371275,1,0.9797,0.07993696146436169
37,372424,2,0.9806,0.08623603283468728
38,381221,2,0.9789,0.09042196265941238
39,435425,2,0.979,0.10394558306530761
40,380295,2,0.9829,0.07885784704642675
41,323575,1,0.9807,0.07964598797898652
42,454750,1,0.9756,0.11128885590025565
43,563661,2,0.9764,0.10841780640131474
44,416590,1,0.9812,0.08355247961828745
45,323570,2,0.9787,0.09659117253800101
46,521530,1,0.981,0.07645633836824355
47,290980,1,0.9773,0.09659992037346855
48,335500,1,0.9797,0.08143053208366755
49,302110,1,0.9826,0.07351016990665721
50,335500,1,0.977,0.09095176311291871
51,252820,1,0.9766,0.08876106897713434
52,302110,1,0.9769,0.1021355763815518
53,402280,1,0.9794,0.09886663412428247
54,302110,1,0.9808,0.07705020490434945
55,291775,1,0.9804,0.08341052272245505
56,351400,1,0.981,0.07630376681933576
57,236920,1,0.9798,0.08097748890299608
58,351400,1,0.9818,0.07708960111824117
59,310060,1,0.9809,0.08228122812830779
60,244870,1,0.9794,0.08961383273340907
61,190015,1,0.9815,0.0781896621406955
