Experiment 2 ,06_03_2020_00-14-55

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.elu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.3

OUTPUT
generation_no,params_no,neurons_no,accuracy,loss
0,34195,43,0.902,0.3221496706008911
1,35785,45,0.892,0.34299932146072387
2,52480,66,0.895,0.3112752420902252
3,52480,66,0.901,0.30714035153388974
4,59635,75,0.903,0.32321537590026855
5,69970,88,0.901,0.30952749705314636
6,98590,124,0.895,0.3123639414310455
7,98590,124,0.899,0.3121115205287933
8,103360,130,0.891,0.3227874298095703
9,114490,144,0.897,0.31180454063415525
10,121645,153,0.903,0.298924831867218
11,155035,195,0.893,0.30857335686683657
12,197965,249,0.909,0.2862555842399597
13,104950,132,0.903,0.30920316433906553
14,114490,144,0.889,0.33353486394882204
15,120055,151,0.898,0.3179101688861847
16,166165,209,0.894,0.31913633942604064
17,180475,227,0.908,0.29241930866241456
18,169345,213,0.903,0.3098673506975174
19,160600,202,0.889,0.3329572057723999
20,232945,293,0.903,0.2977485418319702
21,209890,264,0.903,0.29315144872665405
22,209890,264,0.905,0.30458240580558776
23,333910,420,0.911,0.2857278709411621
24,426130,536,0.893,0.3214462196826935
25,353785,445,0.907,0.3054426922798157
26,476215,599,0.905,0.3140958483219147
27,428515,539,0.918,0.2972214193344116
28,279055,351,0.903,0.29254870080947876
29,417385,525,0.903,0.30259388613700866
30,333910,420,0.911,0.29730808758735655
31,410230,516,0.903,0.315049592256546
32,410230,516,0.905,0.30922683668136597
33,441235,555,0.9,0.31077583408355713
34,693250,872,0.91,0.28155862307548524
35,234535,295,0.901,0.3124620943069458
36,444415,559,0.91,0.2860707287788391
37,346630,436,0.907,0.2799998450279236
38,503245,633,0.904,0.31188041520118714
39,477010,600,0.905,0.31478485345840457
40,427720,538,0.902,0.3608045542240143
41,360940,454,0.907,0.3125926098823547
42,341065,429,0.914,0.28668960773944857
43,690865,869,0.915,0.2979360681772232
44,278260,350,0.907,0.2895609028339386
45,248845,313,0.904,0.3091597836017609
46,344245,433,0.897,0.34166799664497377
47,354580,446,0.894,0.30882598662376404
48,694045,873,0.906,0.3057291214466095
49,608185,765,0.905,0.29696257185935976
50,693250,872,0.892,0.32836989188194277
51,378430,476,0.909,0.2884474115371704
52,574795,723,0.912,0.29021145558357236
53,630445,793,0.902,0.31663764333724975
54,844300,1062,0.906,0.3232760303020477
55,746515,939,0.899,0.33919108533859255
56,441235,555,0.906,0.3071103937625885
57,852250,1072,0.905,0.3100806550979614
58,794215,999,0.903,0.3197949287891388
59,954010,1200,0.898,0.34619291388988493
60,1255315,1579,0.895,0.3380726948976517
61,1347535,1695,0.9,0.37662650966644284
62,1548670,1948,0.899,0.3401110532283783
63,933340,1174,0.908,0.3190457453727722
64,748105,941,0.902,0.3122621669769287
65,593080,746,0.91,0.2889302372932434
66,593080,746,0.899,0.3235983955860138
67,438850,552,0.907,0.3045902171134949
68,818065,1029,0.906,0.3182106416225433
69,451570,568,0.895,0.3508821563720703
70,918235,1155,0.909,0.31252715265750886
71,1147195,1443,0.906,0.329252628326416
72,1195690,1504,0.881,0.39885017490386965
73,1624990,2044,0.868,0.45314664363861085
74,1574110,1980,0.89,0.40939011120796204
75,1792735,2255,0.891,0.3992065322399139
76,1985125,2497,0.897,0.3547870079278946
77,1526410,1920,0.894,0.3801233277320862
78,1526410,1920,0.882,0.39091148614883425
79,2231575,2807,0.889,0.3996867434978485
80,2131405,2681,0.881,0.4501209931373596
81,2145715,2699,0.889,0.36907012021541596
82,1991485,2505,0.896,0.36806032538414
83,2464510,3100,0.893,0.41635424208641053
84,2031235,2555,0.902,0.371993403673172
85,3812830,4796,0.875,0.45752055644989015
86,3654625,4597,0.884,0.43946799623966215
87,4684945,5893,0.875,0.4925879650115967
