Experiment 1 ,05_03_2020_20-14-49

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.3

OUTPUT
generation_no,params_no,neurons_no,accuracy,loss
0,35785,45,0.906,0.31064407658576965
1,47710,60,0.905,0.2866260106563568
2,69175,87,0.909,0.28249710917472837
3,48505,61,0.909,0.297094446182251
4,20680,26,0.903,0.31372556066513063
5,29425,37,0.899,0.3104614083766937
6,34195,43,0.91,0.30070739102363586
7,34990,44,0.911,0.2988010606765747
8,27835,35,0.911,0.3055755412578583
9,34990,44,0.908,0.29050198101997377
10,35785,45,0.898,0.3099351975917816
11,34990,44,0.911,0.2955650203227997
12,45325,57,0.907,0.28964806270599364
13,43735,55,0.907,0.29067342448234557
14,34990,44,0.914,0.28769248342514037
15,47710,60,0.913,0.2686331684589386
16,54070,68,0.918,0.2614794203042984
17,78715,99,0.916,0.2537518606185913
18,81895,103,0.908,0.2657548005580902
19,58840,74,0.915,0.26212550377845767
20,78715,99,0.911,0.26407265543937686
21,60430,76,0.914,0.2594494485855103
22,89845,113,0.916,0.2591688576936722
23,111310,140,0.925,0.24968861770629883
24,111310,140,0.921,0.25076520013809206
25,143110,180,0.927,0.2242070311307907
26,128005,161,0.93,0.2241121060848236
27,67585,85,0.912,0.2752233326435089
28,81100,102,0.912,0.27833440494537354
29,111310,140,0.916,0.24521301865577697
30,98590,124,0.92,0.2462528523206711
31,142315,179,0.92,0.2261010959148407
32,166165,209,0.927,0.23340027832984925
33,236125,297,0.922,0.21144554042816163
34,345835,435,0.932,0.21455227017402648
35,328345,413,0.932,0.2152387557029724
36,95410,120,0.921,0.23279969823360444
37,125620,158,0.924,0.23548533856868745
38,174910,220,0.915,0.25579963994026184
39,116875,147,0.918,0.24574626207351685
40,112105,141,0.924,0.24522796392440796
41,112105,141,0.921,0.24798733687400817
42,115285,145,0.916,0.2568523018360138
43,119260,150,0.927,0.2292952871322632
44,128005,161,0.931,0.23433224368095398
45,128005,161,0.915,0.2411564909219742
46,90640,114,0.919,0.2555612864494324
47,85075,107,0.919,0.24333932757377624
48,112105,141,0.923,0.2452670933008194
49,115285,145,0.924,0.23578784584999085
50,153445,193,0.928,0.22166077184677124
51,199555,251,0.927,0.2124693558216095
52,181270,228,0.934,0.20628110003471375
53,217840,274,0.927,0.23262263429164887
54,153445,193,0.921,0.24699239683151245
55,205915,259,0.919,0.2350109395980835
56,286210,360,0.927,0.21513976407051086
57,264745,333,0.931,0.21487600648403168
58,264745,333,0.934,0.20391530966758728
59,264745,333,0.927,0.216881559073925
60,283825,357,0.926,0.20518620347976685
61,309265,389,0.929,0.2200121693611145
62,217840,274,0.931,0.21784990978240967
63,298135,375,0.925,0.226470956325531
64,376045,473,0.931,0.2125630159378052
65,397510,500,0.938,0.1828830007314682
66,333910,420,0.934,0.20290300047397614
67,409435,515,0.937,0.18843303549289703
68,335500,422,0.931,0.20293127238750458
69,465880,586,0.931,0.21004852020740508
70,356170,448,0.929,0.21481032931804658
71,356170,448,0.933,0.21385017347335816
72,527890,664,0.936,0.18837651538848876
73,331525,417,0.936,0.20903016269207
74,496885,625,0.932,0.19838617396354674
75,648730,816,0.946,0.17104428222775458
76,727435,915,0.945,0.1884097125530243
77,773545,973,0.941,0.1944520133137703
78,825220,1038,0.933,0.20455015856027603
79,690865,869,0.942,0.18481301295757294
80,976270,1228,0.952,0.17026393139362336
81,526300,662,0.932,0.20661607229709625
82,760825,957,0.932,0.20841468703746796
83,992965,1249,0.947,0.17636921659111976
84,992965,1249,0.939,0.1744188442826271
85,1114600,1402,0.94,0.1920021995306015
86,999325,1257,0.939,0.18973042941093446
87,1697335,2135,0.909,0.2979637030363083
88,1618630,2036,0.93,0.20563712459802627
89,1423855,1791,0.936,0.19034339076280593
90,856225,1077,0.943,0.18285303491353988
91,693250,872,0.939,0.1722808803319931
92,804550,1012,0.94,0.19458996057510375
93,1376950,1732,0.946,0.17853282603621484
94,1248955,1571,0.936,0.2198983753621578
95,1655200,2082,0.942,0.19292802286148072
96,1655200,2082,0.946,0.1751734846830368
97,1655200,2082,0.94,0.1753731547296047
98,1671100,2102,0.953,0.16651196721196174
99,1444525,1817,0.936,0.19503246998786927
100,1985920,2498,0.941,0.18409240981936456
101,1931860,2430,0.934,0.1854781275987625
102,1475530,1856,0.929,0.21943847131729127
103,2123455,2671,0.938,0.20161490166187288
