Experiment 1 ,06_03_2020_02-14-57

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.selu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.3

OUTPUT
generation_no,params_no,neurons_no,accuracy,loss
0,29425,37,0.902,0.3384553322792053
1,32605,41,0.898,0.3276214118003845
2,31810,40,0.891,0.3270329141616821
3,45325,57,0.897,0.328374184846878
4,57250,72,0.887,0.3551151719093323
5,39760,50,0.897,0.33658460235595705
6,44530,56,0.894,0.33772218894958494
7,65995,83,0.895,0.34009341430664064
8,46120,58,0.898,0.3219767780303955
9,77920,98,0.899,0.3179775204658508
10,54865,69,0.896,0.3491295156478882
11,54865,69,0.902,0.33811568236351014
12,57250,72,0.896,0.32254473423957825
13,72355,91,0.896,0.33391146087646484
14,85075,107,0.899,0.31463654088973997
15,81895,103,0.895,0.34090882444381715
16,101770,128,0.896,0.33907756900787356
17,108925,137,0.894,0.33734040331840515
18,101770,128,0.898,0.3206557381153107
19,95410,120,0.895,0.32082998895645143
20,95410,120,0.892,0.3388967318534851
21,97795,123,0.899,0.3314807093143463
22,85870,108,0.897,0.33068824315071105
23,98590,124,0.886,0.3560523724555969
24,193990,244,0.885,0.37703325748443606
25,151060,190,0.887,0.370623939037323
26,150265,189,0.899,0.33265362071990967
27,205915,259,0.896,0.36018731904029844
28,137545,173,0.895,0.3425508334636688
29,128800,162,0.901,0.34781450986862184
30,184450,232,0.899,0.3580268650054932
31,195580,246,0.903,0.34209829187393187
32,255205,321,0.894,0.34144547700881955
33,129595,163,0.898,0.34380263900756836
34,140725,177,0.895,0.3339740433692932
35,287800,362,0.891,0.37300966250896456
36,277465,349,0.896,0.35915757322311403
37,199555,251,0.894,0.34926011085510256
38,252820,318,0.9,0.3508794798851013
39,252820,318,0.89,0.34332599020004273
40,195580,246,0.896,0.3567511649131775
41,285415,359,0.899,0.34616567504405976
42,285415,359,0.887,0.3745177990198135
43,155035,195,0.9,0.3389779586791992
44,344245,433,0.889,0.3907216544151306
45,424540,534,0.889,0.37961822843551635
46,270310,340,0.895,0.36601734709739686
47,304495,383,0.895,0.39594228959083555
48,468265,589,0.877,0.3942500569820404
49,560485,705,0.895,0.37138948488235474
50,546970,688,0.883,0.37837833738327026
51,298930,376,0.884,0.3726080210208893
52,236125,297,0.897,0.3465893678665161
53,306085,385,0.888,0.3600614461898804
54,335500,422,0.888,0.3834620351791382
55,402280,506,0.902,0.36658841609954834
56,283030,356,0.888,0.3844189727306366
57,484165,609,0.888,0.3780899543762207
58,670195,843,0.899,0.3745959107875824
59,1024765,1289,0.889,0.41652349281311035
60,822040,1034,0.86,0.471411114692688
61,871330,1096,0.886,0.4000162456035614
62,628855,791,0.895,0.3828419897556305
63,706765,889,0.882,0.4214968113899231
64,706765,889,0.894,0.3806452705860138
65,483370,608,0.868,0.39929719829559324
66,483370,608,0.889,0.3841242198944092
67,453160,570,0.895,0.38722172093391416
68,562075,707,0.887,0.3961018431186676
69,625675,787,0.874,0.414960946559906
70,455545,573,0.883,0.42803141045570375
71,554920,698,0.89,0.39869353723526
72,575590,724,0.894,0.389225821018219
73,494500,622,0.899,0.3611102043390274
74,723460,910,0.892,0.4064578275680542
75,496885,625,0.886,0.37676935935020445
76,809320,1018,0.876,0.42633209300041197
77,791830,996,0.881,0.44021418809890744
78,1013635,1275,0.84,0.588427285194397
79,1263265,1589,0.884,0.44573865103721616
80,972295,1223,0.873,0.44946028423309325
81,758440,954,0.881,0.40576154112815854
82,581950,732,0.892,0.37931176090240476
83,581950,732,0.897,0.36258899426460267
84,747310,940,0.896,0.38271740221977235
85,988990,1244,0.875,0.44283034801483157
86,1515280,1906,0.881,0.4408534321784973
87,1190125,1497,0.85,0.5145891432762146
88,1190125,1497,0.874,0.49259193646907806
89,740950,932,0.891,0.40515863156318666
90,686095,863,0.882,0.40647310400009157
91,686095,863,0.882,0.4249691767692566
92,1192510,1500,0.858,0.5079723229408264
93,1395235,1755,0.873,0.48600632810592653
94,1395235,1755,0.893,0.4291006283760071
