Experiment 3 ,06_03_2020_04-14-57

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.selu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.3

OUTPUT
generation_no,params_no,neurons_no,accuracy,loss
0,38965,49,0.885,0.33511126589775087
1,39760,50,0.888,0.3540048451423645
2,52480,66,0.889,0.355039824962616
3,44530,56,0.892,0.34580706000328065
4,45325,57,0.897,0.33886759757995605
5,62020,78,0.896,0.33619120812416076
6,82690,104,0.906,0.3175236461162567
7,71560,90,0.898,0.3326277351379395
8,40555,51,0.896,0.3321702485084534
9,69970,88,0.901,0.3312297763824463
10,98590,124,0.906,0.3275716755390167
11,105745,133,0.893,0.3401942903995514
12,104950,132,0.897,0.33923914670944216
13,109720,138,0.904,0.3225839991569519
14,143905,181,0.902,0.32665094661712646
15,154240,194,0.894,0.3562838213443756
16,166165,209,0.893,0.34007633686065675
17,170935,215,0.897,0.3480664300918579
18,124030,156,0.901,0.34395739221572874
19,208300,262,0.894,0.34271344208717347
20,172525,217,0.894,0.3481311869621277
21,213865,269,0.897,0.3758866693973541
22,175705,221,0.892,0.3510187060832977
23,171730,216,0.897,0.34073175191879274
24,221020,278,0.882,0.40027363681793215
25,173320,218,0.894,0.3444019174575806
26,221020,278,0.898,0.3421416234970093
27,192400,242,0.887,0.361182359457016
28,192400,242,0.896,0.3511632194519043
29,260770,328,0.898,0.3665006527900696
30,272695,343,0.891,0.35656109428405763
31,272695,343,0.894,0.3394597315788269
32,520735,655,0.882,0.41471824336051943
33,266335,335,0.89,0.3847816576957703
34,279850,352,0.898,0.3505388011932373
35,403870,508,0.903,0.3665582218170166
36,560485,705,0.88,0.4031604995727539
37,240895,303,0.89,0.36049238514900206
38,277465,349,0.895,0.3577297923564911
39,289390,364,0.888,0.3708544893264771
40,947650,1192,0.877,0.43600025844573975
41,1177405,1481,0.89,0.42315057921409605
42,1923115,2419,0.866,0.4868180022239685
43,1496200,1882,0.879,0.4988859615325928
44,2220445,2793,0.855,0.547751229763031
45,1838845,2313,0.865,0.5198448922634125
46,2010565,2529,0.886,0.44795853090286253
47,1743445,2193,0.889,0.43778910756111145
48,1619425,2037,0.884,0.44169896554946897
49,2757865,3469,0.872,0.5115284554958344
50,2195005,2761,0.894,0.42607087922096254
51,2668825,3357,0.877,0.46962547129392623
52,2190235,2755,0.855,0.5235644197463989
53,1861105,2341,0.862,0.5366870200634003
54,1861105,2341,0.862,0.48377671813964845
55,1555825,1957,0.87,0.45904465436935427
56,1225900,1542,0.887,0.4615278654098511
57,1097110,1380,0.846,0.5596513395309448
58,1054180,1326,0.879,0.48128002691268923
59,3383530,4256,0.861,0.5856181998252868
60,3887560,4890,0.861,0.6095656774044037
61,3887560,4890,0.87,0.4852748022079468
62,2713345,3413,0.846,0.6449876990318298
63,2893015,3639,0.867,0.5825531778335571
64,3234865,4069,0.861,0.6210001106262207
65,3234865,4069,0.886,0.49279708886146545
66,2989210,3760,0.862,0.5020746273994445
67,3400225,4277,0.865,0.5534299039840698
68,3555250,4472,0.865,0.5395285716056823
69,4582390,5764,0.847,0.6087993016242981
70,3537760,4450,0.838,0.655353545665741
