Experiment 1 ,06_03_2020_23-27-18

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.elu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.3

OUTPUT
generation_no,params_no,neurons_no,accuracy,loss
0,38965,49,0.904,0.3225554852485657
1,35785,45,0.894,0.3341391630172729
2,31810,40,0.889,0.3411032037734985
3,38965,49,0.896,0.31442128944396974
4,41350,52,0.894,0.34051946449279785
5,15910,20,0.889,0.3678129754066467
6,18295,23,0.889,0.3523802976608276
7,20680,26,0.896,0.3451471495628357
8,15910,20,0.891,0.348740382194519
9,13525,17,0.899,0.33930899238586426
10,19090,24,0.887,0.36099856758117677
11,19090,24,0.887,0.35296514177322386
12,19090,24,0.895,0.34825128865242005
13,15910,20,0.884,0.35449652576446533
14,18295,23,0.893,0.35012800645828246
15,18295,23,0.896,0.34694404220581054
16,14320,18,0.898,0.3451466748714447
17,19885,25,0.892,0.34829950284957883
18,14320,18,0.898,0.35295577907562253
19,26245,33,0.895,0.3274156708717346
20,23065,29,0.901,0.3270176095962524
21,24655,31,0.904,0.31629109621047974
22,23065,29,0.893,0.34824032306671143
23,27040,34,0.898,0.3321604142189026
24,27040,34,0.898,0.3292891721725464
25,37375,47,0.899,0.31737297868728637
26,40555,51,0.904,0.31572841906547544
27,51685,65,0.899,0.32275778555870055
28,54070,68,0.893,0.3500984683036804
29,54070,68,0.897,0.3274921078681946
30,54070,68,0.894,0.32630156660079956
31,46120,58,0.896,0.32073938655853274
32,34195,43,0.893,0.32889328694343567
33,46120,58,0.894,0.3219091281890869
34,46915,59,0.892,0.3397751049995422
35,22270,28,0.89,0.3470933632850647
36,19090,24,0.896,0.3425888504981995
37,19885,25,0.884,0.35793734550476075
38,21475,27,0.899,0.34291925382614136
39,19885,25,0.895,0.3496311786174774
40,27040,34,0.896,0.34196741437911987
41,27040,34,0.901,0.3298245100975037
42,31015,39,0.896,0.3315042181015015
43,23860,30,0.9,0.3309424629211426
44,28630,36,0.898,0.3252960798740387
45,25450,32,0.89,0.33201980686187743
46,19885,25,0.89,0.3551746735572815
47,21475,27,0.9,0.3285179929733276
48,23860,30,0.902,0.33804590702056886
49,26245,33,0.893,0.32717524862289427
50,23860,30,0.895,0.33131921815872195
51,22270,28,0.905,0.3368995709419251
52,20680,26,0.9,0.3358174958229065
53,23860,30,0.891,0.33914513206481933
54,16705,21,0.893,0.3506506028175354
55,27835,35,0.894,0.33342791748046874
56,32605,41,0.9,0.3271597747802734
57,19885,25,0.886,0.3422964839935303
58,21475,27,0.895,0.3350994257926941
59,23065,29,0.896,0.34232184386253356
60,27040,34,0.899,0.33030009937286375
61,15910,20,0.892,0.3430342617034912
62,25450,32,0.896,0.33903381681442263
63,31810,40,0.902,0.3202661504745483
64,35785,45,0.896,0.33554454922676086
65,35785,45,0.898,0.3235156936645508
66,38170,48,0.904,0.32029491996765136
67,37375,47,0.893,0.33552372217178345
68,37375,47,0.896,0.32671571969985963
69,34195,43,0.891,0.34251382970809935
70,38965,49,0.9,0.3214032962322235
71,42940,54,0.899,0.3205041813850403
72,45325,57,0.895,0.3287184040546417
73,39760,50,0.902,0.307570187330246
74,16705,21,0.892,0.3451975612640381
75,15910,20,0.898,0.35766192865371704
76,19090,24,0.9,0.3354020142555237
77,23860,30,0.899,0.33549347829818726
78,23860,30,0.894,0.32533407139778137
79,28630,36,0.898,0.33314416122436524
80,28630,36,0.896,0.32748859214782716
81,21475,27,0.901,0.3253144881725311
82,27040,34,0.894,0.32572403764724733
83,23065,29,0.899,0.330927882194519
84,25450,32,0.896,0.3462771182060242
85,28630,36,0.893,0.33779525566101076
86,27040,34,0.903,0.32527707767486574
87,31015,39,0.894,0.33483195972442625
88,36580,46,0.899,0.3347622380256653
89,23065,29,0.892,0.34479056239128114
90,22270,28,0.895,0.3337413830757141
91,27040,34,0.89,0.3535440282821655
92,34195,43,0.903,0.33464088106155393
93,34195,43,0.901,0.3341087770462036
94,28630,36,0.895,0.3287195997238159
95,34195,43,0.9,0.3222372603416443
96,25450,32,0.901,0.3290880320072174
97,46915,59,0.902,0.31490244388580324
98,42145,53,0.905,0.30829012513160703
99,32605,41,0.899,0.3247267899513245
100,29425,37,0.897,0.33865234422683715
101,30220,38,0.897,0.328720428943634
102,29425,37,0.889,0.3377961030006409
103,30220,38,0.899,0.31890055084228514
104,36580,46,0.907,0.3178600392341614
105,27040,34,0.891,0.3431048774719238
106,39760,50,0.907,0.3225161280632019
107,32605,41,0.895,0.3363806447982788
108,31810,40,0.893,0.33469089889526366
109,30220,38,0.893,0.3334383130073547
110,31015,39,0.889,0.34464429640769956
111,31015,39,0.9,0.32574659991264343
112,38965,49,0.891,0.3270012426376343
113,46120,58,0.889,0.3370044131278992
114,58045,73,0.893,0.33381607437133787
115,51685,65,0.896,0.329187566280365
116,41350,52,0.9,0.3187836561203003
117,48505,61,0.902,0.315818222284317
