Experiment 1 ,08_03_2020_12-58-55

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,1800
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.2

OUTPUT
generation_no,params_no,neurons_no,accuracy,loss
0,39760,50,0.914,0.2866153497695923
1,38170,48,0.908,0.28890559101104735
2,53275,67,0.911,0.2801666986942291
3,34990,44,0.906,0.30152952527999877
4,48505,61,0.909,0.2798063280582428
5,41350,52,0.909,0.2941077387332916
6,68380,86,0.902,0.29705947589874265
7,81895,103,0.925,0.2379370495080948
8,79510,100,0.918,0.26211581802368167
9,100180,126,0.915,0.26572409319877627
10,73945,93,0.917,0.25321560859680176
11,81895,103,0.921,0.25219757091999057
12,81895,103,0.913,0.27822369861602786
13,90640,114,0.909,0.27052120232582094
14,77125,97,0.923,0.24880325269699097
15,72355,91,0.923,0.24207171964645385
16,85075,107,0.916,0.2660660325288773
17,102565,129,0.921,0.24743833589553832
18,98590,124,0.912,0.2541366128921509
19,122440,154,0.925,0.24773353791236877
20,81895,103,0.915,0.25260148429870605
21,92230,116,0.918,0.2500176168680191
22,91435,115,0.91,0.2704876208305359
23,90640,114,0.92,0.24206394052505492
24,106540,134,0.917,0.24884469866752623
25,92230,116,0.92,0.26325200176239016
26,97795,123,0.92,0.24311001110076905
27,113695,143,0.926,0.23884235215187072
28,113695,143,0.922,0.23213575434684752
29,137545,173,0.928,0.21282592964172364
30,165370,208,0.928,0.21898110795021059
31,189220,238,0.933,0.22597053837776185
32,130390,164,0.928,0.23683893692493438
33,184450,232,0.935,0.22410036945343018
34,159805,201,0.928,0.22033931362628936
35,197170,248,0.923,0.22640750074386598
36,155035,195,0.926,0.21710333621501923
37,192400,242,0.922,0.22615669989585876
38,170935,215,0.925,0.23965375089645385
39,216250,272,0.926,0.21722405242919923
40,229765,289,0.929,0.2194860053062439
41,186835,235,0.917,0.22370672261714936
42,227380,286,0.924,0.21769699239730836
43,287800,362,0.934,0.2090737931728363
44,239305,301,0.927,0.19768349647521974
45,322780,406,0.933,0.21482620924711227
46,330730,416,0.933,0.2061002526283264
47,257590,324,0.931,0.2088551034927368
48,321985,405,0.934,0.20264484530687332
49,310855,391,0.936,0.20219782435894013
50,387175,487,0.933,0.20947969365119934
51,504040,634,0.941,0.18137552446126937
52,452365,569,0.936,0.18823953318595887
53,417385,525,0.936,0.1965579178929329
54,477805,601,0.937,0.18199537485837936
55,529480,666,0.936,0.202253901720047
56,482575,607,0.93,0.22062678980827333
57,529480,666,0.937,0.1968993933200836
58,756055,951,0.945,0.18231999242305755
59,872920,1098,0.933,0.218533514380455
60,819655,1031,0.938,0.1881297293305397
61,964345,1213,0.938,0.2015473112463951
62,894385,1125,0.944,0.17037024682760238
63,1140040,1434,0.944,0.18361248940229416
64,1387285,1745,0.941,0.19596016159653665
65,1491430,1876,0.935,0.21281411230564118
66,2175925,2737,0.936,0.19415305709838868
67,1242595,1563,0.931,0.2106034781932831
68,2070985,2605,0.95,0.16921557033061982
69,1070080,1346,0.945,0.17155021399259568
70,991375,1247,0.939,0.18817077991366388
71,1626580,2046,0.908,0.29732894989848135
72,1740265,2189,0.941,0.18788292962312697
73,1752985,2205,0.939,0.21574614703655243
74,2003410,2520,0.937,0.2065058179795742
75,1575700,1982,0.943,0.18156795281171798
76,1696540,2134,0.948,0.1897631742954254
77,1885750,2372,0.95,0.1633695775270462
78,1885750,2372,0.934,0.2150085913836956
79,2587735,3255,0.943,0.17794363695383072
80,2255425,2837,0.943,0.18474039328098296
81,1885750,2372,0.937,0.19022001135349273
82,1834870,2308,0.947,0.18828437435626982
83,2183875,2747,0.937,0.20805130869150162
