Experiment 2 ,09_03_2020_00-37-51

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,1800
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.2

OUTPUT
generation_no,params_no,neurons_no,accuracy,loss
0,38170,48,0.912,0.30574732851982117
1,46915,59,0.901,0.2889022116661072
2,42145,53,0.919,0.2742873406410217
3,30220,38,0.901,0.31359955883026125
4,21475,27,0.904,0.3272268931865692
5,27040,34,0.909,0.3069928443431854
6,34195,43,0.901,0.3065690698623657
7,31810,40,0.897,0.30681344771385194
8,31810,40,0.913,0.2988482537269592
9,33400,42,0.894,0.3048155665397644
10,37375,47,0.905,0.3154145860671997
11,20680,26,0.894,0.3487953014373779
12,13525,17,0.896,0.3616390733718872
13,9550,12,0.885,0.3718639488220215
14,8755,11,0.878,0.4015117754936218
15,7165,9,0.868,0.43834433460235595
16,7960,10,0.876,0.4229561314582825
17,7960,10,0.88,0.41390008974075315
18,8755,11,0.879,0.41379438066482543
19,10345,13,0.886,0.3892776441574097
20,10345,13,0.88,0.410420560836792
21,7960,10,0.87,0.402962149143219
22,8755,11,0.875,0.3999757857322693
23,9550,12,0.875,0.4068132743835449
24,8755,11,0.878,0.3865901117324829
25,8755,11,0.874,0.3919370255470276
26,8755,11,0.882,0.38920515298843383
27,10345,13,0.881,0.3745517866611481
28,12730,16,0.893,0.3566741013526917
29,11140,14,0.884,0.3657951726913452
30,12730,16,0.889,0.36098542547225954
31,12730,16,0.898,0.35839688539505005
32,19885,25,0.896,0.3387192256450653
33,16705,21,0.896,0.34848795461654664
34,15115,19,0.894,0.36483948469161986
35,16705,21,0.894,0.3424373755455017
36,15115,19,0.905,0.31508094334602355
37,11935,15,0.9,0.3543290650844574
38,16705,21,0.9,0.3525569887161255
39,16705,21,0.895,0.3457308750152588
40,17500,22,0.898,0.3407786388397217
41,14320,18,0.893,0.34054936599731445
42,8755,11,0.887,0.3757683165073395
43,9550,12,0.884,0.3847371783256531
44,9550,12,0.891,0.37723258972167967
45,11935,15,0.896,0.3523231520652771
46,11935,15,0.889,0.36796189451217653
47,11140,14,0.889,0.3668428106307983
48,11935,15,0.89,0.3531385350227356
49,12730,16,0.894,0.3535483317375183
50,12730,16,0.887,0.3716737694740295
51,11935,15,0.887,0.37279711961746215
52,13525,17,0.891,0.34734999132156374
53,16705,21,0.902,0.31279396295547485
54,16705,21,0.885,0.35506009340286254
55,14320,18,0.891,0.34379064559936523
56,18295,23,0.889,0.3556741781234741
57,19090,24,0.899,0.3347337501049042
58,19090,24,0.897,0.32115197300910947
59,19090,24,0.905,0.3289331488609314
60,16705,21,0.89,0.33862770318984986
61,19090,24,0.899,0.327021155834198
62,19090,24,0.893,0.34081507253646853
63,16705,21,0.89,0.3462622790336609
64,13525,17,0.888,0.36681023359298703
65,15115,19,0.895,0.35600913310050963
66,11935,15,0.895,0.3779397916793823
67,10345,13,0.886,0.3829109516143799
68,11935,15,0.893,0.3646879677772522
69,12730,16,0.892,0.3687220435142517
70,15115,19,0.892,0.3386689667701721
71,13525,17,0.898,0.3430451595783234
72,12730,16,0.888,0.37302952766418457
73,15910,20,0.891,0.3552884955406189
74,16705,21,0.898,0.3385495209693909
75,18295,23,0.897,0.33542848205566406
76,21475,27,0.901,0.32968150568008425
77,19090,24,0.896,0.3232796926498413
78,23065,29,0.897,0.3419793529510498
79,13525,17,0.891,0.37698452663421633
80,12730,16,0.892,0.3532918090820312
81,15910,20,0.903,0.32163706874847414
82,16705,21,0.889,0.3488128547668457
83,19090,24,0.896,0.31430758476257326
84,15115,19,0.899,0.33225485467910765
85,20680,26,0.906,0.3228144221305847
86,26245,33,0.896,0.32870965909957883
87,25450,32,0.892,0.32779090547561646
88,25450,32,0.905,0.3163556182384491
89,25450,32,0.897,0.3193145387172699
90,25450,32,0.899,0.31209067344665525
91,21475,27,0.894,0.3394881398677826
