Experiment 2 ,10_03_2020_05-49-58

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Nadam

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.2

OUTPUT
generation_no,params_no,layers_no,accuracy,loss
0,28630,1,0.905,0.30056938791275023
1,37855,2,0.908,0.28834792947769167
2,37855,2,0.918,0.25203285217285154
3,38583,2,0.911,0.29512123501300813
4,38861,3,0.914,0.24878861808776856
5,42052,4,0.91,0.30554468822479247
6,42455,3,0.913,0.2596809592247009
7,41990,3,0.91,0.2749080655574799
8,55439,2,0.916,0.2572461392879486
9,35197,3,0.908,0.28211416757106783
10,37319,3,0.909,0.28069702339172364
11,41599,3,0.9,0.3110167920589447
12,41599,3,0.923,0.24603828084468843
13,50159,3,0.907,0.31234781932830813
14,49747,3,0.924,0.23028169786930083
15,49647,3,0.934,0.22221902322769166
16,50775,3,0.923,0.22778119647502898
17,46059,2,0.914,0.2549480724334717
18,58227,3,0.916,0.2563580274581909
19,36091,4,0.898,0.31861807680130005
20,60101,3,0.903,0.2948428246974945
21,60101,3,0.919,0.27274947237968444
22,60101,3,0.906,0.2736573392152786
23,60992,3,0.913,0.3039862382411957
24,73317,3,0.922,0.24752899146080018
25,61085,4,0.897,0.33684052419662475
26,62274,4,0.924,0.24197943460941315
27,60777,3,0.92,0.24228983342647553
28,61799,4,0.919,0.2787446541786194
29,61253,3,0.913,0.2577510712146759
30,64693,5,0.907,0.3160444662570953
31,62035,4,0.91,0.2898282980918884
32,58761,3,0.929,0.22913291478157044
33,72107,3,0.922,0.22284035766124724
34,60725,3,0.912,0.2823740634918213
35,63133,5,0.921,0.2344400327205658
36,65681,3,0.926,0.24026162028312684
37,65941,3,0.898,0.329244104385376
38,61870,4,0.909,0.2650071610212326
39,62660,5,0.927,0.25459423434734346
40,61959,4,0.893,0.3358211226463318
41,61959,4,0.908,0.2937318480014801
42,63000,5,0.928,0.22075624752044679
43,65097,3,0.907,0.28807102704048154
44,61447,3,0.919,0.2640987391471863
45,81421,3,0.924,0.23488408967852592
46,87203,3,0.939,0.20840091502666475
47,81527,3,0.917,0.2684074740409851
48,63555,5,0.907,0.2960446721315384
49,87933,4,0.931,0.21811914813518524
50,62038,4,0.927,0.23923335671424867
51,62590,4,0.915,0.25501650452613833
52,62682,4,0.923,0.24599175763130188
53,62699,4,0.921,0.23494085788726807
54,60621,3,0.907,0.2854874858856201
55,76413,4,0.93,0.2390362956523895
56,94563,4,0.924,0.2735174360275269
57,67338,4,0.908,0.2931331126689911
58,69707,3,0.919,0.26270631378889087
59,69707,3,0.898,0.29102162456512454
60,71785,4,0.932,0.218165078997612
61,35783,3,0.903,0.2712270760536194
62,56503,4,0.918,0.2527340126037598
63,57691,4,0.928,0.23901070415973663
64,58339,4,0.914,0.3199015929698944
65,61541,4,0.921,0.2385023484826088
66,58339,4,0.929,0.24068085312843324
67,67850,4,0.92,0.2762674714326859
68,56827,4,0.921,0.24237170553207396
69,55984,4,0.919,0.25698102164268494
70,55984,4,0.916,0.28218164944648744
71,55684,4,0.907,0.2858704583644867
72,57284,5,0.919,0.25941122496128083
73,61006,6,0.892,0.3768835339546204
74,60053,6,0.887,0.35907742512226104
75,60790,6,0.921,0.2588631929159164
76,59182,5,0.931,0.22510388785600663
77,59309,5,0.922,0.2618259938955307
78,59182,5,0.929,0.2524484801292419
79,54028,4,0.923,0.24305459702014923
80,48875,3,0.923,0.2493392411470413
81,62166,3,0.927,0.2399610342979431
82,57971,5,0.928,0.2455071942806244
83,63399,3,0.919,0.2724023119211197
84,63399,3,0.905,0.29061825299263
85,64295,3,0.929,0.2173761705160141
86,64295,3,0.928,0.21788320207595827
87,65825,3,0.914,0.2700100685358047
88,55745,3,0.912,0.2764310947358608
89,58130,4,0.911,0.2739593496322632
90,69890,4,0.927,0.24916648024320603
91,70254,4,0.929,0.22608447736501694
92,74454,4,0.927,0.2534964270591736
93,71383,4,0.913,0.27086189603805544
94,64285,4,0.911,0.28288805401325223
