Experiment 2 ,11_03_2020_06-53-20

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.2

OUTPUT
generation_no,params_no,layers_no,accuracy,loss
0,28630,1,0.905,0.30036580228805543
1,16578,2,0.896,0.32928825998306277
2,32025,2,0.91,0.27848480534553527
3,23082,2,0.9,0.30009479451179505
4,53275,1,0.91,0.28015918111801147
5,24216,2,0.899,0.2950535314083099
6,45325,1,0.912,0.2839423098564148
7,42029,2,0.913,0.28043864500522614
8,47217,3,0.92,0.25758162546157837
9,11600,2,0.892,0.33834209299087525
10,39615,2,0.91,0.26975677251815794
11,11750,2,0.898,0.33858172607421877
12,41595,2,0.919,0.26578413105010984
13,30063,2,0.909,0.27830591034889224
14,42005,2,0.908,0.2556899151802063
15,33599,2,0.917,0.25272841930389406
16,42281,3,0.917,0.2565213704109192
17,20463,2,0.896,0.32160091543197633
18,13481,3,0.895,0.3367016921043396
19,24339,2,0.907,0.30876452684402467
20,15413,3,0.885,0.3569858820438385
21,16579,4,0.886,0.34139775967597963
22,15213,2,0.906,0.30173282146453856
23,18600,2,0.905,0.2869640202522278
24,18600,2,0.912,0.29065604972839354
25,20087,3,0.905,0.2957701444625854
26,15706,2,0.907,0.3079230031967163
27,16785,2,0.9,0.31158272695541384
28,15445,2,0.896,0.3184809048175812
29,51016,2,0.909,0.2549798765182495
30,22233,2,0.909,0.2949390287399292
31,51746,2,0.91,0.26952247858047484
32,51710,3,0.899,0.3248772819042206
33,24256,3,0.904,0.2991901562213898
34,23706,2,0.911,0.27504064416885377
35,52330,2,0.915,0.2546562223434448
36,52330,2,0.914,0.2447068793773651
37,51892,2,0.912,0.2836528651714325
38,20169,3,0.894,0.3115564851760864
39,60265,3,0.913,0.2748504821062088
40,60091,2,0.926,0.24618403911590575
41,59189,2,0.91,0.23922651314735413
42,55054,2,0.924,0.25433717584609983
43,69940,2,0.919,0.25247301840782166
44,45957,2,0.915,0.24539140486717223
45,56012,3,0.914,0.26676985239982604
46,72170,3,0.918,0.25470292747020723
47,55670,2,0.91,0.28580343985557555
48,48990,2,0.914,0.2589696624279022
49,57649,3,0.922,0.22632979190349578
50,57448,3,0.923,0.2449968864917755
51,56361,3,0.901,0.29488897943496706
52,69911,4,0.915,0.2670913430452347
53,42671,4,0.916,0.29849217987060545
54,51505,2,0.926,0.23212276554107666
55,62672,2,0.918,0.22593680953979492
56,66012,3,0.911,0.26172519612312317
57,62672,2,0.92,0.24373548340797424
58,67268,4,0.919,0.23567863631248473
59,78435,4,0.921,0.25330484557151794
60,64905,2,0.908,0.26075601041316987
61,40579,3,0.915,0.27784883987903597
62,61293,2,0.918,0.23001362246274948
63,62573,3,0.916,0.26829202008247377
64,62729,3,0.927,0.2478671063184738
65,56118,4,0.928,0.24535344022512437
66,65449,4,0.91,0.28175391244888304
67,32098,3,0.912,0.2623123016357422
68,25081,3,0.909,0.2732408239841461
69,73690,2,0.922,0.23374715673923493
70,86262,2,0.914,0.26650852179527285
71,87482,3,0.92,0.2460217125415802
72,88364,3,0.918,0.24746598625183105
73,25496,3,0.91,0.2598355641365051
74,103702,3,0.93,0.23222640323638916
75,101269,3,0.927,0.22182984125614166
76,100941,3,0.919,0.25577543449401857
77,131606,3,0.928,0.23285819280147552
78,102705,4,0.906,0.29035231232643127
79,101661,3,0.917,0.26370444083213807
80,102193,2,0.93,0.23683602929115297
81,45513,4,0.915,0.25824780333042147
82,100001,3,0.929,0.2342119107246399
83,100001,3,0.915,0.2611564655303955
84,101158,3,0.927,0.22805088365077972
85,100181,3,0.924,0.26480046129226686
86,145852,4,0.906,0.28893984174728393
87,100673,3,0.907,0.28775799775123595
