Experiment 1 ,09_03_2020_01-37-51

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,1800
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.2

OUTPUT
generation_no,params_no,neurons_no,accuracy,loss
0,37375,47,0.897,0.30063629484176635
1,31810,40,0.907,0.3045139305591583
2,36580,46,0.904,0.29166479635238646
3,46120,58,0.908,0.2818016059398651
4,38965,49,0.913,0.2833738090991974
5,49300,62,0.902,0.30786995601654055
6,42145,53,0.908,0.2880839340686798
7,32605,41,0.901,0.31636695575714113
8,38965,49,0.908,0.28839186668395994
9,43735,55,0.909,0.30211410236358643
10,46120,58,0.919,0.2711928391456604
11,50095,63,0.907,0.2915949990749359
12,62020,78,0.904,0.27480760765075685
13,48505,61,0.907,0.2849165062904358
14,48505,61,0.916,0.2692398746013641
15,60430,76,0.915,0.2578992060422897
16,65995,83,0.923,0.25551823163032533
17,62815,79,0.921,0.24661245453357697
18,65995,83,0.925,0.261219357252121
19,83485,105,0.913,0.2795671169757843
20,80305,101,0.921,0.22449918723106385
21,93025,117,0.921,0.24435960578918456
22,106540,134,0.925,0.22858931374549865
23,130390,164,0.927,0.23576926040649415
24,120055,151,0.921,0.2484126536846161
25,128800,162,0.925,0.23443370604515076
26,143905,181,0.927,0.232508327126503
27,143905,181,0.918,0.2512017960548401
28,148675,187,0.927,0.22531989133358002
29,146290,184,0.928,0.2309027922153473
30,160600,202,0.919,0.23668725872039795
31,169345,213,0.925,0.209748805642128
32,213070,268,0.93,0.21239958763122557
33,231355,291,0.926,0.21638149952888489
34,255205,321,0.931,0.2179548577070236
35,255205,321,0.93,0.2056374570131302
36,279055,351,0.924,0.22939642465114593
37,329935,415,0.93,0.19842873287200927
38,358555,451,0.935,0.20427481907606124
39,418975,527,0.938,0.20463823068141937
40,524710,660,0.928,0.20673721659183503
41,636010,800,0.936,0.1994159209728241
42,768775,967,0.942,0.18075847190618516
43,992170,1248,0.948,0.1797413628101349
44,869740,1094,0.938,0.20456577682495117
45,1076440,1354,0.946,0.17638277369737626
46,834760,1050,0.938,0.2066180175244808
47,1008865,1269,0.936,0.2075360314846039
48,1008865,1269,0.943,0.18244382560253145
49,1008865,1269,0.946,0.1859212866127491
50,1058155,1331,0.939,0.1961179847717285
51,1280755,1611,0.942,0.19428960925340652
52,1279165,1609,0.943,0.17863693672418596
53,1660765,2089,0.943,0.19901147216558457
54,1613860,2030,0.937,0.18998369240760804
55,1392850,1752,0.941,0.1854356292486191
56,1050205,1321,0.942,0.17664852118492128
57,1239415,1559,0.939,0.19856898891925812
58,1061335,1335,0.939,0.18703937259316444
59,1376950,1732,0.944,0.1624381722509861
60,1313350,1652,0.944,0.1874322360754013
61,1391260,1750,0.948,0.16328392177820206
62,1551055,1951,0.947,0.17767000532150268
63,1768090,2224,0.939,0.20049472600221635
64,1335610,1680,0.941,0.18763339471817017
65,1699720,2138,0.933,0.20300265553593635
66,1699720,2138,0.94,0.1862324868440628
67,1551850,1952,0.937,0.18289072608947754
68,1551850,1952,0.941,0.1685383189022541
69,2283250,2872,0.952,0.16668509495258332
70,1778425,2237,0.938,0.17867557507753373
71,1821355,2291,0.935,0.21200317978858949
72,1569340,1974,0.939,0.20261163973808288
73,1741855,2191,0.94,0.20242814703285694
74,2240320,2818,0.95,0.17542881691455842
75,2001025,2517,0.942,0.19830530071258545
76,2577400,3242,0.943,0.18687139475345613
77,2577400,3242,0.949,0.16661243286728858
78,3579100,4502,0.95,0.1746551326215267
79,2897785,3645,0.943,0.1759493255764246
80,2829415,3559,0.937,0.2160028229355812
81,1942195,2443,0.934,0.22049543261528015
82,1645660,2070,0.935,0.20895634680986405
83,3045655,3831,0.939,0.20130263662338257
84,3241225,4077,0.948,0.18103246140480042
85,2333335,2935,0.943,0.19593569448590278
86,4242130,5336,0.947,0.17720571509003638
87,2745145,3453,0.923,0.21572592115402223
