Experiment 2 ,10_03_2020_02-49-57

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Nadam

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.2

OUTPUT
generation_no,params_no,neurons_no,accuracy,loss
0,27040,34,0.898,0.33065552020072936
1,28630,36,0.907,0.3040211367607117
2,30220,38,0.901,0.3062444624900818
3,23860,30,0.898,0.3177741255760193
4,23860,30,0.901,0.32582462549209595
5,37375,47,0.899,0.3017591860294342
6,22270,28,0.906,0.3139067494869232
7,23860,30,0.912,0.30067655420303346
8,63610,80,0.908,0.2852164173126221
9,37375,47,0.914,0.2710828456878662
10,36580,46,0.905,0.3024085485935211
11,35785,45,0.902,0.28916118788719175
12,27040,34,0.905,0.3070531985759735
13,54070,68,0.912,0.27406408977508545
14,32605,41,0.911,0.2914969952106476
15,78715,99,0.917,0.2518080790042877
16,61225,77,0.91,0.2846571216583252
17,22270,28,0.906,0.316323561668396
18,85075,107,0.909,0.2749623713493347
19,36580,46,0.906,0.2939144525527954
20,11935,15,0.886,0.3709169421195984
21,14320,18,0.893,0.3537697024345398
22,23065,29,0.902,0.3196145153045654
23,30220,38,0.9,0.3031462776660919
24,25450,32,0.905,0.31030701971054075
25,26245,33,0.907,0.30033303833007813
26,34990,44,0.903,0.30821416425704956
27,44530,56,0.898,0.29954209566116335
28,34990,44,0.908,0.2814648337364197
29,30220,38,0.902,0.294753036737442
30,32605,41,0.903,0.30257460808753966
31,26245,33,0.902,0.3159783325195312
32,42145,53,0.91,0.27754151809215544
33,15910,20,0.895,0.3290430908203125
34,78715,99,0.918,0.2668772220611572
35,73945,93,0.916,0.2552652931213379
36,71560,90,0.914,0.26922582936286926
37,76330,96,0.916,0.26938110232353213
38,54070,68,0.919,0.26290619587898256
39,48505,61,0.919,0.2739735131263733
40,62020,78,0.918,0.24407448363304138
41,88255,111,0.915,0.2546467216014862
42,88255,111,0.923,0.25276325798034666
43,73150,92,0.917,0.2524786229133606
44,84280,106,0.924,0.25543814420700073
45,68380,86,0.919,0.2524598627090454
46,112900,142,0.924,0.2351230173110962
47,108925,137,0.923,0.23738609302043914
48,135955,171,0.924,0.22536610746383667
49,142315,179,0.919,0.24132550072669984
50,135160,170,0.93,0.23468751823902131
51,189220,238,0.919,0.23207293498516082
52,225790,284,0.94,0.20733923137187957
53,282235,355,0.928,0.21178369295597077
54,282235,355,0.919,0.22050625813007355
55,326755,411,0.934,0.2033736369609833
56,283030,356,0.92,0.23430881595611572
57,240895,303,0.928,0.22292990291118622
58,267925,337,0.928,0.21484899252653122
59,267925,337,0.934,0.2145201426744461
60,267925,337,0.919,0.23832550787925721
61,299725,377,0.93,0.2140853418111801
62,216250,272,0.931,0.2256558142900467
63,271105,341,0.934,0.21266563856601714
64,190015,239,0.932,0.209014204621315
65,228175,287,0.929,0.21453341627120973
66,285415,359,0.928,0.22717069327831269
67,285415,359,0.922,0.2367439203262329
68,285415,359,0.922,0.2265728713274002
69,248050,312,0.939,0.20744162392616272
70,248050,312,0.929,0.2291003268957138
71,294955,371,0.93,0.21221616101264953
72,369685,465,0.94,0.18356759178638457
73,294955,371,0.942,0.19278175604343414
74,331525,417,0.928,0.21339054489135742
75,382405,481,0.936,0.19755897259712218
76,417385,525,0.928,0.20830647468566896
77,409435,515,0.938,0.18405477666854858
78,409435,515,0.928,0.1955276279449463
79,589900,742,0.938,0.19003253698348999
80,547765,689,0.931,0.20756631457805633
81,660655,831,0.937,0.17737944674491882
82,504835,635,0.919,0.2483143009543419
83,714715,899,0.942,0.1966423474550247
84,853840,1074,0.942,0.1924561931192875
85,853840,1074,0.929,0.1943395432829857
86,248845,313,0.93,0.20518870401382447
87,393535,495,0.935,0.20050953352451326
88,431695,543,0.934,0.1969768205881119
89,468265,589,0.929,0.21747738981246947
90,587515,739,0.925,0.21417923951148987
91,512785,645,0.925,0.2122453637123108
92,642370,808,0.937,0.19956984198093414
93,779905,981,0.933,0.19868448424339294
94,732205,921,0.943,0.1886205073595047
