Experiment 1 ,07_03_2020_17-47-01

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,1800
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.1

OUTPUT
generation_no,params_no,neurons_no,accuracy,loss
0,35785,45,0.912,0.2960498170852661
1,36580,46,0.906,0.30391201639175414
2,44530,56,0.902,0.2803754966259003
3,45325,57,0.907,0.2948552942276001
4,34990,44,0.901,0.3124513154029846
5,34990,44,0.908,0.2749755153656006
6,50890,64,0.909,0.27100944876670835
7,46120,58,0.907,0.2741944785118103
8,44530,56,0.906,0.2861186952590942
9,55660,70,0.909,0.2783049533367157
10,71560,90,0.914,0.27164305484294893
11,82690,104,0.916,0.2620115475654602
12,107335,135,0.915,0.27036540818214416
13,98590,124,0.919,0.23924739670753478
14,149470,188,0.93,0.2307530562877655
15,149470,188,0.923,0.22679179692268372
16,183655,231,0.921,0.2247134590148926
17,146290,184,0.919,0.240587162733078
18,145495,183,0.925,0.23656900656223298
19,164575,207,0.925,0.22125307464599608
20,147880,186,0.919,0.24164292359352113
21,162190,204,0.924,0.23297142869234086
22,201940,254,0.922,0.2183579864501953
23,232945,293,0.924,0.21310309982299805
24,263950,332,0.922,0.22847580707073212
25,233740,294,0.933,0.20649221348762511
26,245665,309,0.924,0.2172089545726776
27,247255,311,0.922,0.2254206521511078
28,272695,343,0.925,0.2198842179775238
29,330730,416,0.922,0.2352683221101761
30,312445,393,0.928,0.22361012196540833
31,342655,431,0.932,0.20777597320079805
32,380815,479,0.93,0.20539986157417298
33,420565,529,0.931,0.20701492989063264
34,527890,664,0.935,0.21589672207832336
35,490525,617,0.929,0.2043638221025467
36,545380,686,0.941,0.19252858245372773
37,562870,708,0.936,0.18582868564128877
38,527095,663,0.944,0.19790340387821198
39,512785,645,0.942,0.19266240012645722
40,420565,529,0.935,0.19594158047437668
41,604210,760,0.938,0.20433296704292297
42,593080,746,0.933,0.20667597937583923
43,634420,798,0.935,0.19773171609640122
44,639985,805,0.938,0.19691579848527907
45,829990,1044,0.937,0.18927434146404265
46,766390,964,0.933,0.19252927672863007
47,864970,1088,0.94,0.20720316004753112
48,732205,921,0.945,0.18465843677520752
49,695635,875,0.939,0.18220138996839524
50,811705,1021,0.938,0.2076089809536934
51,1006480,1266,0.936,0.1838200344145298
52,1062925,1337,0.942,0.17866980022192
53,1090750,1372,0.932,0.20296521884202956
54,1167865,1469,0.939,0.18595815670490265
55,1056565,1329,0.942,0.17830092158913613
56,810115,1019,0.938,0.20482025814056395
57,1030330,1296,0.943,0.2039606875181198
58,1113805,1401,0.943,0.18608311140537262
59,1521640,1914,0.941,0.1980422952771187
60,1500175,1887,0.941,0.17801431143283844
61,1547875,1947,0.942,0.17673006492853166
62,1669510,2100,0.948,0.18906742638349533
63,1973995,2483,0.948,0.17521397206187247
64,1993870,2508,0.939,0.21293862491846086
65,2364340,2974,0.944,0.18520828831195832
66,1836460,2310,0.949,0.17112050691246986
67,2368315,2979,0.937,0.19416665017604828
68,2259400,2842,0.942,0.19529645067453386
69,2136175,2687,0.942,0.18514730182290076
70,3405790,4284,0.945,0.17728411991894244
71,2056675,2587,0.943,0.1702342108786106
72,3057580,3846,0.949,0.17053409779071807
73,1438165,1809,0.93,0.21170783120393752
74,2974105,3741,0.939,0.18700525885820388
75,1418290,1784,0.944,0.17486283361911772
76,1940605,2441,0.946,0.1771413024663925
77,3460645,4353,0.944,0.1967357662022114
78,1866670,2348,0.948,0.18568778860569
79,3313570,4168,0.942,0.19734699136018752
80,3443950,4332,0.947,0.18570825761556625
81,2772175,3487,0.946,0.18791144108772279
82,2679160,3370,0.922,0.22384737646579742
