Experiment 3 ,25_03_2020_02-28-01

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.3

OUTPUT
generation_no,params_no,neurons_no,accuracy,loss
0,27040,34,0.903,0.3128898296356201
1,30220,38,0.902,0.31377268862724306
2,29425,37,0.898,0.3253116822242737
3,29425,37,0.902,0.3100662479400635
4,29425,37,0.9,0.31659741067886354
5,29425,37,0.912,0.30638043594360354
6,27040,34,0.897,0.335873948097229
7,27040,34,0.908,0.30113405656814574
8,24655,31,0.906,0.2981716046333313
9,27040,34,0.906,0.2993262667655945
10,22270,28,0.906,0.31061922454833985
11,20680,26,0.905,0.31728664398193357
12,25450,32,0.897,0.3155326385498047
13,21475,27,0.901,0.31088613271713256
14,31810,40,0.902,0.30571590280532834
15,31015,39,0.908,0.30448585081100465
16,31810,40,0.908,0.30302723407745363
17,31810,40,0.9,0.3029787511825561
18,31810,40,0.913,0.28537472438812256
19,31810,40,0.898,0.3190261867046356
20,27835,35,0.904,0.3036392605304718
21,31810,40,0.908,0.3058803687095642
22,31810,40,0.899,0.3207190954685211
23,31810,40,0.904,0.31018896722793576
24,31810,40,0.897,0.30960507583618163
25,38170,48,0.909,0.3003376069068909
26,40555,51,0.896,0.30169225692749024
27,40555,51,0.918,0.27337891030311584
28,34195,43,0.908,0.292013904094696
29,46915,59,0.906,0.28533170199394225
30,35785,45,0.898,0.29626408171653745
31,41350,52,0.908,0.28106811094284057
32,43735,55,0.915,0.2878137485980988
33,39760,50,0.901,0.29377612137794495
34,39760,50,0.903,0.29286813163757325
35,39760,50,0.913,0.27002368426322937
36,39760,50,0.909,0.30704255056381224
37,39760,50,0.905,0.29817111349105835
38,38170,48,0.908,0.2931926188468933
39,49300,62,0.915,0.2627945029735565
40,39760,50,0.904,0.3070066885948181
41,39760,50,0.906,0.2810256855487823
42,49300,62,0.916,0.27630270695686343
43,60430,76,0.909,0.28304845714569093
44,60430,76,0.902,0.2912442924976349
45,50890,64,0.916,0.2793268570899963
46,57250,72,0.901,0.2934758629798889
47,57250,72,0.911,0.2790382375717163
48,63610,80,0.915,0.2774695372581482
49,60430,76,0.916,0.2801905200481415
50,60430,76,0.91,0.2728155529499054
51,71560,90,0.916,0.25451923727989195
52,71560,90,0.919,0.2528591380119324
53,40555,51,0.905,0.2861623508930206
54,46915,59,0.914,0.2735114347934723
55,47710,60,0.908,0.2877515723705292
56,54865,69,0.914,0.26723179745674136
57,54865,69,0.909,0.28436663341522217
58,48505,61,0.912,0.26187096762657164
59,60430,76,0.914,0.26823510670661926
60,62020,78,0.922,0.2664630625247955
61,56455,71,0.917,0.2707250018119812
62,48505,61,0.904,0.30379613876342776
63,48505,61,0.913,0.2751753764152527
64,48505,61,0.905,0.28631231927871703
65,68380,86,0.917,0.2594436056613922
66,68380,86,0.908,0.25812553584575654
67,54070,68,0.911,0.261096245765686
68,48505,61,0.909,0.2770671546459198
69,50890,64,0.911,0.27504496932029726
70,59635,75,0.905,0.28745462107658387
71,48505,61,0.912,0.2699224286079407
72,59635,75,0.909,0.27538018107414247
73,64405,81,0.913,0.26087274789810183
74,59635,75,0.917,0.264302521944046
75,62020,78,0.916,0.2603378732204437
76,79510,100,0.913,0.2506636848449707
77,54865,69,0.916,0.26068275308609007
78,58045,73,0.922,0.26926723957061766
79,62815,79,0.911,0.2734578127861023
80,62815,79,0.903,0.29396871948242187
81,62815,79,0.915,0.2650316262245178
82,29425,37,0.903,0.2921701056957245
83,17500,22,0.892,0.33715837812423705
84,31810,40,0.906,0.31328913688659665
85,38965,49,0.906,0.2991033375263214
86,38965,49,0.905,0.2833190608024597
87,39760,50,0.908,0.296395672082901
88,26245,33,0.908,0.29682930135726926
89,20680,26,0.908,0.3179564478397369
90,26245,33,0.9,0.31182606959342957
91,26245,33,0.898,0.3232595500946045
92,26245,33,0.905,0.32665789031982423
93,26245,33,0.902,0.3185101432800293
94,26245,33,0.898,0.32061601066589357
95,26245,33,0.896,0.31389540004730226
96,26245,33,0.91,0.3094638795852661
97,31015,39,0.903,0.2958090362548828
98,26245,33,0.906,0.295455331325531
99,31015,39,0.907,0.3011024522781372
100,27040,34,0.905,0.30964113521575926
101,26245,33,0.905,0.30768941664695737
102,43735,55,0.903,0.28471129035949705
103,31810,40,0.903,0.2900191433429718
104,26245,33,0.904,0.3077324860095978
105,23860,30,0.906,0.3140321817398071
106,37375,47,0.896,0.317481885433197
107,26245,33,0.906,0.3028687081336975
108,37375,47,0.905,0.29928259015083314
109,36580,46,0.902,0.3042595648765564
110,33400,42,0.907,0.2969585769176483
111,33400,42,0.911,0.29546832013130186
112,36580,46,0.903,0.3093109724521637
113,36580,46,0.908,0.28146000146865846
114,36580,46,0.902,0.2977693641185761
115,43735,55,0.901,0.3030159890651703
116,38170,48,0.911,0.29231731629371643
117,42145,53,0.912,0.28780318212509154
118,40555,51,0.903,0.2848678221702576
119,41350,52,0.911,0.2978742184638977
120,41350,52,0.906,0.2893515563011169
121,42940,54,0.905,0.2972386665344238
122,47710,60,0.913,0.28436258935928344
123,47710,60,0.914,0.264905846118927
124,42145,53,0.909,0.2789925334453583
125,42145,53,0.907,0.30072941541671755
126,42145,53,0.914,0.2824521327018738
127,49300,62,0.918,0.26824434113502504
128,42145,53,0.905,0.2805778660774231
129,50890,64,0.911,0.269497811794281
130,62815,79,0.918,0.25155077016353605
131,58045,73,0.914,0.27406933379173276
132,62020,78,0.913,0.27019152569770816
133,58045,73,0.92,0.26116297507286074
134,58045,73,0.915,0.2544290282726288
135,66790,84,0.914,0.26085260915756225
136,58045,73,0.909,0.2717594213485718
137,58840,74,0.909,0.26350153851509095
138,58840,74,0.909,0.2851363377571106
139,58840,74,0.914,0.26469561290740967
140,73150,92,0.922,0.26466510677337646
