Experiment 2 ,07_03_2020_10-27-33

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.RMSprop

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.3

OUTPUT
generation_no,params_no,neurons_no,accuracy,loss
0,36580,46,0.907,0.28030936741828916
1,36580,46,0.909,0.29755300402641294
2,31810,40,0.901,0.3060075323581696
3,39760,50,0.902,0.2976105637550354
4,50095,63,0.892,0.341125198841095
5,51685,65,0.917,0.2587650995254517
6,50890,64,0.909,0.2760569043159485
7,53275,67,0.911,0.28638197875022886
8,50890,64,0.904,0.2803245470523834
9,50890,64,0.913,0.2764591280221939
10,61225,77,0.907,0.27218408274650574
11,66790,84,0.919,0.25171381688117983
12,85870,108,0.911,0.2708822340965271
13,89845,113,0.911,0.2805178346633911
14,70765,89,0.914,0.27630808734893797
15,61225,77,0.909,0.28640603184700014
16,54865,69,0.911,0.2737097938060761
17,52480,66,0.911,0.2826843512058258
18,63610,80,0.906,0.27616721153259277
19,50095,63,0.915,0.26909110593795776
20,54865,69,0.914,0.2818724172115326
21,54070,68,0.913,0.27713740229606626
22,61225,77,0.918,0.2520100245475769
23,66790,84,0.908,0.27820616841316226
24,66790,84,0.916,0.2643391419649124
25,71560,90,0.923,0.2612461988925934
26,89050,112,0.914,0.25563638436794284
27,74740,94,0.913,0.2618261871337891
28,101770,128,0.915,0.25682818055152895
29,90640,114,0.917,0.26356365346908567
30,98590,124,0.909,0.266697313785553
31,108925,137,0.91,0.24913175904750823
32,123235,155,0.911,0.2824667007923126
33,159805,201,0.915,0.2506871294975281
34,129595,163,0.923,0.2552905888557434
35,129595,163,0.925,0.23665544760227203
36,106540,134,0.917,0.24218076729774476
37,97000,122,0.919,0.22866666877269745
38,97000,122,0.915,0.2589338941574097
39,91435,115,0.902,0.31659465408325194
40,122440,154,0.914,0.2530941324234009
41,67585,85,0.913,0.2796182587146759
42,54070,68,0.914,0.2687555711269379
43,34195,43,0.907,0.30093837857246397
44,42940,54,0.902,0.30824908781051635
45,36580,46,0.902,0.30742092871665955
46,32605,41,0.9,0.31602523231506346
47,31810,40,0.901,0.2984165716171265
48,37375,47,0.905,0.2857497172355652
49,37375,47,0.913,0.2919357385635376
50,37375,47,0.908,0.30817169046401977
51,37375,47,0.908,0.29633641719818116
52,38170,48,0.911,0.28015053367614745
53,28630,36,0.904,0.28139137363433836
54,46915,59,0.913,0.28097777771949767
55,43735,55,0.905,0.2839532442092895
56,49300,62,0.911,0.28373664009571076
57,58840,74,0.909,0.27478488397598266
58,70765,89,0.909,0.2737150278091431
59,87460,110,0.91,0.25903012466430664
60,102565,129,0.916,0.25610281610488894
61,74740,94,0.907,0.2866479225158691
62,74740,94,0.906,0.2743641247749329
63,54865,69,0.914,0.2719375114440918
64,61225,77,0.913,0.26663550567626954
65,62020,78,0.914,0.2681277346611023
66,69970,88,0.913,0.26219427394866945
67,69970,88,0.913,0.26607172656059264
68,61225,77,0.916,0.2606969244480133
69,66790,84,0.911,0.27178915333747866
70,79510,100,0.918,0.257878199338913
71,97000,122,0.905,0.2878609728813171
72,110515,139,0.919,0.2396139278411865
73,100975,127,0.918,0.2543482713699341
74,100975,127,0.909,0.2589764893054962
75,101770,128,0.909,0.26830007791519167
76,101770,128,0.918,0.25991554975509645
77,87460,110,0.915,0.24731819534301758
78,99385,125,0.917,0.24418617045879365
79,88255,111,0.92,0.25631498456001284
80,88255,111,0.896,0.3132570033073425
81,82690,104,0.91,0.2812193259000778
82,109720,138,0.917,0.244251264333725
83,128005,161,0.927,0.23209110164642335
84,148675,187,0.925,0.2293393589258194
85,182065,229,0.923,0.23631398665904998
86,207505,261,0.93,0.21054350030422211
87,169345,213,0.929,0.2311680418252945
88,134365,169,0.923,0.2481866910457611
89,159010,200,0.924,0.2261659128665924
90,169345,213,0.918,0.24108841454982757
91,199555,251,0.933,0.2091993253827095
92,169345,213,0.92,0.24223039436340332
93,217840,274,0.927,0.2432990111708641
94,130390,164,0.923,0.2363373055458069
95,124825,157,0.915,0.23361294507980346
96,134365,169,0.924,0.23550571596622466
97,139135,175,0.919,0.22416384649276733
98,164575,207,0.923,0.23570479202270508
99,164575,207,0.926,0.22876155471801757
100,180475,227,0.92,0.24932384037971497
101,201145,253,0.912,0.28489244389533996
102,201145,253,0.931,0.2092582647204399
103,196375,247,0.93,0.22010205066204072
104,122440,154,0.917,0.2436429169178009
105,146290,184,0.922,0.23296448945999146
106,131980,166,0.92,0.24419605767726899
