Experiment 1 ,07_03_2020_03-27-21

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.softmax
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.3

OUTPUT
generation_no,params_no,neurons_no,accuracy,loss
0,31810,40,0.823,1.0847178840637206
1,14320,18,0.679,1.2952894096374512
2,25450,32,0.83,1.1018349151611329
3,25450,32,0.822,1.112982204437256
4,26245,33,0.791,1.1469912757873535
5,28630,36,0.822,1.0811540756225586
6,34990,44,0.817,1.1044146041870118
7,26245,33,0.824,1.1009020347595215
8,50095,63,0.772,1.1810202980041504
9,29425,37,0.762,1.1651606760025024
10,31015,39,0.819,1.0728220233917236
11,31015,39,0.874,1.0627182083129882
12,33400,42,0.813,1.0977561178207398
13,33400,42,0.815,1.105310362815857
14,38170,48,0.852,1.1159874925613402
15,37375,47,0.84,1.1104457683563231
16,28630,36,0.821,1.1098445377349853
17,24655,31,0.809,1.12696901512146
18,15115,19,0.801,1.0932564601898194
19,20680,26,0.83,1.0948480558395386
20,62020,78,0.789,1.1292337446212768
21,77920,98,0.848,1.0932107772827149
22,31015,39,0.828,1.1109110012054444
23,24655,31,0.826,1.095665817260742
24,20680,26,0.839,1.1114616889953612
25,26245,33,0.8,1.1204205541610717
26,46120,58,0.795,1.142132152557373
27,36580,46,0.828,1.1062571125030518
28,30220,38,0.851,1.0769394664764405
29,42940,54,0.81,1.100746787071228
30,27835,35,0.806,1.0979119663238526
31,41350,52,0.805,1.1579329824447633
32,40555,51,0.853,1.1036998386383057
33,34195,43,0.791,1.120614532470703
34,14320,18,0.812,1.1317563199996947
35,23065,29,0.817,1.1287424354553222
36,63610,80,0.797,1.1418581924438476
37,14320,18,0.872,1.0671641521453858
38,17500,22,0.823,1.14039981842041
39,15910,20,0.821,1.0734194087982178
40,14320,18,0.813,1.1275572080612182
41,18295,23,0.717,1.1951260147094727
42,16705,21,0.772,1.1756247081756592
43,15910,20,0.735,1.212956615447998
44,19090,24,0.754,1.151495795249939
45,18295,23,0.788,1.177331060409546
46,18295,23,0.782,1.1018687191009522
47,18295,23,0.797,1.1589035301208497
48,15910,20,0.831,1.1456914081573486
49,15910,20,0.774,1.123593858718872
50,15910,20,0.861,1.0933189296722412
51,12730,16,0.817,1.1045344924926759
52,25450,32,0.76,1.1253507928848268
53,24655,31,0.783,1.1242146434783935
54,23065,29,0.874,1.0560959024429322
55,14320,18,0.769,1.1806952362060548
56,11935,15,0.88,1.1041315269470215
57,18295,23,0.769,1.1611573209762573
58,18295,23,0.814,1.1079462337493897
59,17500,22,0.719,1.2265491008758544
60,19885,25,0.78,1.1671718711853027
61,18295,23,0.813,1.0852799396514892
62,20680,26,0.817,1.113050763130188
63,23860,30,0.869,1.0861096591949464
64,22270,28,0.778,1.1482477445602417
65,31015,39,0.83,1.075655584335327
66,21475,27,0.818,1.0930370635986328
67,16705,21,0.797,1.146852725982666
68,25450,32,0.824,1.1080942974090575
69,25450,32,0.829,1.1175717115402222
70,27835,35,0.812,1.100699306488037
71,25450,32,0.82,1.0748334503173829
72,21475,27,0.777,1.1801177701950074
73,27040,34,0.772,1.1408707666397095
74,31015,39,0.815,1.0913062906265258
75,26245,33,0.744,1.1413422775268556
76,17500,22,0.795,1.1153954238891601
77,31810,40,0.836,1.1274813232421874
78,15115,19,0.742,1.1501598644256592
79,19090,24,0.791,1.1672903423309327
80,15115,19,0.824,1.0754789142608643
81,19885,25,0.738,1.1919241037368775
82,11935,15,0.775,1.1468462829589843
83,23860,30,0.728,1.2079242782592774
84,22270,28,0.781,1.12395147895813
85,33400,42,0.826,1.0969374799728393
86,22270,28,0.808,1.1078933353424072
87,23065,29,0.755,1.1596331691741943
88,21475,27,0.755,1.2116816329956055
89,27040,34,0.831,1.090726014137268
90,15115,19,0.781,1.1337205305099487
91,23860,30,0.831,1.1027713146209717
92,24655,31,0.824,1.1008347053527832
93,32605,41,0.789,1.133098048210144
94,26245,33,0.812,1.0871081676483154
95,27835,35,0.754,1.2078083972930909
96,40555,51,0.789,1.1321788263320922
97,38965,49,0.884,1.0630787839889526
98,27040,34,0.841,1.1051898221969605
99,27835,35,0.798,1.1284361362457276
100,42145,53,0.817,1.0860417232513428
101,37375,47,0.86,1.0818198413848876
102,37375,47,0.826,1.122321473121643
103,30220,38,0.822,1.1052602348327636
104,30220,38,0.821,1.0890023555755615
105,34195,43,0.794,1.103855146408081
106,19090,24,0.799,1.1586156311035156
107,26245,33,0.793,1.1344239416122437
108,26245,33,0.847,1.0666208124160768
109,21475,27,0.799,1.1781040287017823
110,26245,33,0.79,1.1671159677505494
111,42940,54,0.813,1.1159358367919923
112,16705,21,0.871,1.0874095678329467
113,26245,33,0.765,1.105668592453003
114,16705,21,0.821,1.0980869884490967
115,15910,20,0.808,1.1128350830078124
116,37375,47,0.865,1.068076579093933
117,23065,29,0.865,1.063840961456299
118,39760,50,0.834,1.1088858461380005
119,33400,42,0.847,1.100879409790039
120,36580,46,0.843,1.1010383491516114
