Experiment 1 ,12_03_2020_01-45-05

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,1800
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.softmax
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.2

OUTPUT
generation_no,params_no,neurons_no,accuracy,loss
0,33400,42,0.81,1.112927987098694
1,24655,31,0.763,1.222932819366455
2,34990,44,0.804,1.1243540649414063
3,38170,48,0.87,1.0880046806335448
4,26245,33,0.839,1.0905787773132325
5,27040,34,0.842,1.0879347438812257
6,34990,44,0.791,1.148701566696167
7,38965,49,0.81,1.1249070196151734
8,22270,28,0.824,1.1116088180541992
9,19885,25,0.763,1.1368169813156128
10,27835,35,0.827,1.0754455194473267
11,30220,38,0.88,1.0612358074188233
12,37375,47,0.878,1.057776328086853
13,27835,35,0.842,1.0632764301300048
14,22270,28,0.774,1.0907039289474487
15,28630,36,0.828,1.1413214073181153
16,26245,33,0.813,1.1326206779479981
17,41350,52,0.79,1.1609889068603516
18,36580,46,0.81,1.1188314552307128
19,24655,31,0.837,1.1092455806732178
20,23860,30,0.884,1.0570535020828247
21,35785,45,0.812,1.0866995630264282
22,27835,35,0.821,1.0810884885787964
23,27835,35,0.834,1.0861728076934813
24,38965,49,0.838,1.1032383441925049
25,38170,48,0.882,1.0925521869659425
26,34990,44,0.868,1.0862925777435302
27,27040,34,0.851,1.091648434638977
28,32605,41,0.846,1.120615737915039
29,26245,33,0.853,1.0827664756774902
30,42940,54,0.786,1.1129152660369872
31,38965,49,0.847,1.0964283294677735
32,38170,48,0.885,1.0629113883972168
33,36580,46,0.819,1.1500114679336548
34,47710,60,0.82,1.117990611076355
35,23860,30,0.844,1.0800330381393433
36,42145,53,0.803,1.0958395795822145
37,42145,53,0.812,1.1246049346923828
38,28630,36,0.834,1.1159223785400392
39,19885,25,0.789,1.1208831615447998
40,65995,83,0.885,1.0786307811737061
41,21475,27,0.813,1.125260892868042
42,27040,34,0.796,1.1330794267654418
43,20680,26,0.825,1.1006152935028075
44,23065,29,0.791,1.1317225856781006
45,21475,27,0.813,1.0744311618804931
46,69970,88,0.808,1.1036399221420288
47,46120,58,0.829,1.1026067085266114
48,58045,73,0.777,1.1754823484420776
49,38965,49,0.822,1.1134799909591675
50,44530,56,0.816,1.1018039245605469
51,49300,62,0.832,1.1491051645278931
52,50095,63,0.815,1.1285917339324951
53,46915,59,0.809,1.1233098878860475
54,50890,64,0.846,1.1046778507232666
55,38965,49,0.827,1.122225534439087
56,34990,44,0.814,1.1151615896224976
57,52480,66,0.841,1.1103176393508911
58,31810,40,0.788,1.1384492101669312
59,28630,36,0.855,1.099445086479187
60,29425,37,0.856,1.0773429660797118
61,23065,29,0.88,1.050170343399048
62,38965,49,0.8,1.1479180297851563
63,18295,23,0.821,1.1203363151550294
64,32605,41,0.783,1.1344323024749756
65,21475,27,0.821,1.1146562690734862
66,36580,46,0.847,1.0902081775665282
67,23065,29,0.814,1.1171169109344483
68,22270,28,0.833,1.1019500074386597
69,65995,83,0.882,1.0940217819213867
70,78715,99,0.805,1.1271387901306151
71,77920,98,0.851,1.104831615447998
72,53275,67,0.888,1.0593126335144043
73,80305,101,0.832,1.1246098756790162
74,95410,120,0.764,1.1921718034744262
75,72355,91,0.811,1.101688570022583
76,109720,138,0.878,1.0676258926391602
77,93025,117,0.878,1.0958028831481934
78,83485,105,0.846,1.097430510520935
79,71560,90,0.856,1.0924536724090577
80,49300,62,0.866,1.0939865589141846
81,59635,75,0.838,1.1260997171401979
82,83485,105,0.872,1.081432008743286
83,46120,58,0.878,1.0659334726333618
84,36580,46,0.841,1.106439380645752
85,78715,99,0.887,1.076550802230835
86,64405,81,0.881,1.0608312015533448
87,65995,83,0.789,1.1544406042098998
88,93820,118,0.881,1.0836275691986084
