Experiment 3 ,05_03_2020_05-31-11

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.selu
initial_max_nodes ,50
loss_function ,Loss.categorical_crossentropy
optimizer ,Optimizer.SGD

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.3

OUTPUT
generation_no,neurons_no,accuracy,loss
0,42,0.861,0.5002361345291138
1,56,0.872,0.49089009714126586
2,67,0.867,0.48466474342346194
3,50,0.867,0.4980058345794678
4,68,0.856,0.4802700533866882
5,62,0.862,0.4957831392288208
6,69,0.863,0.4857713165283203
7,80,0.868,0.47537946319580077
8,102,0.867,0.4805757737159729
9,126,0.872,0.4581444139480591
10,77,0.863,0.48597457122802734
11,30,0.87,0.5201074023246766
12,40,0.862,0.5112154178619385
13,39,0.863,0.5010848507881165
14,53,0.854,0.517268445968628
15,67,0.856,0.4987134623527527
16,52,0.863,0.47650511264801027
17,62,0.862,0.4860512714385986
18,71,0.868,0.49247357082366944
19,71,0.87,0.4779925332069397
20,109,0.862,0.4762623009681702
21,78,0.862,0.4947157688140869
22,79,0.854,0.4996214542388916
23,68,0.872,0.4859574708938599
24,77,0.864,0.48473832607269285
25,93,0.873,0.4845415244102478
26,111,0.855,0.4758179216384888
27,93,0.863,0.4731179347038269
28,83,0.863,0.4811462154388428
29,95,0.866,0.48554358863830566
30,95,0.865,0.48654646015167236
31,119,0.867,0.4667298178672791
32,86,0.866,0.47573707103729246
33,73,0.863,0.4965287094116211
34,202,0.87,0.45597530126571656
35,202,0.861,0.4585719566345215
36,111,0.87,0.4787505369186401
37,217,0.865,0.46049132776260376
38,133,0.875,0.4617819585800171
39,204,0.866,0.4569074878692627
40,233,0.869,0.46861081314086916
41,297,0.872,0.45399516773223875
42,228,0.874,0.45688949346542357
43,284,0.87,0.45490378189086916
44,255,0.871,0.4627503399848938
45,352,0.868,0.45057441806793214
46,378,0.871,0.4503799867630005
47,378,0.873,0.4479004225730896
48,373,0.868,0.4651336555480957
49,899,0.874,0.4327634081840515
50,1005,0.874,0.4302153491973877
51,1543,0.885,0.41391703033447264
52,2156,0.877,0.4271277813911438
53,3013,0.885,0.4137177128791809
54,2627,0.882,0.4177129740715027
55,2246,0.877,0.4291909832954407
56,921,0.878,0.4285638656616211
57,934,0.882,0.43104363489151
58,1236,0.878,0.4244898433685303
59,1339,0.879,0.4285050277709961
60,1180,0.876,0.4265969638824463
61,1299,0.875,0.4279266719818115
62,2177,0.885,0.4144651737213135
63,1899,0.88,0.4206954250335693
64,2268,0.882,0.4176419105529785
65,2347,0.881,0.4237253875732422
66,1437,0.872,0.431959050655365
67,1529,0.888,0.41609233808517454
68,1442,0.874,0.4270198945999146
69,1554,0.877,0.43018766450881957
70,1455,0.874,0.4242012252807617
71,1465,0.881,0.4277217030525208
72,1028,0.879,0.43231104469299314
73,759,0.879,0.4347353506088257
74,1015,0.886,0.41874801349639895
75,738,0.871,0.4433718476295471
76,1033,0.883,0.4265626983642578
77,1099,0.875,0.4246568880081177
78,982,0.878,0.43199546718597415
79,982,0.869,0.4315283126831055
80,1457,0.885,0.4305810680389404
81,1724,0.875,0.4239358043670654
82,2151,0.879,0.41988559818267823
83,1775,0.884,0.41836627531051634
84,2410,0.878,0.4209821786880493
85,2064,0.88,0.4207049593925476
86,2420,0.883,0.4145791187286377
87,2201,0.874,0.41815164470672606
88,1908,0.879,0.4165375370979309
89,2386,0.886,0.41205635690689085
90,3342,0.879,0.41496242094039915
91,2124,0.882,0.41842002773284914
92,1774,0.877,0.41925448846817015
93,2117,0.881,0.4214207601547241
94,2473,0.884,0.41754596948623657
95,2261,0.876,0.4254008445739746
96,3012,0.872,0.4307022795677185
97,2432,0.872,0.42873362493515016
98,2754,0.883,0.41150201034545897
99,2919,0.876,0.4277986187934876
100,4020,0.885,0.4110508589744568
101,5641,0.879,0.4069312348365784
102,6753,0.88,0.41060290575027464
103,6446,0.887,0.40934473085403444
104,8626,0.888,0.4029214963912964
