Experiment 1 ,04_03_2020_21-34-43

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Nadam

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.3

OUTPUT
generation_no,neurons_no,accuracy,loss
0,42,0.911,0.2990289144515991
1,42,0.908,0.29246073031425474
2,75,0.912,0.2649507100582123
3,106,0.919,0.2619599277973175
4,122,0.913,0.25665794444084167
5,131,0.919,0.24739210331439973
6,184,0.922,0.21922475934028626
7,180,0.923,0.23352381944656372
8,171,0.929,0.22512667417526244
9,149,0.917,0.2466987156867981
10,204,0.919,0.22989999055862426
11,295,0.929,0.20661144602298737
12,295,0.926,0.22348061513900758
13,364,0.934,0.21116626250743867
14,427,0.928,0.21806242024898528
15,529,0.934,0.20399366784095765
16,727,0.924,0.20159790295362473
17,586,0.929,0.20255806136131288
18,715,0.938,0.17999144124984742
19,1046,0.94,0.19587890157103538
20,1375,0.942,0.19494430649280547
21,742,0.933,0.22033225631713868
22,983,0.938,0.18551268935203552
23,612,0.93,0.21220232856273652
24,927,0.946,0.18200937461853028
25,1095,0.945,0.1865492309331894
26,942,0.93,0.19581902250647545
27,1207,0.938,0.1908316887617111
28,1736,0.943,0.1823529880642891
29,1441,0.945,0.18190699043869973
30,2121,0.934,0.1968348814845085
31,3241,0.948,0.1829315440058708
32,1981,0.946,0.17430723595619202
33,2803,0.945,0.17373612171411515
34,3168,0.929,0.2363349664211273
35,5968,0.949,0.18159403216838838
36,4175,0.942,0.1950201456695795
37,3561,0.947,0.1808471744209528
38,4942,0.945,0.2143486410677433
39,2784,0.94,0.19920841950178148
40,3836,0.936,0.2056471249461174
41,3698,0.945,0.1751176374554634
42,8775,0.951,0.183289773568511
43,5503,0.937,0.18405996072292327
44,6646,0.93,0.22853681138157844
45,6375,0.941,0.18836442984640597
