Experiment 1 ,04_03_2020_06-22-02

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.selu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.3

OUTPUT
generation_no,neurons_no,accuracy,loss
0,49,0.904,0.3133689992427826
1,49,0.897,0.3321076807975769
2,49,0.896,0.3435578873157501
3,86,0.893,0.3469596567153931
4,86,0.893,0.35126973533630373
5,158,0.892,0.34892723774909973
6,106,0.889,0.3555650415420532
7,208,0.895,0.32634696960449217
8,87,0.896,0.3358679957389831
9,153,0.897,0.3337029640674591
10,206,0.89,0.3448622121810913
11,197,0.886,0.3555656714439392
12,468,0.898,0.3328700203895569
13,384,0.895,0.3407868092060089
14,467,0.887,0.39508265209197996
15,122,0.902,0.32976579904556275
16,155,0.899,0.33869711685180665
17,216,0.9,0.346863187789917
18,155,0.903,0.32680913209915163
19,282,0.887,0.3696642830371857
20,162,0.896,0.3459189808368683
21,200,0.881,0.37230997788906095
22,349,0.893,0.3440071859359741
23,364,0.887,0.37544982171058655
24,155,0.888,0.34771542835235597
25,306,0.899,0.36238166189193727
26,429,0.876,0.4216036944389343
27,423,0.89,0.3739542174339294
28,212,0.899,0.337875324010849
29,243,0.894,0.34412631106376645
30,282,0.882,0.38755815696716306
31,231,0.898,0.32669223833084104
32,347,0.878,0.41333542799949646
33,362,0.891,0.34990078485012055
34,528,0.895,0.3815898790359497
35,391,0.894,0.36674142122268677
36,286,0.882,0.38502032685279847
37,286,0.891,0.3670581409931183
38,286,0.89,0.3832995238304138
39,306,0.887,0.34813026094436644
40,499,0.889,0.3766273919343948
41,456,0.878,0.39249416637420653
42,499,0.89,0.3878903090953827
43,499,0.896,0.36536839175224306
44,537,0.887,0.39479084706306455
45,839,0.897,0.37311736965179443
46,677,0.868,0.4405386459827423
47,655,0.884,0.4295136926174164
48,655,0.901,0.3660250940322876
49,1280,0.876,0.450592381477356
50,637,0.897,0.37433917808532713
51,637,0.873,0.4550846266746521
52,550,0.889,0.38417620408535
53,703,0.868,0.47936836814880374
54,858,0.896,0.39367876553535464
55,997,0.86,0.496314013004303
56,679,0.892,0.4006848368644714
57,679,0.881,0.3868008232116699
58,745,0.896,0.3927909133434296
59,937,0.881,0.3952741465568542
60,1192,0.872,0.4558939001560211
61,1370,0.896,0.38452976393699645
62,1452,0.858,0.5130958852767944
63,1306,0.89,0.4345324296951294
64,1268,0.882,0.42128958225250246
65,1056,0.868,0.4507923972606659
66,1028,0.874,0.4556491425037384
67,1437,0.87,0.4904538960456848
68,1437,0.888,0.44713443744182585
69,1426,0.895,0.407484214425087
70,1190,0.871,0.4317060399055481
71,1763,0.881,0.41356677973270417
72,2510,0.863,0.5321644515991211
73,2155,0.878,0.47247162771224976
74,2155,0.888,0.429706472158432
75,1656,0.891,0.4350204598903656
76,1450,0.869,0.5137724049091339
77,1450,0.885,0.4230634205341339
78,2096,0.881,0.4637613816261292
79,1526,0.877,0.48292361974716186
80,1896,0.855,0.5749989337921143
81,2761,0.886,0.45513490033149717
82,2761,0.866,0.4985066182613373
83,5461,0.838,0.6382646389007568
84,7426,0.861,0.6085243887901306
