Experiment 3 ,02_03_2020_15-41-11

Data shape and running
input_shape ,"(1, 1)"
output_shape ,1
scaling ,1.0
epochs ,1
max_runtime,1
dataset_percentage,1.0
dataset,mnist

Hyper parameters
activation_function ,Activation.elu
initial_max_nodes ,1
loss_function ,Loss.squared_hinge
optimizer ,Optimizer.SGD

GA parameters
population_size ,1
mating_pool ,1
mutation_rate,1.0

OUTPUT
epoch,accumulated_time,accuracy,loss
1,10.0170419216156,0.988,0.09257086893543601
2,17.82596445083618,0.986,0.11794731812551618
3,25.816590070724487,0.985,0.07913190682046116
4,33.91313147544861,0.986,0.06763837046734988
5,42.05321979522705,0.985,0.07101451145485044
6,50.19742774963379,0.988,0.06292365412414073
7,58.34144616127014,0.99,0.057348062696866695
8,66.5704276561737,0.988,0.062482371943071484
9,74.86421966552734,0.989,0.0838147544329986
10,83.15492820739746,0.99,0.08659011842124165
11,91.44348049163818,0.987,0.09309544460661709
12,99.71700811386108,0.981,0.1381057143714279
13,107.99902772903442,0.987,0.09204221324343234
14,116.27230429649353,0.986,0.07173715387657285
15,124.54584956169128,0.984,0.08908743085339665
16,132.82333087921143,0.981,0.11321927913837135
17,141.10231637954712,0.985,0.10609195866528899
18,149.3873805999756,0.985,0.1044434463540092
19,158.06017875671387,0.984,0.08325762316025793
20,166.99274063110352,0.986,0.08328240527585148
21,175.8859601020813,0.991,0.058984540350735186
22,184.79412698745728,0.982,0.09472805249411613
23,193.70428848266602,0.989,0.07212116643041372
24,202.58455610275269,0.989,0.08260969167016446
25,211.4977080821991,0.983,0.09159515802003443
26,220.42582249641418,0.99,0.04677724692504853
27,229.34796404838562,0.987,0.06757768681365997
28,238.24714374542236,0.988,0.06829019411187619
29,247.16030883789062,0.984,0.09805042087845504
30,256.0664691925049,0.986,0.08572333624400198
31,264.9724304676056,0.984,0.11920452370960265
32,273.87660694122314,0.984,0.08556384748406708
33,282.75984144210815,0.987,0.09638104280084371
34,291.66202425956726,0.985,0.11578890880569816
35,300.5562286376953,0.977,0.1617038549752906
36,309.45741415023804,0.983,0.11033719064854085
37,318.36066341400146,0.986,0.08077119586151094
38,327.2957639694214,0.986,0.0882508809203282
39,336.26121735572815,0.991,0.06345116073358804
40,345.1653847694397,0.99,0.08354535278771072
41,354.083535194397,0.987,0.09443488120101393
42,362.9992980957031,0.985,0.09623947664070874
43,371.93066596984863,0.984,0.11216386878769845
44,380.85080122947693,0.987,0.07516400598920882
45,389.8247215747833,0.987,0.0829271590365097
46,398.90050506591797,0.989,0.08616169140953571
47,407.8480908870697,0.984,0.0981376418704167
48,416.7373077869415,0.982,0.13149232113175094
49,425.59153866767883,0.984,0.10702515329513698
50,434.43809151649475,0.983,0.11113008417002856
51,443.4332399368286,0.983,0.11196048908680678
52,452.4417037963867,0.985,0.10150824556220323
53,461.4411590099335,0.985,0.10611203895322978
54,470.43422412872314,0.98,0.14738321705162524
55,479.340101480484,0.984,0.12361796597670764
56,488.4971921443939,0.98,0.11807567090075463
57,497.41491317749023,0.985,0.09422149274032562
58,506.4178075790405,0.987,0.07644341561384499
59,514.8213241100311,0.991,0.06504595799557865
60,523.2467839717865,0.987,0.09575452109239996
61,531.6539676189423,0.986,0.09790971924643964
62,540.0619239807129,0.985,0.09678435143269598
63,548.4574253559113,0.985,0.09911979364138096
64,556.8439886569977,0.985,0.10541333699505775
65,565.2761082649231,0.986,0.10028751061297952
66,573.6412856578827,0.985,0.09923636900167912
67,582.3031415939331,0.985,0.10478599935211241
68,590.6272265911102,0.984,0.10986777033098041
69,599.0106115341187,0.983,0.06576944874227048
70,607.4751234054565,0.983,0.07698259918391705
71,616.75732588768,0.98,0.09061076954379678
72,626.9129619598389,0.983,0.08250829671695828
73,637.0582075119019,0.985,0.10185764362849295
74,647.228024482727,0.986,0.08726058256812394
75,657.3758430480957,0.981,0.07726444408018142
76,667.5546946525574,0.984,0.074624083859846
77,677.7118437290192,0.981,0.0935370778683573
78,687.8735983371735,0.983,0.07691080726124347
79,698.0598940849304,0.982,0.10854079253505916
80,708.193421125412,0.984,0.0918386367931962
