Experiment 2 ,13_05_2020_03-16-46

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,10
max_runtime,3600
dataset_percentage,0.05
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,100
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adam

GA parameters
population_size ,5
mating_pool ,5
mutation_rate,0.6

OUTPUT
generation_no,params_no,layers_no,accuracy,loss
0,99175,4,0.936,0.25677769804000855
1,99175,4,0.926,0.2509416384100914
2,90245,3,0.93,0.24756628465652467
3,121497,4,0.936,0.2541612236499786
4,135976,4,0.938,0.24628857654333114
5,144213,5,0.934,0.25119467794895173
6,133096,4,0.914,0.3105554211139679
7,124253,3,0.938,0.23131984287500382
8,166732,5,0.934,0.23975285243988037
9,166732,5,0.938,0.22208485901355743
10,166732,5,0.922,0.33450314855575564
11,166732,5,0.912,0.33944481086730954
12,179762,5,0.938,0.2427371175289154
13,158005,3,0.944,0.21980245143175126
14,149048,3,0.934,0.24015534761548044
15,148338,4,0.934,0.2645767103433609
16,173577,3,0.934,0.24806203451752662
17,142169,3,0.93,0.27138859939575194
18,138737,3,0.952,0.20618829476833345
19,170250,3,0.934,0.23075857722759247
20,136053,3,0.936,0.2541621353626251
21,138737,3,0.94,0.23290396416187287
22,112703,3,0.93,0.2294771301150322
23,161327,4,0.942,0.22718144237995147
24,115035,2,0.93,0.2369090564250946
25,129691,2,0.946,0.21561522710323333
26,140451,3,0.934,0.24507120430469512
27,176175,3,0.946,0.210334538936615
28,176175,3,0.948,0.20914738285541534
29,217820,3,0.95,0.2130420607328415
30,178873,3,0.938,0.2186941800713539
31,178873,3,0.934,0.2158954553604126
32,190503,3,0.928,0.2648098979592323
33,187723,4,0.938,0.2316709216237068
34,216773,4,0.934,0.23343786123394966
35,165590,4,0.932,0.26351514118909836
36,165590,4,0.946,0.22052216637134553
37,173193,4,0.944,0.2263995392918587
38,273000,4,0.938,0.22186615443229676
39,231929,3,0.946,0.1818707950115204
40,216644,3,0.94,0.19938968938589097
41,216644,3,0.944,0.22725032883882523
42,226799,3,0.94,0.19436201506853104
43,277343,2,0.94,0.2230846848487854
44,294745,3,0.952,0.19592860329151154
45,292575,2,0.946,0.20502039813995362
46,301657,3,0.94,0.2012741475701332
47,350457,3,0.952,0.19274308386445047
48,369935,3,0.938,0.22428234434127808
49,458491,3,0.95,0.15689381137490271
50,458491,3,0.942,0.23110185146331788
51,461913,4,0.948,0.21102170437574386
52,479067,3,0.952,0.19132975870370864
53,479067,3,0.936,0.22442198234796523
54,437831,3,0.948,0.18974403566122056
55,441071,3,0.948,0.20977542254328727
56,441071,3,0.948,0.20881530299782752
57,461429,3,0.946,0.22680115580558777
58,459103,3,0.946,0.1979357166737318
59,382193,3,0.936,0.22028259479999543
60,347451,2,0.95,0.19236661142110825
61,452591,3,0.95,0.20177867645025252
62,439229,3,0.952,0.17588957370072603
63,411553,3,0.948,0.2117184905782342
64,411553,3,0.948,0.1778873845934868
65,411553,3,0.95,0.2118031179010868
66,383002,3,0.948,0.20882498148083686
67,383002,3,0.952,0.20437871626019477
68,277876,2,0.942,0.18745171523094178
69,383002,3,0.942,0.22947329787909984
70,383002,3,0.948,0.2192823159247637
71,379925,3,0.932,0.2131485094279051
72,443843,3,0.946,0.22347552609443663
73,435945,3,0.954,0.21294415575265885
74,435945,3,0.956,0.2284636142849922
75,435945,3,0.954,0.18936102172732353
76,435945,3,0.934,0.24071350073814393
77,435945,3,0.956,0.18123096807301045
78,459026,3,0.94,0.21923437824845313
79,662319,2,0.944,0.19271430864930153
80,662319,2,0.952,0.18221308991312982
81,662319,2,0.95,0.18730089420080184
82,685277,3,0.948,0.2136738937497139
83,662319,2,0.946,0.20888730722665788
84,644967,2,0.956,0.1711925584077835
85,861423,2,0.932,0.22938203725218773
86,525505,1,0.94,0.20638435101509095
87,525505,1,0.938,0.1945545015335083
88,561903,2,0.942,0.20092835944890977
89,584079,2,0.952,0.18005078783631326
90,658581,2,0.936,0.21120629942417143
91,582269,2,0.948,0.18351771956682206
92,603132,2,0.95,0.18765919035673143
93,676911,2,0.948,0.1851226966381073
94,684887,3,0.958,0.1850070091933012
95,684887,3,0.95,0.21626740534603595
96,860081,3,0.946,0.18497019985318183
97,860081,3,0.946,0.1899085818529129
98,984276,3,0.948,0.19298879636824132
99,1143593,3,0.952,0.18292513258755208
100,1137483,2,0.954,0.18709865027666092
101,1084075,2,0.946,0.18748631154000758
102,1134919,2,0.948,0.19758644795417785
103,1258687,3,0.95,0.19027847316861152
104,1110561,2,0.958,0.1743822877705097
105,1422787,2,0.95,0.18073245510458946
106,1686889,2,0.948,0.20173762521147728
107,1870155,2,0.952,0.19181638045608998
108,1870155,2,0.952,0.19020361042022704
109,1818307,2,0.946,0.1749439558982849
110,2188655,2,0.95,0.18816735857725145
111,2172728,3,0.944,0.18574849024415016
112,2188655,2,0.958,0.1684078321456909
113,2522175,2,0.954,0.17614896123111248
114,1732255,2,0.944,0.1926962611079216
115,1681476,2,0.944,0.1918744210600853
116,2165057,2,0.954,0.17293638678640127
117,2165057,2,0.946,0.18826951950788498
118,2165057,2,0.944,0.19677684137225152
119,2165057,2,0.954,0.167346955999732
120,2165057,2,0.946,0.18374561451375485
121,2165057,2,0.954,0.1686730986684561
122,2165057,2,0.962,0.1833219928443432
123,2165057,2,0.948,0.20050337009131908
124,2165057,2,0.948,0.18873138931393624
125,2165057,2,0.954,0.17689154420793057
126,2475644,2,0.948,0.18531225936114787
127,2475644,2,0.954,0.19246670198440552
128,2475644,2,0.94,0.18680920094251632
129,2139819,2,0.948,0.17941592127084732
130,2126481,2,0.956,0.18411337324231863
131,2126481,2,0.948,0.18745862936973573
132,2126481,2,0.952,0.1718841237425804
133,1991391,2,0.954,0.18329357397556306
134,1979763,2,0.952,0.20181930278241633
135,1979763,2,0.952,0.1758026335313916
136,1984375,2,0.95,0.1820595304220915
137,2211075,2,0.954,0.17350763496756555
138,2204280,2,0.954,0.19756221462786197
139,2168040,2,0.958,0.1676235447973013
140,1932709,3,0.952,0.21426064293086527
141,2337612,3,0.944,0.20195559246838093
142,2333449,2,0.96,0.1746969217956066
143,2343981,3,0.96,0.16563767454773187
144,2343981,3,0.952,0.17809882511198522
145,2343981,3,0.952,0.20614452223479748
146,2978877,3,0.946,0.23104544244706632
147,3508987,3,0.938,0.23733475387096406
148,2694151,2,0.958,0.15735036367177963
149,3148779,2,0.946,0.1986264594644308
150,3174966,2,0.95,0.18850795969367026
151,2519696,2,0.944,0.17293164658546448
152,2519696,2,0.952,0.1645560913681984
153,2519696,2,0.944,0.1822278537452221
154,2657541,2,0.95,0.1859321893453598
155,2617332,2,0.956,0.1982994488030672
156,2608053,2,0.954,0.18156632267683745
157,3504887,2,0.954,0.1684044458642602
158,3506975,2,0.962,0.15596646156907082
159,3506975,2,0.96,0.1667955522239208
160,3068799,2,0.952,0.19216662902384996
161,3068799,2,0.96,0.16799361730366946
162,3068799,2,0.946,0.17474709288775922
163,2470943,2,0.956,0.1951661722585559
164,2470943,2,0.958,0.18298994895815848
165,2416863,2,0.954,0.1758785230666399
166,2031972,2,0.956,0.1765659642443061
167,2031972,2,0.95,0.19305160693824291
168,1977927,3,0.946,0.19158225625008346
169,1970521,2,0.952,0.17667185370624067
170,2543338,2,0.954,0.17294963270425798
171,2513121,2,0.964,0.1790097493082285
172,2040351,2,0.952,0.16848895552754403
173,2501033,2,0.954,0.1808015937358141
174,2361975,2,0.952,0.17250215075910091
175,2409675,2,0.956,0.19222507552802562
176,1841260,2,0.958,0.1640815184265375
177,2162335,2,0.958,0.16023382300138472
178,2176719,2,0.95,0.1887519950121641
179,2142257,3,0.958,0.17207073472440243
180,2633985,2,0.946,0.2062415485829115
181,2974355,2,0.954,0.17945488776266574
182,2438400,2,0.952,0.18511537224054336
183,2258420,2,0.956,0.19005870221555232
184,2066955,2,0.946,0.18327553494274615
185,2600975,2,0.946,0.20003459733724593
186,2172255,2,0.964,0.1946630947291851
187,2172255,2,0.954,0.16166254308819772
188,2172255,2,0.952,0.16759635878354312
189,2091171,2,0.948,0.1846020941734314
190,2091171,2,0.946,0.20089160852134227
191,2091171,2,0.948,0.19186544117331505
192,2745545,2,0.954,0.16508109215646982
193,2745545,2,0.948,0.16085301399976015
194,2745545,2,0.958,0.1656151506230235
195,2868125,2,0.954,0.16884827709197997
196,2626220,2,0.954,0.17946023002266884
197,2862867,2,0.95,0.17116496305167675
198,2868719,3,0.95,0.20755285885185004
199,2862867,2,0.944,0.23363049376010894
200,3618732,2,0.954,0.1794333385452628
201,3618732,2,0.948,0.17901752626895903
202,3269100,2,0.95,0.19103521699458362
203,3110845,1,0.956,0.1736206858754158
204,3626005,1,0.95,0.1654598467350006
205,4014735,2,0.956,0.18175565730035306
206,3517575,2,0.956,0.18548244035989045
207,2744175,2,0.95,0.1622089963927865
208,2744175,2,0.95,0.1738859984278679
209,2744175,2,0.954,0.1723195782005787
210,2398773,2,0.94,0.18387500390410425
211,2049875,2,0.956,0.20055104122310877
212,2049875,2,0.946,0.169976528018713
213,3225905,2,0.946,0.18938348172605038
214,1657495,2,0.95,0.16718516522645951
215,1657495,2,0.95,0.1955487880408764
216,1765563,2,0.948,0.18364649304747582
217,1922427,2,0.952,0.18639398540556432
218,1954908,2,0.95,0.16640471179783345
219,2132253,2,0.954,0.17781017138808966
220,2132253,2,0.956,0.18327321779727937
221,2164253,3,0.946,0.19590575823187828
222,2597995,2,0.954,0.1740535663664341
223,2132253,2,0.954,0.1812790656387806
224,2523760,2,0.952,0.16459060809016227
225,2523760,2,0.954,0.1805122529938817
226,2483790,2,0.952,0.16121368848532439
227,2483790,2,0.946,0.18431339292228222
228,2489500,2,0.95,0.17598634472489358
229,2260990,1,0.942,0.18977517926692963
230,2595685,1,0.952,0.16936272823810578
231,3178420,1,0.958,0.17061050233244895
232,3503575,1,0.95,0.18561530545353888
233,3603745,1,0.944,0.18904446728527546
234,2727935,2,0.948,0.17808743941783906
235,2727935,2,0.954,0.1795402232706547
236,2727935,2,0.95,0.17235779389739037
