Experiment 1 ,09_04_2020_01-25-08

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.relu
initial_max_nodes ,50
loss_function ,Loss.sparse_categorical_crossentropy
optimizer ,Optimizer.Adamax

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.8

OUTPUT
generation_no,params_no,neurons_no,accuracy,loss
0,34195,43,0.886,0.40262158298492434
1,26245,33,0.874,0.41917831802368166
2,22270,28,0.874,0.4506154708862305
3,18295,23,0.88,0.4362309799194336
4,25450,32,0.88,0.4330442280769348
5,23065,29,0.873,0.4301246976852417
6,31810,40,0.88,0.4217401876449585
7,32605,41,0.872,0.4126697945594788
8,33400,42,0.881,0.41572859573364257
9,34195,43,0.888,0.3988210415840149
10,34195,43,0.879,0.43037273120880126
11,38965,49,0.886,0.39027306032180786
12,39760,50,0.892,0.3908462686538696
13,39760,50,0.887,0.38047984409332275
14,35785,45,0.887,0.3944268207550049
15,32605,41,0.887,0.4064957113265991
16,29425,37,0.884,0.41103816938400267
17,31810,40,0.879,0.40007381296157835
18,29425,37,0.891,0.41245791912078855
19,36580,46,0.873,0.40668811893463136
20,36580,46,0.877,0.4045930190086365
21,37375,47,0.882,0.3937090048789978
22,18295,23,0.871,0.4561219778060913
23,19090,24,0.871,0.46284933042526244
24,15910,20,0.874,0.4852595248222351
25,18295,23,0.87,0.4534750022888184
26,20680,26,0.874,0.4428879942893982
27,22270,28,0.876,0.4316465139389038
28,22270,28,0.87,0.4337104992866516
29,22270,28,0.87,0.4608905739784241
30,22270,28,0.879,0.44956225061416627
31,26245,33,0.867,0.4518435835838318
32,27835,35,0.889,0.4128866333961487
33,13525,17,0.849,0.5272874369621277
34,15910,20,0.857,0.48586046981811526
35,19090,24,0.87,0.45497072172164915
36,16705,21,0.86,0.4833081159591675
37,18295,23,0.879,0.450208571434021
38,20680,26,0.875,0.4542781252861023
39,15910,20,0.869,0.47930996894836425
40,20680,26,0.871,0.4536163988113403
41,25450,32,0.868,0.44923317527770995
42,22270,28,0.886,0.4190780425071716
43,21475,27,0.875,0.4436774611473083
44,15115,19,0.864,0.47589004707336424
45,20680,26,0.876,0.44183295917510984
46,20680,26,0.88,0.4355372953414917
47,21475,27,0.866,0.45071748781204224
48,25450,32,0.881,0.4275841817855835
49,19885,25,0.875,0.4467483696937561
50,25450,32,0.877,0.40845853424072265
51,31810,40,0.884,0.41061326026916506
52,18295,23,0.876,0.4483698434829712
53,23065,29,0.88,0.4247183423042297
54,23065,29,0.867,0.45124948978424073
55,20680,26,0.873,0.45275889682769777
56,23860,30,0.882,0.423257523059845
57,25450,32,0.876,0.4187719640731812
58,22270,28,0.876,0.44146663475036624
59,17500,22,0.878,0.43547557973861695
60,19090,24,0.873,0.43685365152359007
61,19090,24,0.88,0.4344468660354614
62,15115,19,0.863,0.47759492111206053
63,16705,21,0.866,0.46870495557785036
64,16705,21,0.857,0.4897260856628418
65,19885,25,0.879,0.44720011568069457
66,19885,25,0.868,0.4615684566497803
67,23860,30,0.887,0.41278791618347166
68,23860,30,0.886,0.4360564479827881
69,23860,30,0.883,0.4176869130134582
70,31810,40,0.882,0.406796736240387
71,31810,40,0.88,0.4077385206222534
72,36580,46,0.88,0.39923024559021
73,42145,53,0.889,0.3827457184791565
74,42145,53,0.888,0.37810082387924193
75,70765,89,0.896,0.35589639616012575
76,81895,103,0.899,0.34838725519180297
77,81895,103,0.888,0.35967349529266357
78,81895,103,0.894,0.34322544240951536
79,90640,114,0.9,0.34245220804214477
80,87460,110,0.893,0.36876071977615354
81,17500,22,0.879,0.44708393955230713
82,17500,22,0.874,0.46030057668685914
83,21475,27,0.873,0.44686461925506593
84,23860,30,0.881,0.4197902760505676
85,22270,28,0.875,0.44063517570495603
86,25450,32,0.864,0.43744263410568235
87,27835,35,0.888,0.4140452184677124
88,19090,24,0.869,0.46103300476074216
89,19090,24,0.876,0.4480927586555481
90,24655,31,0.878,0.42250508117675784
91,20680,26,0.871,0.4535073266029358
92,23065,29,0.883,0.43370703744888306
93,22270,28,0.872,0.44131615924835205
94,23065,29,0.871,0.4507089295387268
95,23065,29,0.885,0.433506977558136
96,23860,30,0.876,0.43698070526123045
97,23860,30,0.872,0.43854293203353883
98,19885,25,0.874,0.44115408515930177
99,27040,34,0.885,0.41161570692062377
100,26245,33,0.875,0.41520497179031374
101,25450,32,0.881,0.42758185720443725
102,20680,26,0.876,0.44687810230255126
103,11935,15,0.859,0.5253557333946228
104,15910,20,0.866,0.4818210444450378
105,15910,20,0.871,0.4677732534408569
106,16705,21,0.868,0.46942998027801514
107,23065,29,0.869,0.4522662601470947
108,15115,19,0.861,0.4741494588851929
