Experiment 3 ,10_04_2020_03-46-33

Data shape and running
input_shape ,"(28, 28)"
output_shape ,10
scaling ,255.0
epochs ,5
max_runtime,3600
dataset_percentage,0.1
dataset,mnist

Hyper parameters
activation_function ,Activation.selu
initial_max_nodes ,50
loss_function ,Loss.categorical_crossentropy
optimizer ,Optimizer.SGD

GA parameters
population_size ,10
mating_pool ,10
mutation_rate,0.8

OUTPUT
generation_no,params_no,neurons_no,accuracy,loss
0,29425,37,0.855,0.5082338228225708
1,29425,37,0.863,0.5169829063415528
2,42940,54,0.862,0.5014781103134155
3,46915,59,0.872,0.4744927988052368
4,22270,28,0.855,0.5046362700462341
5,40555,51,0.866,0.49341426181793213
6,38965,49,0.864,0.4965835771560669
7,46915,59,0.869,0.479209228515625
8,42940,54,0.866,0.4950615005493164
9,65995,83,0.856,0.4863893895149231
10,50890,64,0.856,0.4958188533782959
11,66790,84,0.867,0.49000824022293094
12,18295,23,0.853,0.5349002056121827
13,25450,32,0.857,0.5025937414169311
14,19885,25,0.86,0.5284158411026001
15,18295,23,0.857,0.5352626638412475
16,13525,17,0.854,0.5387463073730469
17,10345,13,0.853,0.5716318297386169
18,15115,19,0.863,0.5377935609817505
19,11935,15,0.844,0.5718579416275025
20,14320,18,0.85,0.5443462543487548
21,12730,16,0.847,0.5673836989402771
22,8755,11,0.835,0.6246351642608643
23,12730,16,0.839,0.5536638202667237
24,9550,12,0.845,0.5703619723320007
25,9550,12,0.844,0.5462068204879761
26,11935,15,0.853,0.5573447732925415
27,11140,14,0.857,0.5677220892906188
28,9550,12,0.846,0.5608055562973022
29,10345,13,0.848,0.556360116481781
30,7165,9,0.822,0.6597308111190796
31,7165,9,0.812,0.689031704902649
32,6370,8,0.81,0.6965365562438964
33,7165,9,0.852,0.5987411637306214
34,5575,7,0.817,0.6718738451004028
35,5575,7,0.791,0.7413550252914429
36,5575,7,0.799,0.7487371606826783
37,5575,7,0.821,0.7012464656829834
38,7165,9,0.82,0.6611483602523803
39,7165,9,0.846,0.5843320331573486
40,7960,10,0.827,0.6313252863883972
41,7960,10,0.85,0.5725332221984863
42,8755,11,0.829,0.6066794438362122
43,10345,13,0.844,0.5881673421859741
44,12730,16,0.842,0.5507800230979919
45,12730,16,0.857,0.5456410136222839
46,9550,12,0.847,0.5982140321731567
47,7960,10,0.831,0.6548145036697388
48,5575,7,0.828,0.6508266086578369
49,8755,11,0.842,0.6155791630744935
50,10345,13,0.836,0.5764257030487061
51,10345,13,0.842,0.5851599664688111
52,9550,12,0.84,0.6028928842544555
53,11935,15,0.843,0.5799649119377136
54,10345,13,0.853,0.572499662399292
55,13525,17,0.839,0.5591372241973877
56,13525,17,0.848,0.5429019522666931
57,13525,17,0.845,0.5681936779022216
58,17500,22,0.856,0.529916874885559
59,15115,19,0.855,0.5261986169815064
60,17500,22,0.847,0.5322945966720581
61,22270,28,0.864,0.5181906456947327
62,12730,16,0.852,0.5490828084945679
63,11935,15,0.848,0.5608238477706909
64,17500,22,0.872,0.5113243112564086
65,15910,20,0.852,0.5240246896743774
66,12730,16,0.854,0.538065583229065
67,18295,23,0.862,0.5075337018966675
68,16705,21,0.853,0.5269471154212951
69,15910,20,0.848,0.5365036911964417
70,12730,16,0.854,0.5358544206619262
71,19090,24,0.853,0.5214846739768982
72,15910,20,0.854,0.5339329824447632
73,18295,23,0.853,0.544505633354187
74,11935,15,0.862,0.5408897657394409
75,23860,30,0.861,0.5202261934280396
76,24655,31,0.855,0.5103473010063171
77,27040,34,0.864,0.512241548538208
78,27040,34,0.859,0.5240224604606628
79,27040,34,0.849,0.5204292640686036
80,30220,38,0.855,0.500667809009552
81,23860,30,0.857,0.5203662586212158
82,33400,42,0.848,0.5240846338272095
83,29425,37,0.856,0.5061989259719849
84,27040,34,0.866,0.5123965544700623
85,15115,19,0.863,0.5353798666000367
86,14320,18,0.85,0.5456128139495849
87,18295,23,0.847,0.5458560552597046
88,23065,29,0.865,0.5246270432472229
89,28630,36,0.845,0.525296754360199
90,35785,45,0.859,0.5013682188987731
91,31015,39,0.861,0.4984244680404663
92,35785,45,0.866,0.48994103574752806
93,30220,38,0.847,0.5218737235069275
94,24655,31,0.868,0.504089699268341
95,31810,40,0.863,0.5155868787765503
96,34195,43,0.851,0.5050995054244996
97,16705,21,0.855,0.5433491134643554
98,16705,21,0.852,0.5418503003120423
99,20680,26,0.865,0.5352281484603881
100,16705,21,0.867,0.5111450881958007
101,26245,33,0.851,0.5221390171051026
102,17500,22,0.851,0.5357350082397461
103,19885,25,0.844,0.5281068387031556
104,20680,26,0.857,0.523835651397705
105,15910,20,0.848,0.5385232019424439
106,19090,24,0.846,0.5417329158782959
107,12730,16,0.845,0.5692425260543823
108,11935,15,0.844,0.5479522686004639
109,13525,17,0.856,0.5241934742927551
110,11935,15,0.847,0.5560672664642334
111,14320,18,0.853,0.5196226739883423
